"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,0.0288906000000004,-0.00716268877737038,1,2,4,3,1,2,3,4
"2",-1.5,-1.5,-0.75,-1,0.0577812,-0.0286176851306857,1,3,4,2,1,2,3,4
"3",-1.5,-1.5,-0.75,1,0.1733436,-0.257360746303398,1,3,4,2,1,3,2,4
"4",-1.5,-1.5,-0.75,1.5,0.2022342,-0.350277280536438,1,3,4,2,1,3,2,4
"5",-1.5,-1.5,-0.2,-1.5,0.0287715749999999,-0.00712483864441655,1,2,4,3,1,2,3,4
"6",-1.5,-1.5,-0.2,-1,0.0575431499999999,-0.0284972287380705,1,2,4,3,1,2,3,4
"7",-1.5,-1.5,-0.2,1,0.17262945,-0.256462303605062,1,3,4,2,1,3,2,4
"8",-1.5,-1.5,-0.2,1.5,0.201401025,-0.349072450944903,1,3,4,2,1,3,2,4
"9",-1.5,-1.5,0.2,-1.5,0.0288175500000003,-0.00709749089464868,1,2,4,3,1,2,3,4
"10",-1.5,-1.5,0.2,-1,0.0576351000000002,-0.0284585653665073,1,2,4,3,1,2,3,4
"11",-1.5,-1.5,0.2,1,0.1729053,-0.256538699026043,1,2,4,3,1,3,2,4
"12",-1.5,-1.5,0.2,1.5,0.201722850000001,-0.349217691383951,1,3,4,2,1,3,2,4
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"15",-1.5,-1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"17",-1.5,-1,-0.75,-1.5,0.0192603999999998,0.0200480336922784,1,2,4,3,1,2,3,4
"18",-1.5,-1,-0.75,-1,0.0385208000000001,0.025337412333242,1,2,4,3,1,2,3,4
"19",-1.5,-1,-0.75,1,0.1155624,-0.101091623616054,1,2,4,3,1,2,3,4
"20",-1.5,-1,-0.75,1.5,0.134822799999999,-0.169595520231666,1,2,4,3,1,2,3,4
"21",-1.5,-1,-0.2,-1.5,0.0191810500000003,0.0200237005529803,1,2,4,3,1,2,3,4
"22",-1.5,-1,-0.2,-1,0.0383620999999996,0.0253249927736604,1,2,4,3,1,2,3,4
"23",-1.5,-1,-0.2,1,0.1150863,-0.100693921666618,1,2,4,3,1,2,3,4
"24",-1.5,-1,-0.2,1.5,0.134267350000001,-0.169004671107438,1,2,4,3,1,2,3,4
"25",-1.5,-1,0.2,-1.5,0.0192117000000001,0.0200677430322654,1,2,4,3,1,2,3,4
"26",-1.5,-1,0.2,-1,0.0384233999999997,0.0254018209219757,1,2,4,3,1,2,3,4
"27",-1.5,-1,0.2,1,0.1152702,-0.100598518944733,1,2,3,4,1,2,3,4
