"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,0.000275800000000048,1.66368022800007e-05,1,2,4,3,1,2,4,3
"2",-1.5,-1.5,-0.75,-1,0.000606299999999949,2.81095712799999e-05,1,2,4,3,1,2,4,3
"3",-1.5,-1.5,-0.75,1,0.001193,4.28782965800003e-05,1,3,4,2,1,2,4,3
"4",-1.5,-1.5,-0.75,1.5,0.00123770000000001,4.37539539200001e-05,1,3,4,2,1,2,4,3
"5",-1.5,-1.5,-0.2,-1.5,0.000325699999999873,1.67540082999999e-05,1,2,4,3,1,2,4,3
"6",-1.5,-1.5,-0.2,-1,0.000643599999999855,2.80727119999997e-05,1,2,4,3,1,2,4,3
"7",-1.5,-1.5,-0.2,1,0.00118799999999997,4.24511834500003e-05,1,2,4,3,1,2,4,3
"8",-1.5,-1.5,-0.2,1.5,0.00123299999999993,4.33473283500002e-05,1,2,4,3,1,2,4,3
"9",-1.5,-1.5,0.2,-1.5,0.000299199999999944,1.67006764500005e-05,1,2,4,3,1,2,4,3
"10",-1.5,-1.5,0.2,-1,0.000609599999999766,2.7969310049999e-05,1,2,4,3,1,2,4,3
"11",-1.5,-1.5,0.2,1,0.00116269999999996,4.24356737000003e-05,1,2,4,3,1,2,4,3
"12",-1.5,-1.5,0.2,1.5,0.00120739999999986,4.33114694299997e-05,1,2,4,3,1,2,4,3
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"15",-1.5,-1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"17",-1.5,-1,-0.75,-1.5,0.000268400000000057,2.92410522500007e-05,1,2,4,3,1,2,4,3
"18",-1.5,-1,-0.75,-1,0.000577600000000067,5.04642715200007e-05,1,2,4,3,1,2,4,3
"19",-1.5,-1,-0.75,1,0.00107380000000001,8.03500359000003e-05,1,2,4,3,1,2,4,3
"20",-1.5,-1,-0.75,1.5,0.00111030000000001,8.22932122799994e-05,1,2,4,3,1,2,4,3
"21",-1.5,-1,-0.2,-1.5,0.000226000000000059,2.93705755200005e-05,1,2,4,3,1,2,4,3
"22",-1.5,-1,-0.2,-1,0.000516799999999984,5.02805811299998e-05,1,2,4,3,1,2,4,3
"23",-1.5,-1,-0.2,1,0.000980900000000062,7.95031622600014e-05,1,2,4,3,1,2,4,3
"24",-1.5,-1,-0.2,1.5,0.00102630000000004,8.15161981200003e-05,1,2,4,3,1,2,4,3
"25",-1.5,-1,0.2,-1.5,0.000197100000000172,2.9194049660001e-05,1,2,4,3,1,2,4,3
