"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,0.00181560000000003,7.607224263e-05,1,2,4,3,1,2,4,3
"2",-1.5,-1.5,-0.75,-1,0.00274399999999997,9.92435817599999e-05,1,2,4,3,1,2,4,3
"3",-1.5,-1.5,-0.75,1,0.00377320000000003,0.000106466430150001,1,3,4,2,1,2,3,4
"4",-1.5,-1.5,-0.75,1.5,0.00381370000000003,0.0001064684364,1,3,4,2,1,2,3,4
"5",-1.5,-1.5,-0.2,-1.5,0.00182779999999994,7.59392054999991e-05,1,2,4,3,1,2,4,3
"6",-1.5,-1.5,-0.2,-1,0.0028052999999999,9.96343121099992e-05,1,2,4,3,1,2,4,3
"7",-1.5,-1.5,-0.2,1,0.00384020000000007,0.000107120353180001,1,2,4,3,1,2,3,4
"8",-1.5,-1.5,-0.2,1.5,0.0038781,0.00010711462272,1,2,4,3,1,2,3,4
"9",-1.5,-1.5,0.2,-1.5,0.00184139999999988,7.63631240399989e-05,1,2,4,3,1,2,4,3
"10",-1.5,-1.5,0.2,-1,0.00282829999999989,0.000100235324899999,1,2,4,3,1,2,4,3
"11",-1.5,-1.5,0.2,1,0.00382909999999992,0.00010744428168,1,2,4,3,1,2,3,4
"12",-1.5,-1.5,0.2,1.5,0.00386769999999992,0.00010744287862,1,2,4,3,1,2,3,4
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"15",-1.5,-1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"17",-1.5,-1,-0.75,-1.5,0.00146570000000001,0.000137738386,2,1,4,3,2,1,4,3
"18",-1.5,-1,-0.75,-1,0.00219519999999984,0.000203878159799998,2,1,4,3,2,1,4,3
"19",-1.5,-1,-0.75,1,0.0027895,0.00029058387276,1,2,4,3,1,2,3,4
"20",-1.5,-1,-0.75,1.5,0.00276799999999999,0.00029973241638,1,2,4,3,1,2,3,4
"21",-1.5,-1,-0.2,-1.5,0.00151580000000007,0.000137591219280001,2,1,4,3,2,1,4,3
"22",-1.5,-1,-0.2,-1,0.00227589999999989,0.000204411061879999,2,1,4,3,2,1,4,3
"23",-1.5,-1,-0.2,1,0.00279849999999993,0.000291069618509999,1,2,4,3,1,2,3,4
"24",-1.5,-1,-0.2,1.5,0.00276999999999994,0.00030023986694,1,2,4,3,1,2,3,4
"25",-1.5,-1,0.2,-1.5,0.00150490000000003,0.0001380311658,2,1,4,3,2,1,4,3
"26",-1.5,-1,0.2,-1,0.00226179999999987,0.000204985443249998,2,1,4,3,2,1,4,3
"27",-1.5,-1,0.2,1,0.0027587,0.00029135841636,1,2,4,3,1,2,3,4
"28",-1.5,-1,0.2,1.5,0.00273579999999995,0.000300628585049999,1,2,4,3,1,2,3,4
"29",-1.5,-1,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"30",-1.5,-1,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"31",-1.5,-1,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"32",-1.5,-1,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"33",-1.5,0,-0.75,-1.5,0.00120100000000012,0.000187418572100002,2,1,4,3,2,1,4,3
"34",-1.5,0,-0.75,-1,0.00190160000000006,0.000270638502750001,2,1,4,3,2,1,4,3
"35",-1.5,0,-0.75,1,0.00265639999999989,0.000334503955799999,1,2,4,3,1,2,3,4
"36",-1.5,0,-0.75,1.5,0.00288210000000011,0.000339406234170001,1,2,4,3,1,2,3,4
"37",-1.5,0,-0.2,-1.5,0.00119980000000008,0.000186919044480002,2,1,4,3,2,1,4,3
"38",-1.5,0,-0.2,-1,0.0019414000000002,0.000270970160560002,2,1,4,3,2,1,4,3
"39",-1.5,0,-0.2,1,0.00269429999999993,0.000334926578159999,1,2,4,3,1,2,3,4
"40",-1.5,0,-0.2,1.5,0.00254270000000012,0.000336692307990003,1,2,4,3,1,2,3,4
"41",-1.5,0,0.2,-1.5,0.00120530000000008,0.000187777809800001,2,1,4,3,2,1,4,3
"42",-1.5,0,0.2,-1,0.00194910000000015,0.000272163896400002,2,1,4,3,2,1,4,3
"43",-1.5,0,0.2,1,0.0029351999999998,0.000338052346169998,1,2,4,3,1,2,3,4
"44",-1.5,0,0.2,1.5,0.00266880000000003,0.00033688102796,1,2,4,3,1,2,3,4
"45",-1.5,0,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"46",-1.5,0,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"47",-1.5,0,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"48",-1.5,0,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"49",-1.5,1,-0.75,-1.5,0.000870899999999897,0.000201883363799999,2,1,4,3,2,1,4,3
"50",-1.5,1,-0.75,-1,0.00145669999999998,0.0002817891921,2,1,4,3,2,1,4,3
"51",-1.5,1,-0.75,1,0.00241360000000002,0.000324348779160001,1,2,4,3,1,2,3,4
"52",-1.5,1,-0.75,1.5,0.00230609999999987,0.000324827887199999,1,2,4,3,1,2,3,4
"53",-1.5,1,-0.2,-1.5,0.000880199999999998,0.00020129750425,2,1,4,3,2,1,4,3
"54",-1.5,1,-0.2,-1,0.00150749999999999,0.00028228654493,2,1,4,3,2,1,4,3
"55",-1.5,1,-0.2,1,0.00225200000000003,0.000323674465590001,1,2,4,3,1,2,3,4
"56",-1.5,1,-0.2,1.5,0.0023263,0.000323037817479999,1,2,4,3,1,2,3,4
"57",-1.5,1,0.2,-1.5,0.000849999999999906,0.0002019459093,2,1,4,3,2,1,4,3
"58",-1.5,1,0.2,-1,0.00149140000000003,0.00028325773872,2,1,4,3,2,1,4,3
"59",-1.5,1,0.2,1,0.00246750000000007,0.000325840437300001,1,2,4,3,1,2,3,4
"60",-1.5,1,0.2,1.5,0.00231590000000004,0.00032267375027,1,2,4,3,1,2,3,4
"61",-1.5,1,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"62",-1.5,1,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"63",-1.5,1,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"64",-1.5,1,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"65",-1.5,1.5,-0.75,-1.5,0.00093310000000002,0.000203892876199999,2,1,4,3,2,1,4,3
"66",-1.5,1.5,-0.75,-1,0.00139579999999995,0.0002787535593,2,1,4,3,2,1,3,4
"67",-1.5,1.5,-0.75,1,0.0020555000000001,0.000310521123080002,1,2,4,3,1,2,3,4
"68",-1.5,1.5,-0.75,1.5,0.00214639999999999,0.000311890668570001,1,2,4,3,1,2,3,4
"69",-1.5,1.5,-0.2,-1.5,0.000538799999999839,0.000199624276799997,2,1,4,3,2,1,4,3
"70",-1.5,1.5,-0.2,-1,0.000983499999999915,0.000274238117999998,2,1,4,3,2,1,3,4
"71",-1.5,1.5,-0.2,1,0.00208159999999991,0.000308274592079999,1,2,4,3,1,2,3,4
"72",-1.5,1.5,-0.2,1.5,0.00210889999999986,0.000310034789159999,1,2,4,3,1,2,3,4
"73",-1.5,1.5,0.2,-1.5,0.000533999999999812,0.000200398649359998,2,1,4,3,2,1,4,3
"74",-1.5,1.5,0.2,-1,0.00110640000000017,0.000276371886770001,2,1,4,3,2,1,3,4
"75",-1.5,1.5,0.2,1,0.00207709999999994,0.000309008005,1,2,4,3,1,2,3,4
"76",-1.5,1.5,0.2,1.5,0.00227499999999992,0.00031414274448,1,2,4,3,1,2,3,4
"77",-1.5,1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"78",-1.5,1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"79",-1.5,1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"80",-1.5,1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"81",-0.5,-1.5,-0.75,-1.5,-0.000514100000000073,6.68999811999999e-06,1,2,4,3,1,2,4,3
"82",-0.5,-1.5,-0.75,-1,-0.000897000000000148,5.8867399799999e-06,1,3,4,2,1,2,3,4
"83",-0.5,-1.5,-0.75,1,-0.00125629999999999,1.3159017300001e-06,1,3,4,2,1,2,3,4
"84",-0.5,-1.5,-0.75,1.5,-0.00126550000000014,1.10342543999968e-06,1,3,4,2,1,2,3,4
"85",-0.5,-1.5,-0.2,-1.5,-0.000508300000000128,6.87968189999983e-06,1,2,4,3,1,2,4,3
"86",-0.5,-1.5,-0.2,-1,-0.000935100000000078,6.03610830000005e-06,1,2,4,3,1,2,3,4
"87",-0.5,-1.5,-0.2,1,-0.00135130000000006,1.34941179999997e-06,1,2,4,3,1,2,3,4
"88",-0.5,-1.5,-0.2,1.5,-0.00135940000000012,1.13089376999981e-06,1,2,4,3,1,2,3,4
"89",-0.5,-1.5,0.2,-1.5,-0.000563300000000044,6.55960304999999e-06,1,2,4,3,1,2,4,3
"90",-0.5,-1.5,0.2,-1,-0.000933700000000037,5.76477792000014e-06,1,2,4,3,1,2,3,4
"91",-0.5,-1.5,0.2,1,-0.00138610000000006,9.26953649999785e-07,1,2,4,3,1,2,3,4
"92",-0.5,-1.5,0.2,1.5,-0.00138120000000008,7.71338700000067e-07,1,2,4,3,1,2,3,4
"93",-0.5,-1.5,0.75,-1.5,-0.0005575000000001,6.74761751999983e-06,1,2,4,3,1,2,4,3
"94",-0.5,-1.5,0.75,-1,-0.000971800000000078,5.91353054999995e-06,1,2,4,3,1,2,3,4
"95",-0.5,-1.5,0.75,1,-0.00148110000000001,9.61222500000131e-07,1,2,4,3,1,2,3,4
"96",-0.5,-1.5,0.75,1.5,-0.00147510000000017,7.9926179999972e-07,1,2,4,3,1,2,3,4
"97",-0.5,-1,-0.75,-1.5,-0.000450799999999973,1.37196795700003e-05,2,1,4,3,2,1,4,3
"98",-0.5,-1,-0.75,-1,-0.000779200000000091,1.77848831999998e-05,2,1,4,3,2,1,4,3
"99",-0.5,-1,-0.75,1,-0.000953000000000093,2.239389783e-05,2,1,4,3,2,1,3,4
"100",-0.5,-1,-0.75,1.5,-0.000936600000000065,2.33014422999998e-05,2,1,4,3,2,1,3,4
"101",-0.5,-1,-0.2,-1.5,-0.000502899999999973,1.39569330000003e-05,2,1,4,3,2,1,4,3
"102",-0.5,-1,-0.2,-1,-0.000862400000000041,1.80353138199999e-05,2,1,4,3,2,1,4,3
"103",-0.5,-1,-0.2,1,-0.00102340000000012,2.25179252999997e-05,2,1,4,3,2,1,3,4
"104",-0.5,-1,-0.2,1.5,-0.00100929999999999,2.34541730500002e-05,2,1,4,3,2,1,3,4
"105",-0.5,-1,0.2,-1.5,-0.000486899999999957,1.35923937500003e-05,2,1,4,3,2,1,4,3
"106",-0.5,-1,0.2,-1,-0.000762900000000011,1.77005284999999e-05,2,1,4,3,2,1,4,3
"107",-0.5,-1,0.2,1,-0.00105750000000016,2.19281741999995e-05,2,1,4,3,2,1,3,4
"108",-0.5,-1,0.2,1.5,-0.00102330000000006,2.28765664800001e-05,2,1,4,3,2,1,3,4
"109",-0.5,-1,0.75,-1.5,-0.000538999999999956,1.38287292800003e-05,2,1,4,3,2,1,4,3
"110",-0.5,-1,0.75,-1,-0.000846099999999961,1.795041063e-05,2,1,4,3,2,1,4,3
"111",-0.5,-1,0.75,1,-0.00112789999999996,2.20509312900003e-05,2,1,4,3,2,1,3,4
"112",-0.5,-1,0.75,1.5,-0.0010960000000001,2.30278039199997e-05,2,1,4,3,2,1,3,4
"113",-0.5,0,-0.75,-1.5,-0.000401999999999902,1.97485659000006e-05,2,1,4,3,2,1,4,3
"114",-0.5,0,-0.75,-1,-0.000632799999999878,2.59471960500002e-05,2,1,4,3,2,1,4,3
"115",-0.5,0,-0.75,1,-0.000938499999999953,2.76739848000003e-05,2,1,4,3,2,1,3,4
"116",-0.5,0,-0.75,1.5,-0.000817300000000021,2.82928095999999e-05,1,2,4,3,1,2,3,4
"117",-0.5,0,-0.2,-1.5,-0.000405699999999953,2.01247702800007e-05,2,1,4,3,2,1,4,3
"118",-0.5,0,-0.2,-1,-0.00067499999999987,2.62963996000003e-05,2,1,4,3,2,1,4,3
"119",-0.5,0,-0.2,1,-0.00082850000000001,2.81315020800003e-05,2,1,4,3,2,1,3,4
"120",-0.5,0,-0.2,1.5,-0.000907199999999997,2.80447405499998e-05,1,2,4,3,1,2,3,4
"121",-0.5,0,0.2,-1.5,-0.000387999999999944,1.96322697000001e-05,2,1,4,3,2,1,4,3
"122",-0.5,0,0.2,-1,-0.000648300000000046,2.57905195899998e-05,2,1,4,3,2,1,4,3
"123",-0.5,0,0.2,1,-0.000996600000000014,2.70709803000002e-05,2,1,4,3,2,1,3,4
"124",-0.5,0,0.2,1.5,-0.00102150000000001,2.72340283000003e-05,1,2,4,3,1,2,3,4
"125",-0.5,0,0.75,-1.5,-0.000391699999999995,2.00077088900002e-05,2,1,4,3,2,1,4,3
"126",-0.5,0,0.75,-1,-0.000690500000000038,2.61394656599999e-05,2,1,4,3,2,1,4,3
"127",-0.5,0,0.75,1,-0.000811200000000012,2.82179822400002e-05,2,1,4,3,2,1,3,4
"128",-0.5,0,0.75,1.5,-0.000832099999999891,2.81775104000003e-05,1,2,4,3,1,2,3,4
"129",-0.5,1,-0.75,-1.5,-0.000244199999999917,2.19849514300004e-05,2,1,4,3,2,1,4,3
"130",-0.5,1,-0.75,-1,-0.000487099999999963,2.789764692e-05,2,1,4,3,2,1,3,4
"131",-0.5,1,-0.75,1,-0.0008883999999999,2.647745436e-05,2,1,4,3,2,1,3,4
"132",-0.5,1,-0.75,1.5,-0.000946200000000008,2.64246781899998e-05,1,2,4,3,1,2,3,4
"133",-0.5,1,-0.2,-1.5,-0.00024360000000001,2.248411539e-05,2,1,4,3,2,1,4,3
"134",-0.5,1,-0.2,-1,-0.00052770000000002,2.82770021599998e-05,2,1,4,3,2,1,3,4
"135",-0.5,1,-0.2,1,-0.000844400000000078,2.74278931399999e-05,2,1,4,3,2,1,3,4
"136",-0.5,1,-0.2,1.5,-0.000929099999999905,2.62899964500003e-05,1,2,4,3,1,2,3,4
