"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,-0.0156487000000001,0.00221645873736,2,3,4,1,1,3,4,2
"2",-1.5,-1.5,-0.75,-1,-0.0297198,0.00538925521348001,1,3,4,2,1,2,4,3
"3",-1.5,-1.5,-0.75,1,-0.0288065000000001,0.0133604894955,1,3,4,2,1,2,4,3
"4",-1.5,-1.5,-0.75,1.5,-0.025486,0.01418891220586,1,3,4,2,1,2,4,3
"5",-1.5,-1.5,-0.2,-1.5,-0.0156523000000001,0.00222386867706,1,3,4,2,1,3,4,2
"6",-1.5,-1.5,-0.2,-1,-0.0295526,0.00539727105906,1,3,4,2,1,2,4,3
"7",-1.5,-1.5,-0.2,1,-0.0287266,0.01338802801787,1,3,4,2,1,2,4,3
"8",-1.5,-1.5,-0.2,1.5,-0.0254603999999999,0.01421149819275,1,3,4,2,1,2,4,3
"9",-1.5,-1.5,0.2,-1.5,-0.0152925999999999,0.0022338799846,1,3,4,2,1,3,4,2
"10",-1.5,-1.5,0.2,-1,-0.0293853000000001,0.00540680687951999,1,3,4,2,1,2,4,3
"11",-1.5,-1.5,0.2,1,-0.0283975999999998,0.0134043740612,1,3,4,2,1,2,4,3
"12",-1.5,-1.5,0.2,1.5,-0.0251407,0.01423465491776,1,2,4,3,1,2,4,3
"13",-1.5,-1.5,0.75,-1.5,-0.0155232999999999,0.0022337623512,1,3,4,2,1,3,4,2
"14",-1.5,-1.5,0.75,-1,-0.0295681,0.00538003995192001,1,2,4,3,1,2,4,3
"15",-1.5,-1.5,0.75,1,-0.0284177999999999,0.0133843940712,1,2,4,3,1,2,4,3
"16",-1.5,-1.5,0.75,1.5,-0.0251652,0.01419976795678,1,2,4,3,1,2,4,3
"17",-1.5,-1,-0.75,-1.5,-0.0131121999999999,0.00279160645470001,2,3,4,1,1,2,4,3
"18",-1.5,-1,-0.75,-1,-0.0252076999999999,0.00636129709702999,1,3,4,2,1,2,4,3
"19",-1.5,-1,-0.75,1,-0.0250358999999999,0.01470978801318,1,3,4,2,1,2,4,3
"20",-1.5,-1,-0.75,1.5,-0.0221775999999999,0.01555208067732,1,3,4,2,1,2,4,3
"21",-1.5,-1,-0.2,-1.5,-0.0130961000000001,0.0028027923392,2,3,4,1,1,2,4,3
"22",-1.5,-1,-0.2,-1,-0.025007,0.00637372021616,1,3,4,2,1,2,4,3
"23",-1.5,-1,-0.2,1,-0.024915,0.01474602024955,1,3,4,2,1,2,4,3
"24",-1.5,-1,-0.2,1.5,-0.022124,0.015579483192,1,3,4,2,1,2,4,3
"25",-1.5,-1,0.2,-1.5,-0.0127360999999999,0.00280913879,2,3,4,1,1,2,4,3
"26",-1.5,-1,0.2,-1,-0.0248113000000001,0.00637494307410999,1,3,4,2,1,2,4,3
"27",-1.5,-1,0.2,1,-0.0245254,0.01477269811585,1,2,4,3,1,2,4,3
