"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,-0.0389618282231816,0.0973294026782392,1,3,4,2,1,3,4,2
"2",-1.5,-1.5,-0.75,-1,-0.0874867827374661,0.235223086911075,1,3,4,2,1,3,4,2
"3",-1.5,-1.5,-0.75,1,-0.0392397641569797,0.581751044989646,1,3,4,2,1,2,4,3
"4",-1.5,-1.5,-0.75,1.5,-0.0181605789355759,0.61782788606106,1,3,4,2,1,2,4,3
"5",-1.5,-1.5,-0.2,-1.5,-0.039381358346863,0.0972268545408524,1,3,4,2,1,3,4,2
"6",-1.5,-1.5,-0.2,-1,-0.0870688182911024,0.235368120427119,1,3,4,2,1,3,4,2
"7",-1.5,-1.5,-0.2,1,-0.0391523261292517,0.582363198439591,1,3,4,2,1,2,4,3
"8",-1.5,-1.5,-0.2,1.5,-0.0181611836768494,0.618364549323351,1,3,4,2,1,2,4,3
"9",-1.5,-1.5,0.2,-1.5,-0.0392804443721486,0.0975292481990975,1,3,4,2,1,3,4,2
"10",-1.5,-1.5,0.2,-1,-0.0875445301239943,0.235605377637561,1,3,4,2,1,3,4,2
"11",-1.5,-1.5,0.2,1,-0.0389240959722752,0.583158883646392,1,3,4,2,1,2,4,3
"12",-1.5,-1.5,0.2,1.5,-0.0182513499301473,0.618879816127325,1,3,4,2,1,2,4,3
"13",-1.5,-1.5,0.75,-1.5,-0.0397292433519514,0.0974743173753111,1,3,4,2,1,3,4,2
"14",-1.5,-1.5,0.75,-1,-0.0875997221643918,0.235387737062893,1,3,4,2,1,3,4,2
"15",-1.5,-1.5,0.75,1,-0.0392418670492236,0.582520623834418,1,2,4,3,1,2,4,3
"16",-1.5,-1.5,0.75,1.5,-0.0183504350150008,0.618276626034737,1,2,4,3,1,2,4,3
"17",-1.5,-1,-0.75,-1.5,-0.0259745521487873,0.199062717808007,1,3,4,2,1,2,4,3
"18",-1.5,-1,-0.75,-1,-0.0583245218249773,0.418157240393062,1,3,4,2,1,2,4,3
"19",-1.5,-1,-0.75,1,-0.0261598427713197,0.877894351480393,1,3,4,2,1,2,4,3
"20",-1.5,-1,-0.75,1.5,-0.0121070526237168,0.921372616027284,1,3,4,2,1,2,4,3
"21",-1.5,-1,-0.2,-1.5,-0.0262542388979083,0.19898281361163,1,2,4,3,1,2,4,3
"22",-1.5,-1,-0.2,-1,-0.0580458788607343,0.418247032885504,1,2,4,3,1,2,4,3
"23",-1.5,-1,-0.2,1,-0.026101550752835,0.878505869623114,1,2,4,3,1,2,4,3
"24",-1.5,-1,-0.2,1.5,-0.0121074557845664,0.921910429227878,1,2,4,3,1,2,4,3
"25",-1.5,-1,0.2,-1.5,-0.0261869629147653,0.199404813621349,1,2,4,3,1,2,4,3
"26",-1.5,-1,0.2,-1,-0.0583630200826635,0.418677051380028,1,2,4,3,1,2,4,3
"27",-1.5,-1,0.2,1,-0.0259493973148501,0.87961325741053,1,2,4,3,1,2,4,3
"28",-1.5,-1,0.2,1.5,-0.0121675666200987,0.922845550394313,1,2,4,3,1,2,4,3
"29",-1.5,-1,0.75,-1.5,-0.026486162234634,0.199366106596395,1,2,4,3,1,2,4,3
"30",-1.5,-1,0.75,-1,-0.0583998147762603,0.418369411056563,1,2,4,3,1,2,4,3
"31",-1.5,-1,0.75,1,-0.0261612446994821,0.878896629189896,1,2,4,3,1,2,4,3
"32",-1.5,-1,0.75,1.5,-0.012233623343334,0.922078422521711,1,2,4,3,1,2,4,3
"33",-1.5,0,-0.75,-1.5,0,0.506382764311046,1,2,4,3,1,2,4,3
"34",-1.5,0,-0.75,-1,-4.44089209850063e-16,0.940815126958737,1,2,4,3,1,2,4,3
"35",-1.5,0,-0.75,1,0,1.62322364632348,1,2,4,3,1,2,4,3
