"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-3.30590865720875,-0.283170975,0.196778389285544,-0.0714799607144552,-0.1969434,0.10020555,0.0288906000000004
"Ys1...2",-1.5,-1.5,-0.75,-1,-3.57471105720875,-0.283170975,0.393721789285545,-0.142794910714455,-0.3938868,0.2004111,0.0577812
"Ys1...3",-1.5,-1.5,-0.75,1,-4.64992065720875,-0.283170975,1.18149538928555,-0.428054710714456,-1.1816604,0.6012333,0.1733436
"Ys1...4",-1.5,-1.5,-0.75,1.5,-4.91872305720875,-0.283170975,1.37843878928554,-0.499369660714456,-1.3786038,0.70143885,0.2022342
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-3.30687047860591,-0.283170975,0.108480021381282,-0.0712445036187184,-0.10849065,0.10000545,0.0287715749999999
"Ys1...6",-1.5,-1.5,-0.2,-1,-3.57595917860591,-0.283170975,0.216970671381282,-0.142478378618718,-0.2169813,0.2000109,0.0575431499999999
"Ys1...7",-1.5,-1.5,-0.2,1,-4.65231397860591,-0.283170975,0.650933271381282,-0.427413878618719,-0.6509439,0.6000327,0.17262945
"Ys1...8",-1.5,-1.5,-0.2,1.5,-4.92140267860591,-0.283170975,0.759423921381282,-0.498647753618718,-0.75943455,0.70003815,0.201401025
"Ys1...9",-1.5,-1.5,0.2,-1.5,-3.30699595624101,-0.283170975,0.044356112833936,-0.0709188121660635,-0.044013375,0.1000791,0.0288175500000003
"Ys1...10",-1.5,-1.5,0.2,-1,-3.57604795624101,-0.283170975,0.0883694878339361,-0.142180362166064,-0.08802675,0.2001582,0.0576351000000002
"Ys1...11",-1.5,-1.5,0.2,1,-4.65225595624101,-0.283170975,0.264422987833936,-0.427226562166064,-0.26408025,0.600474600000001,0.1729053
"Ys1...12",-1.5,-1.5,0.2,1.5,-4.92130795624101,-0.283170975,0.308436362833936,-0.498488112166064,-0.308093625,0.7005537,0.201722850000001
"Ys1...13",-1.5,-1.5,0.75,-1.5,NA,-0.283170975,NA,NA,NA,NA,NA
"Ys1...14",-1.5,-1.5,0.75,-1,NA,-0.283170975,NA,NA,NA,NA,NA
"Ys1...15",-1.5,-1.5,0.75,1,NA,-0.283170975,NA,NA,NA,NA,NA
"Ys1...16",-1.5,-1.5,0.75,1.5,NA,-0.283170975,NA,NA,NA,NA,NA
"Ys1...17",-1.5,-1,-0.75,-1.5,-3.30590865720875,-1.06121935,0.308003742857029,0.129164842857029,-0.0428865250000001,0.155212775,0.0192603999999998
"Ys1...18",-1.5,-1,-0.75,-1,-3.57471105720875,-1.06121935,0.43929934285703,0.0816215428570297,-0.0857730500000002,0.31042555,0.0385208000000001
"Ys1...19",-1.5,-1,-0.75,1,-4.64992065720875,-1.06121935,0.96448174285703,-0.108551657142971,-0.257319150000001,0.93127665,0.1155624
"Ys1...20",-1.5,-1,-0.75,1.5,-4.91872305720875,-1.06121935,1.09577734285703,-0.156094957142971,-0.300205675,1.086489425,0.134822799999999
"Ys1...21",-1.5,-1,-0.2,-1.5,-3.30687047860591,-1.06121935,0.248995014254187,0.129178664254188,0.0160103999999999,0.1550078,0.0191810500000003
