"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-0.0555418,-0.0247796,0.0285322,0.0134287000000001,-0.0112542,0.00566489999999997,0.00181560000000003
"Ys1...2",-1.5,-1.5,-0.75,-1,-0.0557791999999999,-0.0247796,0.0351867,0.0109992,-0.0179087,0.0090228,0.00274399999999997
"Ys1...3",-1.5,-1.5,-0.75,1,-0.055925,-0.0247796,0.0423119,0.00844670000000003,-0.0250338999999999,0.0126045,0.00377320000000003
"Ys1...4",-1.5,-1.5,-0.75,1.5,-0.0559269999999999,-0.0247796,0.0425470999999999,0.00836720000000002,-0.0252690999999999,0.0127245,0.00381370000000003
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-0.0555396,-0.0247796,0.0234841,0.013437,-0.00622339999999999,0.00565149999999992,0.00182779999999994
"Ys1...6",-1.5,-1.5,-0.2,-1,-0.0557797,-0.0247796,0.0271224999999999,0.0110463,-0.00986179999999992,0.00901969999999996,0.0028052999999999
"Ys1...7",-1.5,-1.5,-0.2,1,-0.0559174,-0.0247796,0.0310186,0.00850309999999999,-0.0137579,0.0125978000000001,0.00384020000000007
"Ys1...8",-1.5,-1.5,-0.2,1.5,-0.0559189999999999,-0.0247796,0.0311485,0.00842520000000002,-0.0138878,0.0127136,0.0038781
"Ys1...9",-1.5,-1.5,0.2,-1.5,-0.0555604000000001,-0.0247796,0.0198802,0.0134722,-0.00258119999999995,0.0056681999999999,0.00184139999999988
"Ys1...10",-1.5,-1.5,0.2,-1,-0.0558040000000001,-0.0247796,0.0213458,0.0110843,-0.00404679999999991,0.00904299999999991,0.00282829999999989
"Ys1...11",-1.5,-1.5,0.2,1,-0.0559434,-0.0247796,0.0229045,0.00852569999999997,-0.00560549999999993,0.0126024,0.00382909999999992
"Ys1...12",-1.5,-1.5,0.2,1.5,-0.0559453,-0.0247796,0.0229562,0.00844690000000003,-0.00565719999999992,0.0127197999999999,0.00386769999999992
"Ys1...13",-1.5,-1.5,0.75,-1.5,NA,-0.0247263,NA,NA,NA,NA,NA
"Ys1...14",-1.5,-1.5,0.75,-1,NA,-0.0247263,NA,NA,NA,NA,NA
"Ys1...15",-1.5,-1.5,0.75,1,NA,-0.0247263,NA,NA,NA,NA,NA
"Ys1...16",-1.5,-1.5,0.75,1.5,NA,-0.0247263,NA,NA,NA,NA,NA
"Ys1...17",-1.5,-1,-0.75,-1.5,-0.0496238,-0.0606196999999999,0.0318955,0.0192694999999999,-0.0069437,0.00714800000000004,0.00146570000000001
"Ys1...18",-1.5,-1,-0.75,-1,-0.0484678000000001,-0.0535421,0.0370932,0.0173669999999999,-0.010182,0.0117394,0.00219519999999984
"Ys1...19",-1.5,-1,-0.75,1,-0.0452083,-0.0361126000000001,0.040874,0.0159911,-0.00950079999999998,0.0181716,0.0027895
"Ys1...20",-1.5,-1,-0.75,1.5,-0.044758,-0.0336914,0.0406683,0.0160686,-0.00871440000000001,0.0186533,0.00276799999999999
"Ys1...21",-1.5,-1,-0.2,-1.5,-0.0495833999999999,-0.0606196999999999,0.0276512,0.0192802,-0.00275040000000004,0.00713640000000004,0.00151580000000007
"Ys1...22",-1.5,-1,-0.2,-1,-0.0484513000000001,-0.0535421,0.0304982,0.0174164,-0.00362099999999999,0.0117366999999999,0.00227589999999989
"Ys1...23",-1.5,-1,-0.2,1,-0.0452317,-0.0361126000000001,0.0325814999999999,0.0160437,-0.00119399999999992,0.0181422999999999,0.00279849999999993
"Ys1...24",-1.5,-1,-0.2,1.5,-0.0447882000000001,-0.0336914,0.032469,0.0161213,-0.000493899999999936,0.0186238,0.00276999999999994
"Ys1...25",-1.5,-1,0.2,-1.5,-0.0496253999999999,-0.0606196999999999,0.0246632999999999,0.019311,0.00029060000000003,0.00714780000000004,0.00150490000000003
"Ys1...26",-1.5,-1,0.2,-1,-0.0484926,-0.0535421,0.0258182,0.0174474999999999,0.00111620000000001,0.0117486999999999,0.00226179999999987
"Ys1...27",-1.5,-1,0.2,1,-0.0452748999999999,-0.0361126000000001,0.0266491999999999,0.0160644,0.00479340000000006,0.0181369,0.0027587
"Ys1...28",-1.5,-1,0.2,1.5,-0.0448307,-0.0336914,0.0266054999999999,0.0161458999999999,0.00542410000000004,0.0186195,0.00273579999999995
"Ys1...29",-1.5,-1,0.75,-1.5,NA,-0.0605694,NA,NA,NA,NA,NA
"Ys1...30",-1.5,-1,0.75,-1,NA,-0.0534218000000001,NA,NA,NA,NA,NA
"Ys1...31",-1.5,-1,0.75,1,NA,-0.0360463000000001,NA,NA,NA,NA,NA
"Ys1...32",-1.5,-1,0.75,1.5,NA,-0.0336494000000001,NA,NA,NA,NA,NA
"Ys1...33",-1.5,0,-0.75,-1.5,-0.0461922,-0.1740821,0.0315036,0.0213770000000001,-0.00256029999999996,0.00876730000000003,0.00120100000000012
"Ys1...34",-1.5,0,-0.75,-1,-0.0448825,-0.1213436,0.0362115000000001,0.0196735,-0.00468310000000005,0.0137565000000001,0.00190160000000006
"Ys1...35",-1.5,0,-0.75,1,-0.0432988,-0.0336558,0.0415497,0.0177765,-0.00761239999999996,0.0188172,0.00265639999999989
"Ys1...36",-1.5,0,-0.75,1.5,-0.043284,-0.0291414,0.0416995999999999,0.0177721000000001,-0.00771189999999999,0.0190977,0.00288210000000011
"Ys1...37",-1.5,0,-0.2,-1.5,-0.0461716,-0.1740821,0.0280781,0.0213612000000001,0.000833700000000048,0.00875040000000005,0.00119980000000008
"Ys1...38",-1.5,0,-0.2,-1,-0.0448742999999999,-0.1213436,0.0306569,0.0196823,0.000851199999999941,0.0137672000000001,0.0019414000000002
"Ys1...39",-1.5,0,-0.2,1,-0.0432925,-0.0336558,0.0335835,0.0177896,0.000338900000000031,0.0188271,0.00269429999999993
"Ys1...40",-1.5,0,-0.2,1.5,-0.0433254,-0.0291732,0.0338712,0.0176457000000001,0.000312500000000049,0.0190807000000001,0.00254270000000012
"Ys1...41",-1.5,0,0.2,-1.5,-0.0462145,-0.1740821,0.0257067,0.0214004000000001,0.00326290000000007,0.00877450000000002,0.00120530000000008
"Ys1...42",-1.5,0,0.2,-1,-0.0449281,-0.1213436,0.0267538,0.0197306,0.00482169999999993,0.0137940000000001,0.00194910000000015
"Ys1...43",-1.5,0,0.2,1,-0.0433089000000001,-0.0336352,0.0278830000000001,0.0177638999999999,0.00597599999999998,0.0190302999999999,0.0029351999999998
"Ys1...44",-1.5,0,0.2,1.5,-0.0433187,-0.0291002,0.0279285,0.0176756,0.00613739999999996,0.0190591,0.00266880000000003
"Ys1...45",-1.5,0,0.75,-1.5,NA,-0.1739539,NA,NA,NA,NA,NA
"Ys1...46",-1.5,0,0.75,-1,NA,-0.1213158,NA,NA,NA,NA,NA
"Ys1...47",-1.5,0,0.75,1,NA,-0.033705,NA,NA,NA,NA,NA
"Ys1...48",-1.5,0,0.75,1.5,NA,-0.0292351,NA,NA,NA,NA,NA
"Ys1...49",-1.5,1,-0.75,-1.5,-0.0456701,-0.2860459,0.0262512,0.0190798,0.0025387,0.010581,0.000870899999999897
"Ys1...50",-1.5,1,-0.75,-1,-0.0442509000000001,-0.1974697,0.0303530000000001,0.0175586,0.00179739999999995,0.0160485,0.00145669999999998
"Ys1...51",-1.5,1,-0.75,1,-0.0431716000000001,-0.0341663,0.0358997000000001,0.0154644,-0.00187500000000007,0.0209739,0.00241360000000002
"Ys1...52",-1.5,1,-0.75,1.5,-0.0432933,-0.0282211,0.0364033,0.015396,-0.00221519999999997,0.0210982,0.00230609999999987
"Ys1...53",-1.5,1,-0.2,-1.5,-0.0456445,-0.2860459,0.0237877999999999,0.0190675,0.00495660000000009,0.0105571,0.000880199999999998
"Ys1...54",-1.5,1,-0.2,-1,-0.0442424,-0.1974697,0.0260299000000001,0.0175583,0.00609799999999994,0.0160771,0.00150749999999999
"Ys1...55",-1.5,1,-0.2,1,-0.0433644,-0.0340322000000001,0.0292173999999999,0.0154903000000001,0.00491620000000004,0.0208953,0.00225200000000003
"Ys1...56",-1.5,1,-0.2,1.5,-0.043148,-0.0281312,0.0292774,0.0154177,0.00476639999999995,0.0209524,0.0023263
"Ys1...57",-1.5,1,0.2,-1.5,-0.0457037,-0.2860459,0.0221273,0.0190794,0.0066866000000001,0.0105845,0.000849999999999906
"Ys1...58",-1.5,1,0.2,-1,-0.044304,-0.1974697,0.0230266,0.0175824,0.00917469999999998,0.0161103,0.00149140000000003
"Ys1...59",-1.5,1,0.2,1,-0.0431818,-0.0340071,0.0242194,0.0155629,0.00981299999999996,0.020937,0.00246750000000007
"Ys1...60",-1.5,1,0.2,1.5,-0.0432292999999999,-0.0281669,0.0241960999999999,0.0153443,0.00986120000000001,0.0210289,0.00231590000000004
"Ys1...61",-1.5,1,0.75,-1.5,NA,-0.2859141,NA,NA,NA,NA,NA
"Ys1...62",-1.5,1,0.75,-1,NA,-0.1972826,NA,NA,NA,NA,NA
"Ys1...63",-1.5,1,0.75,1,NA,-0.0341435999999999,NA,NA,NA,NA,NA
"Ys1...64",-1.5,1,0.75,1.5,NA,-0.0281756,NA,NA,NA,NA,NA
"Ys1...65",-1.5,1.5,-0.75,-1.5,-0.0457015,-0.3257832,0.0229916999999999,0.0174074,0.00519559999999997,0.011713,0.00093310000000002
"Ys1...66",-1.5,1.5,-0.75,-1,-0.0440967,-0.2285915,0.0266037,0.0160515,0.00541820000000004,0.0173662,0.00139579999999995
"Ys1...67",-1.5,1.5,-0.75,1,-0.0432159000000001,-0.0352386,0.0322951,0.0139858,0.0018378,0.0222026000000001,0.0020555000000001
"Ys1...68",-1.5,1.5,-0.75,1.5,-0.0432082,-0.0283395000000001,0.0326349,0.0139659,0.00151690000000004,0.0223323000000001,0.00214639999999999
"Ys1...69",-1.5,1.5,-0.2,-1.5,-0.0457177,-0.3257923,0.0211414,0.0171994999999999,0.00712570000000001,0.0116063999999999,0.000538799999999839
"Ys1...70",-1.5,1.5,-0.2,-1,-0.0441999000000001,-0.2284969,0.0232375,0.0158199999999999,0.00893389999999994,0.0173348999999999,0.000983499999999915
"Ys1...71",-1.5,1.5,-0.2,1,-0.0431864000000001,-0.0351056,0.0262479000000001,0.0138632,0.00777059999999996,0.0222369,0.00208159999999991
"Ys1...72",-1.5,1.5,-0.2,1.5,-0.0433417,-0.0282716000000001,0.0264031,0.0138317,0.00773450000000009,0.0224148,0.00210889999999986
"Ys1...73",-1.5,1.5,0.2,-1.5,-0.0457844000000001,-0.3257923,0.0198547,0.0172080999999999,0.00846500000000006,0.0116455999999999,0.000533999999999812
"Ys1...74",-1.5,1.5,0.2,-1,-0.0442433999999999,-0.229012,0.0205732999999999,0.0158797000000001,0.0116041,0.0174041,0.00110640000000017
"Ys1...75",-1.5,1.5,0.2,1,-0.0432155,-0.0350968,0.0218183,0.0139507,0.0122053000000001,0.02215,0.00207709999999994
"Ys1...76",-1.5,1.5,0.2,1.5,-0.0431711,-0.0282737000000001,0.0218582,0.0140458,0.0122782,0.0223656,0.00227499999999992
"Ys1...77",-1.5,1.5,0.75,-1.5,NA,-0.3255054,NA,NA,NA,NA,NA
"Ys1...78",-1.5,1.5,0.75,-1,NA,-0.2287848,NA,NA,NA,NA,NA
"Ys1...79",-1.5,1.5,0.75,1,NA,-0.0350056,NA,NA,NA,NA,NA
"Ys1...80",-1.5,1.5,0.75,1.5,NA,-0.0281718,NA,NA,NA,NA,NA
"Ys1...81",-0.5,-1.5,-0.75,-1.5,-0.0525005000000001,-0.0247796,0.0217210000000001,0.00342620000000005,-0.0158281,0.00195259999999997,-0.000514100000000073
"Ys1...82",-0.5,-1.5,-0.75,-1,-0.0529446,-0.0247796,0.0310963000000001,0.00190380000000001,-0.0252034,0.00309209999999993,-0.000897000000000148
"Ys1...83",-0.5,-1.5,-0.75,1,-0.0532102000000001,-0.0247796,0.0411177,0.000303700000000018,-0.0352247999999999,0.00433290000000008,-0.00125629999999999
"Ys1...84",-0.5,-1.5,-0.75,1.5,-0.0532138000000001,-0.0247796,0.0414472,0.000252199999999925,-0.0355542999999999,0.00437520000000002,-0.00126550000000014
"Ys1...85",-0.5,-1.5,-0.2,-1.5,-0.0525609,-0.0247796,0.0161711,0.003521,-0.0101878999999999,0.00195389999999995,-0.000508300000000128
"Ys1...86",-0.5,-1.5,-0.2,-1,-0.0530097,-0.0247796,0.0221923000000001,0.00194550000000004,-0.0162091,0.00310259999999996,-0.000935100000000078
"Ys1...87",-0.5,-1.5,-0.2,1,-0.0532784000000001,-0.0247796,0.0286185,0.00031239999999999,-0.0226352999999999,0.00431950000000003,-0.00135130000000006
"Ys1...88",-0.5,-1.5,-0.2,1.5,-0.0532822000000001,-0.0247796,0.0288295000000001,0.000259099999999957,-0.0228463,0.0043647,-0.00135940000000012
"Ys1...89",-0.5,-1.5,0.2,-1.5,-0.0525178000000001,-0.0247796,0.0119249,0.00338910000000003,-0.00603699999999996,0.00193549999999998,-0.000563300000000044
"Ys1...90",-0.5,-1.5,0.2,-1,-0.0529628,-0.0247796,0.0154538,0.00186780000000009,-0.00956589999999991,0.00308639999999993,-0.000933700000000037
"Ys1...91",-0.5,-1.5,0.2,1,-0.0532207,-0.0247796,0.0192361,0.000216299999999947,-0.0133481999999999,0.00428550000000005,-0.00138610000000006
"Ys1...92",-0.5,-1.5,0.2,1.5,-0.0532244000000001,-0.0247796,0.0193612,0.000178200000000017,-0.0134732999999999,0.00432849999999996,-0.00138120000000008
"Ys1...93",-0.5,-1.5,0.75,-1.5,-0.0525782,-0.0247796,0.00637500000000002,0.00348389999999998,-0.000396799999999975,0.00193679999999996,-0.0005575000000001
"Ys1...94",-0.5,-1.5,0.75,-1,-0.0530279,-0.0247796,0.00654980000000005,0.00190950000000001,-0.000571600000000005,0.00309689999999996,-0.000971800000000078
"Ys1...95",-0.5,-1.5,0.75,1,-0.0532889,-0.0247796,0.00673690000000005,0.000225000000000031,-0.000758700000000001,0.0042721,-0.00148110000000001
"Ys1...96",-0.5,-1.5,0.75,1.5,-0.0532928,-0.0247796,0.00674350000000001,0.000185099999999938,-0.000765299999999969,0.00431799999999993,-0.00147510000000017
"Ys1...97",-0.5,-1,-0.75,-1.5,-0.0414524000000001,-0.0606196999999999,0.0209218,0.00565689999999996,-0.0123888,0.00242530000000007,-0.000450799999999973
"Ys1...98",-0.5,-1,-0.75,-1,-0.0393247000000001,-0.0535421,0.0282505000000001,0.00444800000000001,-0.0190249,0.00399839999999996,-0.000779200000000091
"Ys1...99",-0.5,-1,-0.75,1,-0.0332973000000001,-0.0361126000000001,0.0335778000000001,0.00357689999999999,-0.0227872,0.00626070000000001,-0.000953000000000093
"Ys1...100",-0.5,-1,-0.75,1.5,-0.0324673,-0.0336914,0.0332878,0.0036233,-0.0222969,0.00643099999999996,-0.000936600000000065
"Ys1...101",-0.5,-1,-0.2,-1.5,-0.0415721,-0.0606196999999999,0.016343,0.00573179999999995,-0.00767329999999999,0.00243500000000008,-0.000502899999999973
"Ys1...102",-0.5,-1,-0.2,-1,-0.0394404,-0.0535421,0.0210696,0.00448930000000003,-0.0117005,0.00401739999999995,-0.000862400000000041
"Ys1...103",-0.5,-1,-0.2,1,-0.0333654,-0.0361126000000001,0.0244298000000001,0.00359739999999997,-0.0135495,0.00625949999999997,-0.00102340000000012
"Ys1...104",-0.5,-1,-0.2,1.5,-0.0325415,-0.0336914,0.0242528,0.00364790000000004,-0.0131661,0.00642949999999998,-0.00100929999999999
"Ys1...105",-0.5,-1,0.2,-1.5,-0.0414749,-0.0606196999999999,0.0127156,0.00562249999999997,-0.00418870000000005,0.00241750000000007,-0.000486899999999957
"Ys1...106",-0.5,-1,0.2,-1,-0.0393123,-0.0535421,0.015445,0.00443500000000008,-0.00625600000000004,0.00399109999999991,-0.000762900000000011
"Ys1...107",-0.5,-1,0.2,1,-0.033315,-0.0361126000000001,0.0175186000000001,0.00353879999999995,-0.0067258,0.00619649999999994,-0.00105750000000016
"Ys1...108",-0.5,-1,0.2,1.5,-0.0324756,-0.0336914,0.0174073,0.00359220000000005,-0.00642339999999997,0.00636839999999994,-0.00102330000000006
"Ys1...109",-0.5,-1,0.75,-1.5,-0.0415946,-0.0606196999999999,0.00813679999999994,0.00569739999999996,0.000526800000000049,0.00242720000000007,-0.000538999999999956
"Ys1...110",-0.5,-1,0.75,-1,-0.039428,-0.0535421,0.0082641,0.00447629999999999,0.00106839999999997,0.00401010000000002,-0.000846099999999961
"Ys1...111",-0.5,-1,0.75,1,-0.0333831,-0.0361126000000001,0.00837060000000001,0.00355930000000004,0.00251190000000001,0.00619530000000001,-0.00112789999999996
"Ys1...112",-0.5,-1,0.75,1.5,-0.0325498,-0.0336914,0.0083723,0.00361679999999998,0.00270740000000003,0.00636689999999995,-0.0010960000000001
"Ys1...113",-0.5,0,-0.75,-1.5,-0.0350838,-0.1740821,0.0187971,0.0065345,-0.00883840000000002,0.00302220000000009,-0.000401999999999902
"Ys1...114",-0.5,0,-0.75,-1,-0.0326614999999999,-0.1213436,0.0254394,0.0054689,-0.0145932000000001,0.00474450000000004,-0.000632799999999878
"Ys1...115",-0.5,0,-0.75,1,-0.0297185999999999,-0.0336558,0.032952,0.00427860000000002,-0.0212669,0.00646800000000003,-0.000938499999999953
"Ys1...116",-0.5,0,-0.75,1.5,-0.0295979000000001,-0.0291068999999999,0.0331577000000001,0.0042584,-0.0214380000000001,0.00664399999999998,-0.000817300000000021
"Ys1...117",-0.5,0,-0.2,-1.5,-0.0351795,-0.1740821,0.0151405,0.00664140000000002,-0.00506319999999993,0.00303020000000009,-0.000405699999999953
"Ys1...118",-0.5,0,-0.2,-1,-0.0327539,-0.1213436,0.0194061999999999,0.00552909999999995,-0.00844610000000001,0.00475600000000009,-0.00067499999999987
"Ys1...119",-0.5,0,-0.2,1,-0.0297678,-0.0336352,0.0241534,0.00424960000000008,-0.0124555,0.00661979999999995,-0.00082850000000001
"Ys1...120",-0.5,0,-0.2,1.5,-0.0296119,-0.0291655,0.0242587000000001,0.00428549999999994,-0.0125219000000001,0.00654410000000005,-0.000907199999999997
"Ys1...121",-0.5,0,0.2,-1.5,-0.0350771,-0.1740821,0.0122217,0.00650700000000004,-0.00230960000000002,0.00301709999999999,-0.000387999999999944
"Ys1...122",-0.5,0,0.2,-1,-0.0326741,-0.1213436,0.0147495000000001,0.00543289999999996,-0.00392120000000007,0.0047471,-0.000648300000000046
"Ys1...123",-0.5,0,0.2,1,-0.0296933,-0.0336558,0.0175861,0.00419510000000001,-0.00594139999999999,0.00645300000000004,-0.000996600000000014
"Ys1...124",-0.5,0,0.2,1.5,-0.0295915,-0.0290856,0.0177029,0.00408490000000006,-0.00592949999999992,0.00666699999999998,-0.00102150000000001
"Ys1...125",-0.5,0,0.75,-1.5,-0.0351728,-0.1740821,0.00856509999999999,0.00661390000000006,0.00146560000000007,0.0030251,-0.000391699999999995
"Ys1...126",-0.5,0,0.75,-1,-0.0327665,-0.1213436,0.00871630000000001,0.00549309999999992,0.0022259,0.00475860000000006,-0.000690500000000038
"Ys1...127",-0.5,0,0.75,1,-0.0297997,-0.0336352,0.0087197,0.00422640000000007,0.00299450000000001,0.00667659999999992,-0.000811200000000012
"Ys1...128",-0.5,0,0.75,1.5,-0.0296025999999999,-0.0291002,0.00876369999999993,0.00423340000000005,0.00295780000000001,0.006656,-0.000832099999999891
"Ys1...129",-0.5,1,-0.75,-1.5,-0.0341159999999999,-0.2860459,0.0146904999999999,0.00604630000000006,-0.00476389999999993,0.00363610000000003,-0.000244199999999917
"Ys1...130",-0.5,1,-0.75,-1,-0.0314875999999999,-0.1974697,0.0204666999999999,0.00504459999999995,-0.00940479999999999,0.00553020000000004,-0.000487099999999963
"Ys1...131",-0.5,1,-0.75,1,-0.0294987,-0.0342431,0.0284998,0.00372119999999998,-0.0167749,0.00711530000000005,-0.0008883999999999
"Ys1...132",-0.5,1,-0.75,1.5,-0.0296457,-0.0282082,0.0288765,0.00366769999999994,-0.0170579,0.00720470000000006,-0.000946200000000008
