"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-0.61248846553295,0.291304907834554,1.15764763264664,0.863694264455124,-0.142301891925293,0.112689648043039,-0.0389618282231816
"Ys1...2",-1.5,-1.5,-0.75,-1,-0.707226765183619,0.323040229509659,1.66805437964191,1.12555027512343,-0.246032354951983,0.20898496682903,-0.0874867827374661
"Ys1...3",-1.5,-1.5,-0.75,1,-0.791791306466339,0.0799645625667535,2.37851036045572,1.61407315848675,-0.364773226597764,0.360424211214228,-0.0392397641569797
"Ys1...4",-1.5,-1.5,-0.75,1.5,-0.790753390780099,0.0423993534867622,2.42228890345739,1.66054084074078,-0.371523231639277,0.372064252141755,-0.0181605789355759
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-0.612851543626429,0.291273700770413,1.06549574385029,0.863739709373245,-0.0498096828969734,0.112564993233208,-0.039381358346863
"Ys1...6",-1.5,-1.5,-0.2,-1,-0.707456290262592,0.323174605829362,1.49751305792343,1.12551160569733,-0.0758116268874627,0.20912100704754,-0.0870688182911024
"Ys1...7",-1.5,-1.5,-0.2,1,-0.79196940910579,0.0801552683912905,2.13844691647687,1.61408234622272,-0.124410826649239,0.360801417475656,-0.0391523261292517
"Ys1...8",-1.5,-1.5,-0.2,1.5,-0.790927105908589,0.0421723697191667,2.18306048070637,1.66052639234495,-0.131982226539359,0.372390678145207,-0.0181611836768494
"Ys1...9",-1.5,-1.5,0.2,-1.5,-0.611110621128195,0.291246325088341,0.998305112603499,0.863742515131234,0.0176325714741159,0.112914724574232,-0.0392804443721486
"Ys1...10",-1.5,-1.5,0.2,-1,-0.705978973469938,0.323720311630737,1.37341148616187,1.12569548236538,0.049126139517258,0.209297613189753,-0.0875445301239943
"Ys1...11",-1.5,-1.5,0.2,1,-0.790655897467535,0.0807950697163959,1.96434845023795,1.61529128825024,0.0508909102099966,0.361023976225425,-0.0389240959722752
"Ys1...12",-1.5,-1.5,0.2,1.5,-0.789491598212162,0.0425379033112785,2.00979061870093,1.66151792058736,0.0424572200336151,0.372478568217036,-0.0182513499301473
"Ys1...13",-1.5,-1.5,0.75,-1.5,-0.611657084060886,0.291305255270186,0.906159236350105,0.863837804886132,0.110246491584522,0.112838679696543,-0.0397292433519514
"Ys1...14",-1.5,-1.5,0.75,-1,-0.706364202332064,0.323745821192714,1.20290691628156,1.12553226028241,0.219359664407535,0.209134598242285,-0.0875997221643918
"Ys1...15",-1.5,-1.5,0.75,1,-0.790946994479488,0.0807418323566136,1.72374933176352,1.61477768052503,0.291013760175935,0.3607435443652,-0.0392418670492236
"Ys1...16",-1.5,-1.5,0.75,1.5,-0.789857756632305,0.0425961889608328,1.76976551878361,1.66104998444141,0.28185526238736,0.372220361714554,-0.0183504350150008
"Ys1...17",-1.5,-1,-0.75,-1.5,-0.61248846553295,0.039066021889703,1.52174178313553,1.32577287100785,-0.0198459279501959,0.150148432028693,-0.0259745521487873
"Ys1...18",-1.5,-1,-0.75,-1,-0.707226765183619,0.0759901030064389,1.86201294779904,1.50034354478672,-0.024637219967989,0.278707661219354,-0.0583245218249773
"Ys1...19",-1.5,-1,-0.75,1,-0.791791306466339,0.0197435083778355,2.33565026834159,1.82602546702894,-0.00269710106517618,0.480767857476152,-0.0261598427713197
"Ys1...20",-1.5,-1,-0.75,1.5,-0.790753390780099,0.00381288565784166,2.36483596367603,1.85700392186496,0.000435845573815374,0.496160834761171,-0.0121070526237168
"Ys1...21",-1.5,-1,-0.2,-1.5,-0.61285154362643,0.039015317180275,1.46031119728201,1.32580717429731,0.0418344947353511,0.150084278822139,-0.0262542388979083
"Ys1...22",-1.5,-1,-0.2,-1,-0.707456290262592,0.0760790872195747,1.74832273999744,1.5003217718467,0.0888164654083581,0.27877155469836,-0.0580458788607343
"Ys1...23",-1.5,-1,-0.2,1,-0.79196940910579,0.0198864455941936,2.17561197903306,1.82603559886363,0.157625248900508,0.481100078317104,-0.026101550752835
"Ys1...24",-1.5,-1,-0.2,1.5,-0.790927105908589,0.00359591314611096,2.20535435518606,1.85699829627845,0.160203348973761,0.496451952096804,-0.0121074557845664
"Ys1...25",-1.5,-1,0.2,-1.5,-0.611110621128195,0.0390256167255605,1.41595464116434,1.3262462428495,0.0868313476494103,0.150352783049488,-0.0261869629147653
