"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-0.0150417,0.0697308,0.2625247,0.1789347,-0.0532477,0.0471699999999999,0.0168276999999999
"Ys1...2",-1.5,-1.5,-0.75,-1,-0.0349304,0.1242801,0.3841277,0.2502231,-0.0944147,0.0959821999999999,0.0564922999999998
"Ys1...3",-1.5,-1.5,-0.75,1,-0.0375919,0.1264657,0.4709733,0.3073589,-0.1287277,0.1911854,0.1562987
"Ys1...4",-1.5,-1.5,-0.75,1.5,-0.0352474,0.0969106,0.4645041,0.3047853,-0.1247475,0.1995238,0.1645525
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-0.014859,0.0696671000000001,0.2305852,0.1792337,-0.0212519,0.0472907,0.0171911
"Ys1...6",-1.5,-1.5,-0.2,-1,-0.0351226000000001,0.1239942,0.3216151,0.250278,-0.0318543999999999,0.0959682999999999,0.0564855999999999
"Ys1...7",-1.5,-1.5,-0.2,1,-0.0375341,0.1262124,0.3717306,0.3073717,-0.0296584999999999,0.1910789,0.1563785
"Ys1...8",-1.5,-1.5,-0.2,1.5,-0.0352109,0.0970519999999999,0.3680717,0.3047592,-0.0287236,0.1995944,0.1650055
"Ys1...9",-1.5,-1.5,0.2,-1.5,-0.0149265,0.0697459,0.2067054,0.1792629,0.00278459999999991,0.0471101,0.0168830000000001
"Ys1...10",-1.5,-1.5,0.2,-1,-0.0351411999999999,0.1242254,0.2778484,0.2502988,0.0121451,0.0960283000000001,0.0563336000000002
"Ys1...11",-1.5,-1.5,0.2,1,-0.0375238,0.1267453,0.3097363,0.3075244,0.0325647,0.1914438,0.1566672
"Ys1...12",-1.5,-1.5,0.2,1.5,-0.035133,0.097126,0.3056415,0.3050222,0.0341513,0.1998783,0.1651077
"Ys1...13",-1.5,-1.5,0.75,-1.5,-0.0147016,0.0696804,0.1718702,0.179212,0.0374921,0.0474701000000001,0.0173198000000001
"Ys1...14",-1.5,-1.5,0.75,-1,-0.0350910999999999,0.1243191,0.2164296,0.2504707,0.0735393,0.0961977000000001,0.0566995000000001
"Ys1...15",-1.5,-1.5,0.75,1,-0.0375081,0.1264811,0.2203023,0.3074052,0.1221323,0.1912744,0.156245
"Ys1...16",-1.5,-1.5,0.75,1.5,-0.0353104,0.0970611,0.2141452,0.30506,0.1257696,0.1997323,0.1648775
"Ys1...17",-1.5,-1,-0.75,-1.5,-0.00992190000000004,0.0123323000000001,0.2721573,0.1996617,-0.0103141,0.0628933,0.000711800000000151
"Ys1...18",-1.5,-1,-0.75,-1,-0.0334118,0.042537,0.3738225,0.2595191,-0.0133696000000001,0.1284962,0.0275624
"Ys1...19",-1.5,-1,-0.75,1,-0.031704,0.062259,0.4051408,0.2852073,0.0483001,0.2844209,0.1161873
"Ys1...20",-1.5,-1,-0.75,1.5,-0.0281226,0.0521721000000001,0.3871131,0.27747,0.0676679,0.3025066,0.1251956
"Ys1...21",-1.5,-1,-0.2,-1.5,-0.00980119999999995,0.0120341,0.2449857,0.2002549,0.0169497,0.0627187,0.0010382000000001
"Ys1...22",-1.5,-1,-0.2,-1,-0.0335128,0.0424945,0.3166138,0.2596234,0.0438522,0.128516,0.0276734
"Ys1...23",-1.5,-1,-0.2,1,-0.0315886,0.0621668000000001,0.3198757,0.2850896,0.1334802,0.2845883,0.116322
"Ys1...24",-1.5,-1,-0.2,1.5,-0.0280528,0.0519173999999999,0.3084551,0.2772493,0.1464852,0.3028617,0.1251707
"Ys1...25",-1.5,-1,0.2,-1.5,-0.00973889999999999,0.0122976,0.2259166,0.1998174,0.0361147000000001,0.0628398999999999,0.000626000000000015
"Ys1...26",-1.5,-1,0.2,-1,-0.0336706999999999,0.0425285,0.2808245,0.2596755,0.0800233,0.1286201,0.0274478000000001
"Ys1...27",-1.5,-1,0.2,1,-0.0316088,0.0620389,0.2737987,0.2852031,0.1801206,0.2845855,0.1158693
"Ys1...28",-1.5,-1,0.2,1.5,-0.0282239,0.0520518000000001,0.2638846,0.2773822,0.1914843,0.302961,0.1249743
"Ys1...29",-1.5,-1,0.75,-1.5,-0.00963970000000003,0.0122407,0.1998592,0.1999538,0.0620991000000001,0.0626997,0.000695199999999896
