"","mode.z","mode.m","mode.y","rho","alpha_1","beta_2","gamma_2","gamma_3","gamma_6","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1","con","con","con",-0.2,1.5,1.5,1,-1.5,1,-0.0316326647379999,5.50669930840611,0.00671963444626256,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
"2","bi","con","con",-0.2,1.5,1.5,1,-1.5,1,-0.46025,0.392939204957746,0.0062628213498177,4,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2
"3","con","bi","con",-0.2,1.5,1.5,1,-1.5,1,-0.23436589810768,-0.127790913473115,0.0195289773239129,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
"4","bi","bi","con",-0.2,1.5,1.5,1,-1.5,1,-0.0333199999999998,-0.0012350000000001,0.0097149999999997,4,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2
"5","con","con","bi",-0.2,1.5,1.5,1,-1.5,1,-0.06719,-0.11518,-5.00000000001055e-05,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"6","bi","con","bi",-0.2,1.5,1.5,1,-1.5,1,-0.02336,-0.0359900000000001,0.00212999999999997,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
"7","con","bi","bi",-0.2,1.5,1.5,1,-1.5,1,-0.04576,-0.0359900000000001,-0.00109000000000015,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"8","bi","bi","bi",-0.2,1.5,1.5,1,-1.5,1,-0.01231,-0.0136399999999999,0.00119000000000002,4,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2
"9","con","con","con",-0.2,1.5,1.5,1,-0.5,1,-0.0316326647380007,5.51462280669795,0.0246825936575368,4,3,1,2,4,3,1,2,4,3,2,1,4,3,1,2
"10","bi","con","con",-0.2,1.5,1.5,1,-0.5,1,-0.46025,0.395529204957746,0.0141628213498195,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
"11","con","bi","con",-0.2,1.5,1.5,1,-0.5,1,-0.234365898107681,-0.127960913473114,0.0202189773239132,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
"12","bi","bi","con",-0.2,1.5,1.5,1,-0.5,1,-0.0333199999999998,-0.00242500000000012,0.00830499999999956,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
"13","con","con","bi",-0.2,1.5,1.5,1,-0.5,1,-0.17108,-0.1174,0.00117,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"14","bi","con","bi",-0.2,1.5,1.5,1,-0.5,1,-0.05652,-0.0443,0.000940000000000052,3,4,1,2,3,4,1,2,3,4,2,1,3,4,1,2
"15","con","bi","bi",-0.2,1.5,1.5,1,-0.5,1,-0.03367,-0.02761,-0.000200000000000089,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"16","bi","bi","bi",-0.2,1.5,1.5,1,-0.5,1,-0.00406000000000006,-0.00556999999999996,-0.00108999999999992,4,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2
"17","con","con","con",-0.2,1.5,1.5,1,0,1,-0.031632664737999,5.51858455584386,0.0336640732631732,4,3,1,2,4,3,1,2,4,3,2,1,4,3,1,2
"18","bi","con","con",-0.2,1.5,1.5,1,0,1,-0.46025,0.396824204957749,0.0181128213498183,4,3,1,2,4,2,1,3,4,3,1,2,4,3,1,2
"19","con","bi","con",-0.2,1.5,1.5,1,0,1,-0.234365898107681,-0.128045913473116,0.0205639773239117,4,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2
"20","bi","bi","con",-0.2,1.5,1.5,1,0,1,-0.0333200000000002,-0.0030199999999998,0.0076000000000005,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
"21","con","con","bi",-0.2,1.5,1.5,1,0,1,-0.15247,-0.09513,-0.00112999999999996,2,4,1,3,2,4,1,3,3,4,2,1,2,4,1,3
"22","bi","con","bi",-0.2,1.5,1.5,1,0,1,-0.00532999999999995,-0.0130899999999999,0.000759999999999983,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
