"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,0.000278,-0.0115487,7.10000000003763e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"2",-1.5,-1.5,-0.75,-1,0.000635099999999889,-0.00859049999999995,1.25000000000819e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"3",-1.5,-1.5,-0.75,1,0.00114309999999984,0.0046465,1.2000000000012e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"4",-1.5,-1.5,-0.75,1.5,0.00119759999999991,0.00657529999999995,1.29999999999297e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"5",-1.5,-1.5,-0.2,-1.5,0.000311799999999973,-0.0115902999999999,-2.59999999996374e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"6",-1.5,-1.5,-0.2,-1,0.000645600000000024,-0.00863329999999995,1.20000000003451e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"7",-1.5,-1.5,-0.2,1,0.00120399999999987,0.00461100000000003,2.30000000001063e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"8",-1.5,-1.5,-0.2,1.5,0.00123899999999988,0.00654129999999997,3.89999999994561e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9",-1.5,-1.5,0.2,-1.5,0.000283399999999934,-0.0115567999999999,3.19000000000846e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"10",-1.5,-1.5,0.2,-1,0.00062569999999984,-0.00860009999999989,3.78000000000878e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"11",-1.5,-1.5,0.2,1,0.00118279999999993,0.00464779999999998,3.48000000000015e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"12",-1.5,-1.5,0.2,1.5,0.00122239999999985,0.00657849999999993,3.67000000000006e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"15",-1.5,-1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"17",-1.5,-1,-0.75,-1.5,0.000284399999999851,-0.0101054,-3.1200000000009e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"18",-1.5,-1,-0.75,-1,0.000605499999999926,-0.00760470000000002,-1.84999999999214e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"19",-1.5,-1,-0.75,1,0.00104509999999991,0.00373480000000004,5.18999999999936e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"20",-1.5,-1,-0.75,1.5,0.00109199999999987,0.00540160000000001,4.13999999999692e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"21",-1.5,-1,-0.2,-1.5,0.000295999999999963,-0.0101551000000001,-4.6400000000113e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"22",-1.5,-1,-0.2,-1,0.00058809999999998,-0.00765499999999997,-3.4399999999879e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"23",-1.5,-1,-0.2,1,0.00106379999999995,0.00369180000000002,3.62999999999891e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"24",-1.5,-1,-0.2,1.5,0.00109599999999999,0.00535980000000003,2.65000000000404e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"25",-1.5,-1,0.2,-1.5,0.000304599999999988,-0.0101205000000001,-1.13000000000474e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"26",-1.5,-1,0.2,-1,0.000603200000000026,-0.00762060000000009,2.80000000008052e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"27",-1.5,-1,0.2,1,0.00107800000000002,0.00373020000000002,6.97000000000614e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"28",-1.5,-1,0.2,1.5,0.00111499999999998,0.00539880000000004,6.03000000000131e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"29",-1.5,-1,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"30",-1.5,-1,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"31",-1.5,-1,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"32",-1.5,-1,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"33",-1.5,0,-0.75,-1.5,0.000304999999999889,-0.00865120000000008,1.23999999999125e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"34",-1.5,0,-0.75,-1,0.000583099999999948,-0.00661650000000003,2.05000000000899e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"35",-1.5,0,-0.75,1,0.00094890000000003,0.0027699000000001,3.0399999999986e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"36",-1.5,0,-0.75,1.5,0.000991900000000046,0.00416490000000003,3.05000000000444e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"37",-1.5,0,-0.2,-1.5,0.000336499999999962,-0.00871030000000006,-8.10000000006639e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"38",-1.5,0,-0.2,-1,0.000570699999999924,-0.00667510000000004,-3.9999999990048e-07,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"39",-1.5,0,-0.2,1,0.000970499999999985,0.00271900000000014,9.40000000004826e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"40",-1.5,0,-0.2,1.5,0.000998500000000013,0.00411530000000004,1.03000000000186e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"41",-1.5,0,0.2,-1.5,0.000347299999999939,-0.00867230000000008,2.77999999999112e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"42",-1.5,0,0.2,-1,0.000579099999999833,-0.00663710000000006,3.79000000000351e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"43",-1.5,0,0.2,1,0.000984800000000008,0.00276060000000011,4.42999999999971e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"44",-1.5,0,0.2,1.5,0.00101659999999992,0.00415739999999998,4.53999999999732e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"45",-1.5,0,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"46",-1.5,0,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"47",-1.5,0,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"48",-1.5,0,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"49",-1.5,1,-0.75,-1.5,0.000228199999999901,-0.0080732,1.22999999999651e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"50",-1.5,1,-0.75,-1,0.000497299999999923,-0.00620520000000002,2.34999999999541e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"51",-1.5,1,-0.75,1,0.000841900000000062,0.00245629999999997,5.48000000000215e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"52",-1.5,1,-0.75,1.5,0.00087970000000015,0.00375759999999992,4.96999999999304e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"53",-1.5,1,-0.2,-1.5,0.00026169999999992,-0.00813019999999998,-8.60000000002525e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"54",-1.5,1,-0.2,-1,0.000487899999999986,-0.00626109999999991,2.50000000001638e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"55",-1.5,1,-0.2,1,0.00086940000000002,0.00240829999999992,3.3599999999967e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"56",-1.5,1,-0.2,1.5,0.000897100000000095,0.00371100000000002,2.93999999999572e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"57",-1.5,1,0.2,-1.5,0.000282899999999864,-0.00809369999999998,2.63000000000346e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"58",-1.5,1,0.2,-1,0.000507799999999947,-0.00622469999999997,3.98999999999816e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"59",-1.5,1,0.2,1,0.000895500000000049,0.00244859999999991,6.81000000000154e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"60",-1.5,1,0.2,1.5,0.00093080000000012,0.00375190000000003,6.41000000000114e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"61",-1.5,1,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"62",-1.5,1,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"63",-1.5,1,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"64",-1.5,1,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"65",-1.5,1.5,-0.75,-1.5,0.000201400000000018,-0.00795310000000005,1.05000000000244e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"66",-1.5,1.5,-0.75,-1,0.000471500000000069,-0.00612760000000001,1.64999999999749e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"67",-1.5,1.5,-0.75,1,0.000808999999999949,0.00236819999999993,4.60999999999379e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"68",-1.5,1.5,-0.75,1.5,0.000849700000000064,0.00364560000000003,3.7600000000082e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"69",-1.5,1.5,-0.2,-1.5,0.000243799999999905,-0.00801050000000003,-1.1199999999989e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"70",-1.5,1.5,-0.2,-1,0.000471500000000069,-0.00618380000000007,-5.40000000004426e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"71",-1.5,1.5,-0.2,1,0.000844900000000037,0.00232069999999995,2.4799999999936e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"72",-1.5,1.5,-0.2,1.5,0.000874700000000006,0.00359960000000004,1.73000000001089e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"73",-1.5,1.5,0.2,-1.5,0.000261599999999973,-0.00797440000000005,2.33000000000594e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"74",-1.5,1.5,0.2,-1,0.000484200000000046,-0.00614800000000004,3.14000000000147e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"75",-1.5,1.5,0.2,1,0.000863699999999912,0.00236000000000003,5.82000000000082e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"76",-1.5,1.5,0.2,1.5,0.000900200000000018,0.00363950000000002,5.09000000000759e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"77",-1.5,1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"78",-1.5,1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"79",-1.5,1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"80",-1.5,1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"81",-0.5,-1.5,-0.75,-1.5,-0.000277300000000036,-0.0115607999999999,2.25000000000364e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"82",-0.5,-1.5,-0.75,-1,-0.000387800000000049,-0.00871820000000001,2.48999999999944e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"83",-0.5,-1.5,-0.75,1,-0.000613799999999998,0.00433620000000001,3.0400000000097e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"84",-0.5,-1.5,-0.75,1.5,-0.000617500000000049,0.00625050000000005,3.19000000000846e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"85",-0.5,-1.5,-0.2,-1.5,-0.000307199999999952,-0.0115514,2.8800000000051e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"86",-0.5,-1.5,-0.2,-1,-0.000383300000000086,-0.00871339999999998,3.1200000000009e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"87",-0.5,-1.5,-0.2,1,-0.000601500000000033,0.00433380000000005,2.94000000000683e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"88",-0.5,-1.5,-0.2,1.5,-0.000596800000000064,0.00625129999999996,3.05000000000444e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"89",-0.5,-1.5,0.2,-1.5,-0.000146900000000061,-0.0116119,-2.02000000000258e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"90",-0.5,-1.5,0.2,-1,-0.000280600000000075,-0.0087699,-1.98000000000143e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"91",-0.5,-1.5,0.2,1,-0.000499600000000044,0.00429000000000002,-1.92999999999444e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"92",-0.5,-1.5,0.2,1.5,-0.000500200000000173,0.00620389999999993,-1.9199999999997e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"93",-0.5,-1.5,0.75,-1.5,-0.000176799999999977,-0.0116025,-1.39000000000111e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"94",-0.5,-1.5,0.75,-1,-0.000276100000000112,-0.00876509999999997,-1.34999999999996e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"95",-0.5,-1.5,0.75,1,-0.000487300000000079,0.00428759999999995,-2.02999999999731e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"96",-0.5,-1.5,0.75,1.5,-0.000479500000000188,0.00620469999999995,-2.05999999999262e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"97",-0.5,-1,-0.75,-1.5,-0.00020549999999997,-0.0101869,-1.97000000000669e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"98",-0.5,-1,-0.75,-1,-0.000297400000000003,-0.00780500000000006,-9.59999999994299e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"99",-0.5,-1,-0.75,1,-0.000502800000000025,0.00334660000000009,6.560000000011e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"100",-0.5,-1,-0.75,1.5,-0.000506400000000018,0.0049979,5.54999999999861e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"101",-0.5,-1,-0.2,-1.5,-0.000194499999999986,-0.0101746,-1.22000000001288e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"102",-0.5,-1,-0.2,-1,-0.000253799999999971,-0.0077967000000001,-1.89999999999912e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"103",-0.5,-1,-0.2,1,-0.000439399999999979,0.0033474,6.61000000000689e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
