"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,1,-0.75,-1.5,-1.5,-0.00120010000000004,0.0247927999999999,-0.00011339999999993,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"2",-1.5,1,-0.75,-1,-1.5,-0.00189640000000002,0.0177185,-0.000111199999999978,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"3",-1.5,1,-0.75,-0.5,-1.5,-0.00243310000000008,0.00978290000000004,5.40000000004426e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"4",-1.5,1,-0.75,0,-1.5,-0.00282699999999991,0.00202989999999992,0.000169699999999939,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"5",-1.5,1,-0.75,0.5,-1.5,-0.00308029999999992,-0.00535040000000009,0.000142299999999929,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"6",-1.5,1,-0.75,1,-1.5,-0.00319439999999993,-0.0111471999999999,6.76000000000565e-05,4,3,1,2,4,2,1,3,4,2,1,3,4,2,1,3
"7",-1.5,1,-0.75,1.5,-1.5,-0.00324079999999993,-0.0154422,6.00000000017253e-07,4,3,1,2,4,2,1,3,4,2,1,3,4,3,1,2
"8",-1.5,1,-0.2,-1.5,-1.5,-0.00123830000000003,0.0248474,-9.04999999999934e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"9",-1.5,1,-0.2,-1,-1.5,-0.00189940000000011,0.0177367,-0.000121899999999897,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"10",-1.5,1,-0.2,-0.5,-1.5,-0.00240450000000003,0.00980490000000001,-1.05999999999717e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"11",-1.5,1,-0.2,0,-1.5,-0.00279679999999993,0.00204460000000006,0.000151899999999983,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"12",-1.5,1,-0.2,0.5,-1.5,-0.0030057,-0.00533200000000011,0.000123499999999943,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"13",-1.5,1,-0.2,1,-1.5,-0.00311650000000008,-0.0111165,5.94000000000428e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"14",-1.5,1,-0.2,1.5,-1.5,-0.00318439999999998,-0.0154109,-6.20000000006726e-06,4,3,1,2,4,2,1,3,4,2,1,3,4,3,1,2
"15",-1.5,1,0.2,-1.5,-1.5,-0.00125490000000006,0.0248425,-8.75999999999655e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"16",-1.5,1,0.2,-1,-1.5,-0.00190330000000005,0.0177508000000001,-9.69999999999027e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"17",-1.5,1,0.2,-0.5,-1.5,-0.00237830000000006,0.00982919999999998,2.42000000000298e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"18",-1.5,1,0.2,0,-1.5,-0.00278049999999985,0.00206459999999997,0.000182499999999974,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"19",-1.5,1,0.2,0.5,-1.5,-0.00301039999999997,-0.00530930000000007,0.00015619999999994,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"20",-1.5,1,0.2,1,-1.5,-0.00312690000000004,-0.0110924,9.25999999999982e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"21",-1.5,1,0.2,1.5,-1.5,-0.00319510000000001,-0.0153839,2.85999999999342e-05,4,3,1,2,4,2,1,3,4,2,1,3,4,3,1,2
"22",-1.5,1,0.75,-1.5,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"23",-1.5,1,0.75,-1,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"24",-1.5,1,0.75,-0.5,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"25",-1.5,1,0.75,0,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"26",-1.5,1,0.75,0.5,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"27",-1.5,1,0.75,1,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"28",-1.5,1,0.75,1.5,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,3,1,2
