"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",1,-1.5,-1.25,-0.75,-1.5,0.000351100000000049,-0.0107441,-1.45000000001394e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"2",2,-1.5,-1.25,-0.75,-1,0.000685900000000128,-0.00803569999999998,-3.00000000064138e-07,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"3",3,-1.5,-1.25,-0.75,1,0.00115440000000011,0.00414389999999998,3.03000000000386e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"4",4,-1.5,-1.25,-0.75,1.5,0.0012046,0.00593330000000014,2.47000000000996e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"5",5,-1.5,-1.25,-0.2,-1.5,0.000356299999999976,-0.0107906,-2.78000000001333e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"6",6,-1.5,-1.25,-0.2,-1,0.000662400000000174,-0.0080829,-1.46000000000868e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"7",7,-1.5,-1.25,-0.2,1,0.00118000000000007,0.00410359999999999,1.64000000000275e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"8",8,-1.5,-1.25,-0.2,1.5,0.0012137000000001,0.00589440000000008,1.15000000000531e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9",9,-1.5,-1.25,0.2,-1.5,0.000356899999999993,-0.0107573,7.39999999987973e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"10",10,-1.5,-1.25,0.2,-1,0.000673100000000093,-0.00804950000000004,2.25999999998727e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"11",11,-1.5,-1.25,0.2,1,0.0011926000000001,0.00414060000000005,4.9600000000094e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"12",12,-1.5,-1.25,0.2,1.5,0.0012316,0.00593189999999999,4.51000000000201e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"13",13,-1.5,-1.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"14",14,-1.5,-1.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"15",15,-1.5,-1.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"16",16,-1.5,-1.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"17",17,-1.5,-0.5,-0.75,-1.5,0.00033609999999995,-0.00917939999999984,2.71000000000576e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"18",18,-1.5,-0.5,-0.75,-1,0.000632599999999872,-0.00695330000000005,4.32999999999684e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"19",19,-1.5,-0.5,-0.75,1,0.00101479999999998,0.00314349999999997,4.83999999998375e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"20",20,-1.5,-0.5,-0.75,1.5,0.00106039999999996,0.00466,5.37000000000454e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"21",21,-1.5,-0.5,-0.2,-1.5,0.000336499999999962,-0.00923699999999994,8.89999999997837e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"22",22,-1.5,-0.5,-0.2,-1,0.000609899999999941,-0.00701069999999993,2.44000000000355e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"23",23,-1.5,-0.5,-0.2,1,0.00103280000000006,0.00309340000000002,2.92999999998989e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"24",24,-1.5,-0.5,-0.2,1.5,0.0010616,0.00461109999999998,3.54000000000187e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"25",25,-1.5,-0.5,0.2,-1.5,0.000336299999999845,-0.00920149999999997,4.42999999999971e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"26",26,-1.5,-0.5,0.2,-1,0.000609699999999824,-0.0069750999999999,6.21000000000649e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"27",27,-1.5,-0.5,0.2,1,0.00103410000000004,0.00313239999999992,6.33999999998247e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"28",28,-1.5,-0.5,0.2,1.5,0.00106739999999994,0.00465059999999995,6.98000000000087e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"29",29,-1.5,-0.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"30",30,-1.5,-0.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
