"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,0.0045086999999997,-0.133850549999999,-0.000211149999999272,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"2",-1.5,-1.5,-0.75,-1,0.00827730000000004,-0.101888499999999,-0.000107149999999834,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"3",-1.5,-1.5,-0.75,1,0.0144278999999998,0.04359775,-7.99499999999398e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"4",-1.5,-1.5,-0.75,1.5,0.0148151999999997,0.0651518000000006,-9.11499999993737e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"5",-1.5,-1.5,-0.2,-1.5,0.00460139999999987,-0.13365175,0.000597100000000239,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"6",-1.5,-1.5,-0.2,-1,0.0083508000000001,-0.1016094,0.000767100000000021,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"7",-1.5,-1.5,-0.2,1,0.0143401500000002,0.0439755000000002,0.000919900000000418,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"8",-1.5,-1.5,-0.2,1.5,0.014694,0.0655405499999997,0.000930700000000506,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9",-1.5,-1.5,0.2,-1.5,0.00468254999999962,-0.13372065,0.00042085000000025,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"10",-1.5,-1.5,0.2,-1,0.00834719999999978,-0.1016713,0.000617850000000253,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"11",-1.5,-1.5,0.2,1,0.0143839499999996,0.0438526499999998,0.000696849999999749,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"12",-1.5,-1.5,0.2,1.5,0.0147554999999997,0.0654186000000001,0.000705250000000213,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"15",-1.5,-1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"17",-1.5,-1,-0.75,-1.5,0.00300579999999995,-0.0836761999999993,-0.000198749999999137,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"18",-1.5,-1,-0.75,-1,0.00551820000000047,-0.0582563000000005,5.69999999955328e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"19",-1.5,-1,-0.75,1,0.00961860000000003,0.0453804000000004,8.84500000006838e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"20",-1.5,-1,-0.75,1.5,0.0098767999999998,0.0602000499999997,1.13500000002986e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"21",-1.5,-1,-0.2,-1.5,0.00306760000000006,-0.0834852000000001,0.000708000000000375,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"22",-1.5,-1,-0.2,-1,0.00556719999999977,-0.0579828,0.000994950000000383,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"23",-1.5,-1,-0.2,1,0.00956010000000029,0.0458108999999998,0.00123470000000037,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"24",-1.5,-1,-0.2,1.5,0.00979599999999969,0.0606580499999998,0.00118509999999983,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"25",-1.5,-1,0.2,-1.5,0.00312169999999989,-0.0835767000000001,0.000524750000000296,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"26",-1.5,-1,0.2,-1,0.0055647999999997,-0.0580405499999999,0.000845450000000358,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"27",-1.5,-1,0.2,1,0.00958930000000047,0.0456609000000001,0.000992950000000548,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"28",-1.5,-1,0.2,1.5,0.00983699999999965,0.0605050499999997,0.000940350000000478,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"29",-1.5,-1,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"30",-1.5,-1,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"31",-1.5,-1,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"32",-1.5,-1,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"33",-1.5,0,-0.75,-1.5,0,0.0166725000000003,-0.0001739500000002,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"34",-1.5,0,-0.75,-1,4.44089209850063e-16,0.0290081000000004,0.00023139999999966,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"35",-1.5,0,-0.75,1,4.44089209850063e-16,0.0489457,0.000425250000000599,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"36",-1.5,0,-0.75,1.5,-4.44089209850063e-16,0.0502965500000006,0.000216350000000087,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"37",-1.5,0,-0.2,-1.5,0,0.0168479000000001,0.000929799999999315,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"38",-1.5,0,-0.2,-1,4.44089209850063e-16,0.0292703999999997,0.00145064999999978,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"39",-1.5,0,-0.2,1,4.44089209850063e-16,0.0494817000000003,0.00186430000000071,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"40",-1.5,0,-0.2,1.5,-8.88178419700125e-16,0.05089305,0.0016938999999998,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"41",-1.5,0,0.2,-1.5,-4.44089209850063e-16,0.0167112000000005,0.000732549999999943,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"42",-1.5,0,0.2,-1,0,0.0292209500000009,0.00130065000000013,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"43",-1.5,0,0.2,1,0,0.0492774000000002,0.00158515000000081,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"44",-1.5,0,0.2,1.5,0,0.0506779499999999,0.00141054999999968,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"45",-1.5,0,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"46",-1.5,0,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"47",-1.5,0,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"48",-1.5,0,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"49",-1.5,1,-0.75,-1.5,-0.0030057999999995,0.1170212,-0.000149150000000375,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"50",-1.5,1,-0.75,-1,-0.00551820000000092,0.1162725,0.000457100000000654,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"51",-1.5,1,-0.75,1,-0.00961860000000048,0.052511,0.000762050000000514,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"52",-1.5,1,-0.75,1.5,-0.0098767999999998,0.0403930500000005,0.000421350000000764,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"53",-1.5,1,-0.2,-1.5,-0.00306759999999962,0.117181,0.00115160000000003,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"54",-1.5,1,-0.2,-1,-0.00556720000000155,0.1165236,0.00190635000000006,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"55",-1.5,1,-0.2,1,-0.00956010000000074,0.0531525000000004,0.00249390000000016,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"56",-1.5,1,-0.2,1.5,-0.00979599999999969,0.0411280500000002,0.00220270000000067,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"57",-1.5,1,0.2,-1.5,-0.00312169999999945,0.1169991,0.00094034999999959,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"58",-1.5,1,0.2,-1,-0.00556480000000104,0.11648245,0.00175585000000078,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"59",-1.5,1,0.2,1,-0.00958930000000002,0.0528938999999999,0.00217735000000019,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"60",-1.5,1,0.2,1.5,-0.00983699999999921,0.04085085,0.00188075000000065,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"61",-1.5,1,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"62",-1.5,1,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"63",-1.5,1,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"64",-1.5,1,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"65",-1.5,1.5,-0.75,-1.5,-0.00450870000000059,0.16719555,-0.000136750000000241,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"66",-1.5,1.5,-0.75,-1,-0.0082772999999996,0.1599047,0.000569950000000485,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"67",-1.5,1.5,-0.75,1,-0.0144278999999994,0.0542936499999991,0.000930449999999361,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"68",-1.5,1.5,-0.75,1.5,-0.0148152000000001,0.0354412999999996,0.000523849999999548,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"69",-1.5,1.5,-0.2,-1.5,-0.00460140000000031,0.167347550000001,0.00126250000000017,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"70",-1.5,1.5,-0.2,-1,-0.00835079999999966,0.1601502,0.00213419999999998,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"71",-1.5,1.5,-0.2,1,-0.0143401499999998,0.0549878999999995,0.00280870000000011,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"72",-1.5,1.5,-0.2,1.5,-0.0146939999999995,0.0362455499999994,0.00245709999999999,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"73",-1.5,1.5,0.2,-1.5,-0.00468255000000095,0.16714305,0.00104424999999964,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"74",-1.5,1.5,0.2,-1,-0.00834719999999933,0.1601132,0.00198345000000044,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"75",-1.5,1.5,0.2,1,-0.0143839500000009,0.0547021499999998,0.0024734500000001,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"76",-1.5,1.5,0.2,1.5,-0.0147555000000006,0.0359372999999996,0.00211585000000003,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"77",-1.5,1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"78",-1.5,1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"79",-1.5,1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"80",-1.5,1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"81",-0.5,-1.5,-0.75,-1.5,-0.00230940000000013,-0.13589465,0.000145899999999699,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"82",-0.5,-1.5,-0.75,-1,-0.00356745000000025,-0.105659149999999,0.000294900000000098,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"83",-0.5,-1.5,-0.75,1,-0.00560129999999992,0.03740115,0.000509300000000046,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"84",-0.5,-1.5,-0.75,1.5,-0.00583139999999993,0.0588046999999996,0.000517699999999621,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"85",-0.5,-1.5,-0.2,-1.5,-0.00230520000000034,-0.1360625,-0.000492750000000264,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"86",-0.5,-1.5,-0.2,-1,-0.00365205000000035,-0.1058444,-0.000341950000000146,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"87",-0.5,-1.5,-0.2,1,-0.00567720000000005,0.0370585000000005,-0.000276749999999382,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"88",-0.5,-1.5,-0.2,1.5,-0.00584550000000039,0.0584536,-0.000287550000000358,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"89",-0.5,-1.5,0.2,-1.5,-0.00223695000000035,-0.13596835,8.57999999999137e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"90",-0.5,-1.5,0.2,-1,-0.00362835000000006,-0.10566805,0.00030199999999958,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"91",-0.5,-1.5,0.2,1,-0.00574485000000013,0.0373882000000005,0.000514800000000371,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"92",-0.5,-1.5,0.2,1.5,-0.0059518500000002,0.0588601999999998,0.000580600000000153,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"93",-0.5,-1.5,0.75,-1.5,-0.00223275000000056,-0.1361362,-0.000552850000000049,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"94",-0.5,-1.5,0.75,-1,-0.00371295000000016,-0.105853300000001,-0.000334850000000664,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"95",-0.5,-1.5,0.75,1,-0.00582075000000026,0.0370455500000002,-0.000271249999999945,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"96",-0.5,-1.5,0.75,1.5,-0.00596595000000022,0.0585091000000002,-0.000224649999999826,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"97",-0.5,-1,-0.75,-1.5,-0.00153960000000009,-0.0834126999999993,0.000149250000000656,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"98",-0.5,-1,-0.75,-1,-0.00237829999999972,-0.0580408000000001,0.000409950000000325,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"99",-0.5,-1,-0.75,1,-0.0037341999999998,0.0459371499999999,0.000726699999999525,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"100",-0.5,-1,-0.75,1.5,-0.0038876000000001,0.0608127999999999,0.000674100000000344,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"101",-0.5,-1,-0.2,-1.5,-0.00153679999999978,-0.0836061999999993,-0.000552249999999255,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"102",-0.5,-1,-0.2,-1,-0.00243469999999979,-0.0582320499999995,-0.000289299999999049,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"103",-0.5,-1,-0.2,1,-0.00378480000000003,0.0455593999999997,-0.000159050000000605,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"104",-0.5,-1,-0.2,1.5,-0.00389700000000026,0.0604110499999999,-0.000235649999999588,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"105",-0.5,-1,0.2,-1.5,-0.00149130000000008,-0.0835232000000001,6.07500000002759e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"106",-0.5,-1,0.2,-1,-0.00241889999999989,-0.0580672999999998,0.000405450000001029,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"107",-0.5,-1,0.2,1,-0.00382989999999994,0.0459086499999999,0.000720199999999949,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"108",-0.5,-1,0.2,1.5,-0.00396790000000014,0.0608560499999991,0.000739349999999916,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"109",-0.5,-1,0.75,-1.5,-0.00148850000000023,-0.0837167000000001,-0.000640749999999635,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"110",-0.5,-1,0.75,-1,-0.00247529999999951,-0.0582585500000001,-0.000293799999999234,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"111",-0.5,-1,0.75,1,-0.00388049999999973,0.0455308999999997,-0.000165550000000181,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"112",-0.5,-1,0.75,1.5,-0.00397730000000029,0.0604543,-0.000170400000000015,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"113",-0.5,0,-0.75,-1.5,0,0.0215512000000002,0.000155950000000349,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"114",-0.5,0,-0.75,-1,0,0.0371959000000004,0.000640050000000336,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"115",-0.5,0,-0.75,1,0,0.0630091500000001,0.00116149999999982,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"116",-0.5,0,-0.75,1.5,0,0.0648290000000005,0.000986900000000457,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"117",-0.5,0,-0.2,-1.5,-4.44089209850063e-16,0.0213064000000003,-0.000671249999999457,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"118",-0.5,0,-0.2,-1,4.44089209850063e-16,0.0369926500000002,-0.000183999999999962,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"119",-0.5,0,-0.2,1,4.44089209850063e-16,0.0625612000000002,7.63500000000583e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"120",-0.5,0,-0.2,1.5,-4.44089209850063e-16,0.0643259499999997,-0.000131850000000266,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"121",-0.5,0,0.2,-1.5,0,0.0213671,1.0650000000556e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"122",-0.5,0,0.2,-1,0,0.0371341999999997,0.000612349999999928,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"123",-0.5,0,0.2,1,0,0.0629495500000008,0.00113100000000044,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"124",-0.5,0,0.2,1.5,-4.44089209850063e-16,0.0648477500000002,0.00105684999999989,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"125",-0.5,0,0.75,-1.5,0,0.0211223,-0.00081654999999925,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"126",-0.5,0,0.75,-1,4.44089209850063e-16,0.0369309500000004,-0.000211699999999482,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"127",-0.5,0,0.75,1,0,0.0625016,4.58499999997919e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"128",-0.5,0,0.75,1.5,-4.44089209850063e-16,0.0643447000000004,-6.18999999999481e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"129",-0.5,1,-0.75,-1.5,0.00153960000000009,0.126515100000001,0.000162650000000042,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"130",-0.5,1,-0.75,-1,0.00237829999999928,0.1324326,0.000870150000000347,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"131",-0.5,1,-0.75,1,0.00373419999999935,0.0800811499999998,0.00159630000000011,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"132",-0.5,1,-0.75,1.5,0.00388760000000055,0.068845200000001,0.00129970000000146,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"133",-0.5,1,-0.2,-1.5,0.00153680000000023,0.126219,-0.000790250000000547,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"134",-0.5,1,-0.2,-1,0.00243469999999935,0.13221735,-7.86999999990989e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"135",-0.5,1,-0.2,1,0.00378480000000003,0.0795630000000003,0.000311749999999833,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"136",-0.5,1,-0.2,1.5,0.00389700000000026,0.0682408500000005,-2.8049999999169e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"137",-0.5,1,0.2,-1.5,0.00149129999999964,0.126257400000001,-3.94500000000519e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"138",-0.5,1,0.2,-1,0.00241889999999945,0.132335700000001,0.000819250000000604,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"139",-0.5,1,0.2,1,0.0038298999999995,0.0799904500000004,0.00154180000000004,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"140",-0.5,1,0.2,1.5,0.00396790000000014,0.0688394500000005,0.00137435000000075,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"141",-0.5,1,0.75,-1.5,0.00148850000000067,0.1259613,-0.000992350000000641,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"142",-0.5,1,0.75,-1,0.00247529999999951,0.13212045,-0.00012959999999973,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"143",-0.5,1,0.75,1,0.00388049999999929,0.0794722999999999,0.000257249999999765,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"144",-0.5,1,0.75,1.5,0.00397729999999985,0.0682351000000008,4.66000000010069e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"145",-0.5,1.5,-0.75,-1.5,0.00230939999999968,0.17899705,0.000166000000000111,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"146",-0.5,1.5,-0.75,-1,0.00356744999999936,0.18005095,0.00098520000000013,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"147",-0.5,1.5,-0.75,1,0.00560129999999948,0.0886171499999993,0.00181369999999959,4,2,1,3,4,1,2,3,4,1,2,3,4,1,2,3
"148",-0.5,1.5,-0.75,1.5,0.00583139999999904,0.0708532999999996,0.00145609999999952,4,2,1,3,4,1,2,3,4,1,2,3,4,1,2,3
"149",-0.5,1.5,-0.2,-1.5,0.00230520000000034,0.1786753,-0.000849750000000427,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"150",-0.5,1.5,-0.2,-1,0.00365205000000035,0.1798297,-2.60500000002217e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"151",-0.5,1.5,-0.2,1,0.00567719999999916,0.088063899999999,0.000429449999999498,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"152",-0.5,1.5,-0.2,1.5,0.0058454999999995,0.0701982999999995,2.38499999998254e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"153",-0.5,1.5,0.2,-1.5,0.00223695000000035,0.17870255,-6.4500000000578e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"154",-0.5,1.5,0.2,-1,0.00362834999999961,0.17993645,0.000922699999999832,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"155",-0.5,1.5,0.2,1,0.00574484999999925,0.0885108999999993,0.00174719999999962,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"156",-0.5,1.5,0.2,1.5,0.00595184999999887,0.0708352999999997,0.00153309999999962,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"157",-0.5,1.5,0.75,-1.5,0.00223274999999923,0.1783808,-0.00108025000000023,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"158",-0.5,1.5,0.75,-1,0.00371294999999972,0.1797152,-8.8549999999632e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"159",-0.5,1.5,0.75,1,0.00582074999999893,0.087957649999999,0.000362949999999529,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
