"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,0.0045086999999997,0.0022330270535625,1,2,4,3,1,2,4,3
"2",-1.5,-1.5,-0.75,-1,0.0082772999999996,0.00362712074510245,1,2,4,3,1,2,4,3
"3",-1.5,-1.5,-0.75,1,0.0144278999999998,0.00538716239369999,1,3,4,2,1,2,4,3
"4",-1.5,-1.5,-0.75,1.5,0.0148151999999997,0.00548365409279998,1,3,4,2,1,2,4,3
"5",-1.5,-1.5,-0.2,-1.5,0.00460139999999987,0.00222523752087,1,2,4,3,1,2,4,3
"6",-1.5,-1.5,-0.2,-1,0.00835079999999966,0.00361208589299999,1,2,4,3,1,2,4,3
"7",-1.5,-1.5,-0.2,1,0.0143401499999998,0.00535963341267,1,2,4,3,1,2,4,3
"8",-1.5,-1.5,-0.2,1.5,0.0146939999999995,0.00545435640337499,1,2,4,3,1,2,4,3
"9",-1.5,-1.5,0.2,-1.5,0.00468254999999962,0.002235866097465,1,2,4,3,1,2,4,3
"10",-1.5,-1.5,0.2,-1,0.00834719999999978,0.00361860516375748,1,2,4,3,1,2,4,3
"11",-1.5,-1.5,0.2,1,0.0143839499999996,0.00536926236502498,1,2,4,3,1,2,4,3
"12",-1.5,-1.5,0.2,1.5,0.0147554999999997,0.00546537932207999,1,2,4,3,1,2,4,3
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"15",-1.5,-1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"17",-1.5,-1,-0.75,-1.5,0.00300579999999995,0.00703461667876249,1,2,4,3,1,2,4,3
"18",-1.5,-1,-0.75,-1,0.00551819999999958,0.0119520056053874,1,2,4,3,1,2,4,3
"19",-1.5,-1,-0.75,1,0.00961860000000003,0.01936012031954,1,2,4,3,1,2,4,3
"20",-1.5,-1,-0.75,1.5,0.00987679999999935,0.0198397891498124,1,2,4,3,1,2,4,3
"21",-1.5,-1,-0.2,-1.5,0.0030676000000005,0.00701081294613,1,2,4,3,1,2,4,3
"22",-1.5,-1,-0.2,-1,0.00556719999999977,0.01191075801675,1,2,4,3,1,2,4,3
"23",-1.5,-1,-0.2,1,0.00956009999999985,0.0192888561146,1,2,4,3,1,2,4,3
"24",-1.5,-1,-0.2,1.5,0.00979599999999969,0.0197649524390599,1,2,4,3,1,2,4,3
"25",-1.5,-1,0.2,-1.5,0.00312170000000034,0.00702991967876249,1,2,4,3,1,2,4,3
"26",-1.5,-1,0.2,-1,0.0055647999999997,0.0119233387325,1,2,4,3,1,2,4,3
"27",-1.5,-1,0.2,1,0.00958930000000047,0.0193105448237401,1,2,4,3,1,2,4,3
"28",-1.5,-1,0.2,1.5,0.00983699999999965,0.0197887127867325,1,2,4,3,1,2,4,3
"29",-1.5,-1,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"30",-1.5,-1,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"31",-1.5,-1,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"32",-1.5,-1,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"33",-1.5,0,-0.75,-1.5,4.44089209850063e-16,0.0242704394280226,1,2,4,3,1,2,4,3
"34",-1.5,0,-0.75,-1,0,0.0420811371775574,1,2,4,3,1,2,4,3
"35",-1.5,0,-0.75,1,4.44089209850063e-16,0.07071986900133,1,2,4,3,1,2,4,3
"36",-1.5,0,-0.75,1.5,0,0.0726679364462324,1,2,4,3,1,2,4,3
"37",-1.5,0,-0.2,-1.5,4.44089209850063e-16,0.0241900494862502,1,2,4,3,1,2,4,3
"38",-1.5,0,-0.2,-1,0,0.04196009165625,1,2,4,3,1,2,4,3
"39",-1.5,0,-0.2,1,4.44089209850063e-16,0.0705257095275,1,2,4,3,1,2,4,3
"40",-1.5,0,-0.2,1.5,0,0.0724634544262499,1,2,4,3,1,2,4,3
"41",-1.5,0,0.2,-1.5,0,0.0242216633327176,1,2,4,3,1,2,4,3
"42",-1.5,0,0.2,-1,4.44089209850063e-16,0.041982817032045,1,2,4,3,1,2,4,3
"43",-1.5,0,0.2,1,4.44089209850063e-16,0.0705807417455551,1,2,4,3,1,2,4,3
"44",-1.5,0,0.2,1.5,-4.44089209850063e-16,0.0725196420484423,1,2,4,3,1,2,4,3
"45",-1.5,0,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"46",-1.5,0,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"47",-1.5,0,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"48",-1.5,0,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"49",-1.5,1,-0.75,-1.5,-0.0030057999999995,0.0516831201757625,1,2,4,3,1,2,4,3
"50",-1.5,1,-0.75,-1,-0.00551819999999825,0.0901827512185281,1,2,4,3,1,2,4,3
"51",-1.5,1,-0.75,1,-0.00961859999999959,0.1532980614566,1,2,4,3,1,2,4,3
"52",-1.5,1,-0.75,1.5,-0.00987680000000069,0.157650586652512,1,2,4,3,1,2,4,3
"53",-1.5,1,-0.2,-1.5,-0.00306759999999873,0.0515134002791702,1,2,4,3,1,2,4,3
"54",-1.5,1,-0.2,-1,-0.00556719999999888,0.0899454111517502,1,2,4,3,1,2,4,3
"55",-1.5,1,-0.2,1,-0.00956009999999896,0.15293377361912,1,2,4,3,1,2,4,3
"56",-1.5,1,-0.2,1.5,-0.00979599999999969,0.1572650363012,1,2,4,3,1,2,4,3
"57",-1.5,1,0.2,-1.5,-0.00312170000000034,0.0515515889751522,1,2,4,3,1,2,4,3
"58",-1.5,1,0.2,-1,-0.00556479999999926,0.0899756435476704,1,2,4,3,1,2,4,3
"59",-1.5,1,0.2,1,-0.00958930000000002,0.15303444800655,1,2,4,3,1,2,4,3
"60",-1.5,1,0.2,1.5,-0.00983700000000098,0.157362921086692,1,2,4,3,1,2,4,3
"61",-1.5,1,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"62",-1.5,1,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"63",-1.5,1,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"64",-1.5,1,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"65",-1.5,1.5,-0.75,-1.5,-0.00450870000000059,0.0692057822990624,1,2,4,3,1,2,4,3
"66",-1.5,1.5,-0.75,-1,-0.0082772999999996,0.120973239164813,1,2,4,3,1,2,4,3
"67",-1.5,1.5,-0.75,1,-0.0144279000000003,0.20629407409929,1,2,4,3,1,2,4,3
"68",-1.5,1.5,-0.75,1.5,-0.0148152000000001,0.212199850346851,1,2,4,3,1,2,4,3
"69",-1.5,1.5,-0.2,-1.5,-0.00460139999999942,0.0689791185204302,1,2,4,3,1,2,4,3
"70",-1.5,1.5,-0.2,-1,-0.00835079999999966,0.120664065595501,1,2,4,3,1,2,4,3
"71",-1.5,1.5,-0.2,1,-0.0143401499999989,0.205827009669451,1,2,4,3,1,2,4,3
"72",-1.5,1.5,-0.2,1.5,-0.0146939999999995,0.211704482196585,1,2,4,3,1,2,4,3
"73",-1.5,1.5,0.2,-1.5,-0.00468254999999917,0.06901837004205,1,2,4,3,1,2,4,3
"74",-1.5,1.5,0.2,-1,-0.00834720000000022,0.120697062386513,1,2,4,3,1,2,4,3
"75",-1.5,1.5,0.2,1,-0.0143839499999991,0.20595511713924,1,2,4,3,1,2,4,3
"76",-1.5,1.5,0.2,1.5,-0.0147554999999988,0.21182669177202,1,2,4,3,1,2,4,3
"77",-1.5,1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"78",-1.5,1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"79",-1.5,1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"80",-1.5,1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"81",-0.5,-1.5,-0.75,-1.5,-0.00230940000000013,0.000239527854877497,1,2,4,3,1,2,4,3
"82",-0.5,-1.5,-0.75,-1,-0.00356745000000025,0.000365975325899991,1,3,4,2,1,2,4,3
"83",-0.5,-1.5,-0.75,1,-0.00560129999999992,0.000460459665000001,1,3,4,2,1,2,4,3
"84",-0.5,-1.5,-0.75,1.5,-0.00583139999999993,0.00046018069659,1,3,4,2,1,2,4,3
"85",-0.5,-1.5,-0.2,-1.5,-0.00230520000000034,0.000242447048549992,1,2,4,3,1,2,4,3
"86",-0.5,-1.5,-0.2,-1,-0.00365205000000035,0.000367805057759988,1,2,4,3,1,2,4,3
"87",-0.5,-1.5,-0.2,1,-0.00567720000000005,0.000463603623390001,1,3,4,2,1,2,4,3
"88",-0.5,-1.5,-0.2,1.5,-0.00584550000000039,0.000464686492814993,1,3,4,2,1,2,4,3
"89",-0.5,-1.5,0.2,-1.5,-0.00223695000000035,0.000240768581219997,1,2,4,3,1,2,4,3
"90",-0.5,-1.5,0.2,-1,-0.00362835000000006,0.000362548195019999,1,2,4,3,1,2,4,3
"91",-0.5,-1.5,0.2,1,-0.00574485000000013,0.00045586409661,1,2,4,3,1,2,4,3
"92",-0.5,-1.5,0.2,1.5,-0.00595185000000065,0.000456036655184988,1,2,4,3,1,2,4,3
"93",-0.5,-1.5,0.75,-1.5,-0.00223275000000056,0.000243693772312492,1,2,4,3,1,2,4,3
"94",-0.5,-1.5,0.75,-1,-0.00371295000000016,0.000364364723519996,1,2,4,3,1,2,4,3
"95",-0.5,-1.5,0.75,1,-0.00582075000000026,0.000458988725002499,1,2,4,3,1,2,4,3
"96",-0.5,-1.5,0.75,1.5,-0.00596595000000022,0.0004605185101725,1,2,4,3,1,2,4,3
"97",-0.5,-1,-0.75,-1.5,-0.00153960000000009,0.00080582627727,1,2,4,3,1,2,4,3
"98",-0.5,-1,-0.75,-1,-0.00237830000000061,0.0013541083683075,1,2,4,3,1,2,4,3
"99",-0.5,-1,-0.75,1,-0.0037341999999998,0.00212775644859752,1,2,4,3,1,2,4,3
"100",-0.5,-1,-0.75,1.5,-0.0038876000000001,0.00217172081733748,1,2,4,3,1,2,4,3
"101",-0.5,-1,-0.2,-1.5,-0.00153679999999978,0.000813931229769995,1,2,4,3,1,2,4,3
"102",-0.5,-1,-0.2,-1,-0.00243470000000023,0.00136111432749,1,2,4,3,1,2,4,3
"103",-0.5,-1,-0.2,1,-0.00378480000000003,0.002140852983845,1,2,4,3,1,2,4,3
"104",-0.5,-1,-0.2,1.5,-0.00389699999999982,0.00218741584682999,1,2,4,3,1,2,4,3
"105",-0.5,-1,0.2,-1.5,-0.00149130000000008,0.000809495929879995,1,2,4,3,1,2,4,3
"106",-0.5,-1,0.2,-1,-0.00241890000000033,0.0013490058227625,1,2,4,3,1,2,4,3
"107",-0.5,-1,0.2,1,-0.00382990000000039,0.00211895885478749,1,2,4,3,1,2,4,3
"108",-0.5,-1,0.2,1.5,-0.00396790000000014,0.00216193337612499,1,2,4,3,1,2,4,3
"109",-0.5,-1,0.75,-1.5,-0.00148850000000023,0.00081761057213999,1,2,4,3,1,2,4,3
"110",-0.5,-1,0.75,-1,-0.00247530000000085,0.00135600022552498,1,2,4,3,1,2,4,3
"111",-0.5,-1,0.75,1,-0.00388050000000018,0.00213203548103,1,2,4,3,1,2,4,3
"112",-0.5,-1,0.75,1.5,-0.00397729999999941,0.00217760472039251,1,2,4,3,1,2,4,3
"113",-0.5,0,-0.75,-1.5,0,0.00287264570782501,1,2,4,3,1,2,4,3
"114",-0.5,0,-0.75,-1,0,0.00500512228211248,1,2,4,3,1,2,4,3
"115",-0.5,0,-0.75,1,4.44089209850063e-16,0.00845704275828753,1,2,4,3,1,2,4,3
"116",-0.5,0,-0.75,1.5,-4.44089209850063e-16,0.00868419422133746,1,2,4,3,1,2,4,3
"117",-0.5,0,-0.2,-1.5,4.44089209850063e-16,0.00289875811509003,1,2,4,3,1,2,4,3
"118",-0.5,0,-0.2,-1,0,0.00503452841903996,1,2,4,3,1,2,4,3
"119",-0.5,0,-0.2,1,4.44089209850063e-16,0.00851275140255004,1,2,4,3,1,2,4,3
"120",-0.5,0,-0.2,1.5,0,0.00874292711255999,1,2,4,3,1,2,4,3
"121",-0.5,0,0.2,-1.5,0,0.00288460506599999,1,2,4,3,1,2,4,3
"122",-0.5,0,0.2,-1,4.44089209850063e-16,0.00500767989954752,1,2,4,3,1,2,4,3
"123",-0.5,0,0.2,1,4.44089209850063e-16,0.00845957227862252,1,2,4,3,1,2,4,3
"124",-0.5,0,0.2,1.5,0,0.00867880776860998,1,2,4,3,1,2,4,3
"125",-0.5,0,0.75,-1.5,0,0.002910736148985,1,2,4,3,1,2,4,3
"126",-0.5,0,0.75,-1,0,0.00503708936809499,1,2,4,3,1,2,4,3
"127",-0.5,0,0.75,1,8.88178419700125e-16,0.00851528314318505,1,2,4,3,1,2,4,3
"128",-0.5,0,0.75,1.5,0,0.00873752956841249,1,2,4,3,1,2,4,3
"129",-0.5,1,-0.75,-1.5,0.00153960000000097,0.00618509525273994,1,2,4,3,1,2,4,3
"130",-0.5,1,-0.75,-1,0.00237830000000017,0.0108891333012377,1,2,4,3,1,2,4,3
"131",-0.5,1,-0.75,1,0.00373420000000113,0.0187792527246376,1,2,4,3,1,2,4,3
"132",-0.5,1,-0.75,1.5,0.00388759999999966,0.0193158585086775,1,2,4,3,1,2,4,3
"133",-0.5,1,-0.2,-1.5,0.00153680000000023,0.00623939636424986,1,2,4,3,1,2,4,3
