"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,0.00183979999999995,-0.0833741000000001,-2.10999999999961e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"2",-1.5,-1.5,-0.75,-1,0.00282579999999999,-0.0546346000000001,-1.88000000000965e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"3",-1.5,-1.5,-0.75,1,0.00383270000000002,0.018761,-1.49000000000399e-05,4,1,3,2,4,2,1,3,4,2,1,3,4,1,2,3
"4",-1.5,-1.5,-0.75,1.5,0.00385600000000008,0.0247208,-1.4400000000081e-05,4,1,3,2,4,2,1,3,4,2,1,3,4,1,2,3
"5",-1.5,-1.5,-0.2,-1.5,0.00181900000000002,-0.083385,-5.99999999995049e-06,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"6",-1.5,-1.5,-0.2,-1,0.00276480000000001,-0.0546166,-1.00000000002876e-06,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"7",-1.5,-1.5,-0.2,1,0.00378460000000003,0.018779,-5.20000000003851e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"8",-1.5,-1.5,-0.2,1.5,0.00380639999999999,0.0247383999999999,-5.10000000009114e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"9",-1.5,-1.5,0.2,-1.5,0.0018459999999999,-0.083379,-2.34999999999541e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"10",-1.5,-1.5,0.2,-1,0.00281359999999997,-0.0546188999999999,-1.49999999999872e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"11",-1.5,-1.5,0.2,1,0.00384069999999992,0.0187757999999999,-1.75000000001146e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"12",-1.5,-1.5,0.2,1.5,0.00386249999999999,0.0247348999999999,-1.71000000001031e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"15",-1.5,-1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"17",-1.5,-1,-0.75,-1.5,0.00161100000000003,-0.0736975000000001,-1.85000000000324e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"18",-1.5,-1,-0.75,-1,0.00237060000000011,-0.048781,4.00000000011502e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"19",-1.5,-1,-0.75,1,0.00286490000000006,0.0151067,-2.78999999999696e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"20",-1.5,-1,-0.75,1.5,0.00282190000000004,0.0197587,2.0800000000043e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"21",-1.5,-1,-0.2,-1.5,0.00163380000000002,-0.0737239000000001,-7.90000000006064e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"22",-1.5,-1,-0.2,-1,0.00232299999999996,-0.0487732,2.15000000001186e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"23",-1.5,-1,-0.2,1,0.00278829999999997,0.0151138,-1.87999999999855e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"24",-1.5,-1,-0.2,1.5,0.00275600000000009,0.0197654,2.98000000000798e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"25",-1.5,-1,0.2,-1.5,0.00158630000000004,-0.0737125000000002,-1.90000000001023e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"26",-1.5,-1,0.2,-1,0.00230030000000003,-0.0487765,5.60000000005001e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"27",-1.5,-1,0.2,1,0.00277430000000001,0.0151113999999999,-3.07000000000501e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"28",-1.5,-1,0.2,1.5,0.00275449999999999,0.0197628000000001,1.78000000000678e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"29",-1.5,-1,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"30",-1.5,-1,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"31",-1.5,-1,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"32",-1.5,-1,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"33",-1.5,0,-0.75,-1.5,0.00120160000000002,-0.0360963,7.47000000000941e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"34",-1.5,0,-0.75,-1,0.00190109999999999,-0.0286409,-1.84999999999214e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"35",-1.5,0,-0.75,1,0.00264539999999991,0.0101051999999999,-1.49000000000399e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
