"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,1,-0.75,-1.5,-1.5,-0.0021327000000001,0.0293017,-0.000163199999999974,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"2",-1.5,1,-0.75,-1,-1.5,-0.00321410000000011,0.0304667,-4.40999999999914e-05,2,3,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"3",-1.5,1,-0.75,-0.5,-1.5,-0.00391199999999992,0.0208783,4.20000000000975e-06,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"4",-1.5,1,-0.75,0,-1.5,-0.00444840000000002,0.00517100000000015,9.91000000001296e-05,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"5",-1.5,1,-0.75,0.5,-1.5,-0.00416900000000009,-0.0109418999999999,-0.000209499999999974,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"6",-1.5,1,-0.75,1,-1.5,-0.0040675,-0.0235152,-8.9600000000023e-05,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"7",-1.5,1,-0.75,1.5,-1.5,-0.00414320000000001,-0.0313742,0.000132000000000021,2,4,1,3,3,2,1,4,3,2,1,4,2,3,1,4
"8",-1.5,1,-0.2,-1.5,-1.5,-0.00205250000000001,0.0292401,-0.000190999999999997,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"9",-1.5,1,-0.2,-1,-1.5,-0.00316210000000006,0.030478,-1.96000000000085e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"10",-1.5,1,-0.2,-0.5,-1.5,-0.00385190000000002,0.0208678,1.8400000000085e-05,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"11",-1.5,1,-0.2,0,-1.5,-0.00399349999999998,0.00516019999999995,3.29000000000024e-05,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
