"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",1,-1.5,-1.25,-0.75,-1.5,0.00166860000000002,-0.079076,3.31999999999555e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"2",2,-1.5,-1.25,-0.75,-1,0.00250820000000007,-0.0519007000000001,2.59999999996374e-06,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"3",3,-1.5,-1.25,-0.75,1,0.00306609999999996,0.0165894,1.00000000002876e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"4",4,-1.5,-1.25,-0.75,1.5,0.00298750000000003,0.0216493999999999,-2.04000000000315e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"5",5,-1.5,-1.25,-0.2,-1.5,0.00169390000000003,-0.0790919999999999,4.68000000000135e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"6",6,-1.5,-1.25,-0.2,-1,0.00249780000000011,-0.0518839,2.06000000000373e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"7",7,-1.5,-1.25,-0.2,1,0.00306119999999988,0.0166031,1.02000000000713e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"8",8,-1.5,-1.25,-0.2,1.5,0.00295500000000004,0.0216634999999999,-1.13000000000474e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"9",9,-1.5,-1.25,0.2,-1.5,0.00167170000000005,-0.079081,3.37000000000254e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"10",10,-1.5,-1.25,0.2,-1,0.00249259999999996,-0.0518851,5.69999999999737e-06,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"11",11,-1.5,-1.25,0.2,1,0.00305139999999993,0.0166017999999999,-1.69999999999337e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"12",12,-1.5,-1.25,0.2,1.5,0.00293960000000004,0.0216611,-2.34000000000067e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"13",13,-1.5,-1.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"14",14,-1.5,-1.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"15",15,-1.5,-1.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"16",16,-1.5,-1.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"17",17,-1.5,-0.5,-0.75,-1.5,0.00137219999999993,-0.0572563,2.62999999999236e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"18",18,-1.5,-0.5,-0.75,-1,0.00207430000000008,-0.0402412,-6.81999999999627e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"19",19,-1.5,-0.5,-0.75,1,0.00269959999999991,0.0126794,2.81000000000864e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"20",20,-1.5,-0.5,-0.75,1.5,0.00269800000000009,0.0170436999999999,3.89999999994561e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"21",21,-1.5,-0.5,-0.2,-1.5,0.00138240000000001,-0.0572792999999999,3.39999999999785e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"22",22,-1.5,-0.5,-0.2,-1,0.00201930000000006,-0.0402342,-5.56999999999919e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"23",23,-1.5,-0.5,-0.2,1,0.00265640000000011,0.0126919999999999,3.70000000000648e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"24",24,-1.5,-0.5,-0.2,1.5,0.00264930000000008,0.017056,1.24999999999709e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"25",25,-1.5,-0.5,0.2,-1.5,0.00134380000000001,-0.0572667,2.5599999999959e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"26",26,-1.5,-0.5,0.2,-1,0.00199210000000005,-0.0402378,-7.0400000000026e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"27",27,-1.5,-0.5,0.2,1,0.00266539999999993,0.0126873999999999,2.4800000000047e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"28",28,-1.5,-0.5,0.2,1.5,0.0026520000000001,0.0170511999999999,4.00000000011502e-07,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"29",29,-1.5,-0.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"30",30,-1.5,-0.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"31",31,-1.5,-0.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"32",32,-1.5,-0.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"33",33,-1.5,-0.25,-0.75,-1.5,0.00129359999999989,-0.0469153999999999,3.88000000000055e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"34",34,-1.5,-0.25,-0.75,-1,0.00198960000000004,-0.0345491,0.000111100000000031,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"35",35,-1.5,-0.25,-0.75,1,0.00268069999999998,0.0114153999999999,7.69999999994386e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"36",36,-1.5,-0.25,-0.75,1.5,0.00269410000000003,0.0157263,8.99999999970369e-07,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"37",37,-1.5,-0.25,-0.2,-1.5,0.00131999999999999,-0.0469516999999999,4.53000000000259e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"38",38,-1.5,-0.25,-0.2,-1,0.00196549999999995,-0.0345567999999999,0.000121400000000049,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"39",39,-1.5,-0.25,-0.2,1,0.00265609999999994,0.0114166,1.62000000000218e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"40",40,-1.5,-0.25,-0.2,1.5,0.00266960000000005,0.0157276000000001,9.60000000005401e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"41",41,-1.5,-0.25,0.2,-1.5,0.00127879999999991,-0.0469373,3.75000000000236e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"42",42,-1.5,-0.25,0.2,-1,0.00192439999999994,-0.0345599999999999,0.000104900000000074,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"43",43,-1.5,-0.25,0.2,1,0.00264710000000001,0.0114134999999999,4.09999999995136e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"44",44,-1.5,-0.25,0.2,1.5,0.00266069999999996,0.0157241,-2.39999999995799e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"45",45,-1.5,-0.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"46",46,-1.5,-0.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"47",47,-1.5,-0.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"48",48,-1.5,-0.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"49",49,-1.5,0.25,-0.75,-1.5,0.0011612000000002,-0.0257943,5.06000000000117e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"50",50,-1.5,0.25,-0.75,-1,0.00180689999999983,-0.0226759000000001,1.88999999999329e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"51",51,-1.5,0.25,-0.75,1,0.00261980000000006,0.00874609999999998,0.00012970000000001,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"52",52,-1.5,0.25,-0.75,1.5,0.00281430000000005,0.0126328999999999,-2.39000000000766e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"53",53,-1.5,0.25,-0.2,-1.5,0.00116240000000012,-0.025827,6.53999999999932e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"54",54,-1.5,0.25,-0.2,-1,0.00178369999999983,-0.0226911,2.74999999999581e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"55",55,-1.5,0.25,-0.2,1,0.00249890000000008,0.00822540000000005,-7.76999999999584e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"56",56,-1.5,0.25,-0.2,1.5,0.00262450000000014,0.012796,0.000101000000000129,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"57",57,-1.5,0.25,0.2,-1.5,0.00108910000000018,-0.0258117000000001,4.77999999999312e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"58",58,-1.5,0.25,0.2,-1,0.00174219999999992,-0.0226768000000001,1.62999999999691e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"59",59,-1.5,0.25,0.2,1,0.00255039999999984,0.00843149999999993,1.41999999999642e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"60",60,-1.5,0.25,0.2,1.5,0.00247709999999979,0.0125858000000001,8.5600000000019e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"61",61,-1.5,0.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"62",62,-1.5,0.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"63",63,-1.5,0.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"64",64,-1.5,0.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"65",65,-1.5,0.5,-0.75,-1.5,0.00103569999999997,-0.0162497,-7.93999999999517e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"66",66,-1.5,0.5,-0.75,-1,0.00167620000000002,-0.0167446999999999,2.57000000000174e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"67",67,-1.5,0.5,-0.75,1,0.00233059999999996,0.00731629999999994,3.97999999999232e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"68",68,-1.5,0.5,-0.75,1.5,0.00238440000000006,0.0111349000000001,7.31999999999955e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"69",69,-1.5,0.5,-0.2,-1.5,0.00103550000000008,-0.0162793,-6.01999999999547e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"70",70,-1.5,0.5,-0.2,-1,0.00164089999999995,-0.016754,4.07000000000046e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"71",71,-1.5,0.5,-0.2,1,0.00278099999999992,0.00710080000000002,0.00014460000000005,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"72",72,-1.5,0.5,-0.2,1.5,0.00235690000000022,0.0111916000000001,0.000270700000000068,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"73",73,-1.5,0.5,0.2,-1.5,0.000973200000000118,-0.0162574000000001,-7.55000000000061e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"74",74,-1.5,0.5,0.2,-1,0.00159180000000003,-0.0167345999999999,3.00000000000855e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"75",75,-1.5,0.5,0.2,1,0.00256140000000005,0.00700620000000007,-0.00021199999999999,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"76",76,-1.5,0.5,0.2,1.5,0.00238050000000001,0.0111359,-8.14000000001203e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"77",77,-1.5,0.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"78",78,-1.5,0.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"79",79,-1.5,0.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"80",80,-1.5,0.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"81",81,-1.5,1.25,-0.75,-1.5,0.000784000000000007,0.00639999999999996,-5.83000000000666e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"82",82,-1.5,1.25,-0.75,-1,0.000984800000000119,-0.00158360000000002,-0.000116600000000022,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"83",83,-1.5,1.25,-0.75,1,0.00217360000000011,0.00306909999999994,-8.22999999999796e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
