"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,0.0288906000000004,-0.577460537332724,0.000646778989229713,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"2",-1.5,-1.5,-0.75,-1,0.0577812,-0.450219387332723,0.000798778989229643,4,1,3,2,4,2,1,3,4,2,1,3,4,1,2,3
"3",-1.5,-1.5,-0.75,1,0.1733436,0.0587452126672763,0.00140677898922936,4,1,3,2,4,3,1,2,4,2,1,3,4,1,3,2
"4",-1.5,-1.5,-0.75,1.5,0.2022342,0.185986362667276,0.00155877898922929,4,1,3,2,4,3,1,2,4,2,1,3,4,1,3,2
"5",-1.5,-1.5,-0.2,-1.5,0.0287715749999999,-0.577147212332723,0.00145421829065073,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"6",-1.5,-1.5,-0.2,-1,0.0575431499999999,-0.449592737332723,0.00189251829065062,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"7",-1.5,-1.5,-0.2,1,0.17262945,0.0606251626672765,0.00364571829065108,4,1,3,2,4,3,1,2,4,2,1,3,4,1,3,2
"8",-1.5,-1.5,-0.2,1.5,0.201401025,0.188179637667276,0.00408401829065097,4,1,3,2,4,3,1,2,4,2,1,3,4,1,3,2
"9",-1.5,-1.5,0.2,-1.5,0.0288175500000003,-0.577193137332724,0.00122632947309897,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"10",-1.5,-1.5,0.2,-1,0.0576351000000002,-0.449684587332724,0.00162792947309898,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"11",-1.5,-1.5,0.2,1,0.1729053,0.060349612667276,0.00323432947309898,4,1,2,3,4,3,1,2,4,2,1,3,4,1,3,2
"12",-1.5,-1.5,0.2,1.5,0.201722850000001,0.187858162667277,0.00363592947309899,4,1,3,2,4,3,1,2,4,2,1,3,4,1,3,2
"13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"14",-1.5,-1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"15",-1.5,-1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,3,2
"16",-1.5,-1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,3,2
"17",-1.5,-1,-0.75,-1.5,0.0192603999999998,-0.352047024888482,0.000643675111518416,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"18",-1.5,-1,-0.75,-1,0.0385208000000001,-0.234377724888482,0.000876075111517327,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
