"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,-0.0151791000000001,-0.1125644,0.000110300000000119,3,1,4,2,4,1,3,2,4,1,2,3,4,1,3,2
"2",-1.5,-1.5,-0.75,-1,-0.0294811,-0.1158119,-0.000203199999999959,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"3",-1.5,-1.5,-0.75,1,-0.0287522000000001,-0.0614072000000001,0.000203699999999918,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"4",-1.5,-1.5,-0.75,1.5,-0.0253915,-0.0496908,6.36000000000525e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"5",-1.5,-1.5,-0.2,-1.5,-0.0153006,-0.112453,0.000109100000000084,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"6",-1.5,-1.5,-0.2,-1,-0.0294835,-0.1156787,-4.09999999999577e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"7",-1.5,-1.5,-0.2,1,-0.0287584000000001,-0.061368,0.000287600000000054,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"8",-1.5,-1.5,-0.2,1.5,-0.0255652,-0.0496323000000001,0.000208900000000067,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"9",-1.5,-1.5,0.2,-1.5,-0.0157087,-0.1128095,-0.000101499999999977,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"10",-1.5,-1.5,0.2,-1,-0.0296329,-0.1157852,-0.000223899999999944,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"11",-1.5,-1.5,0.2,1,-0.028475,-0.0611622000000002,0.000137699999999907,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"12",-1.5,-1.5,0.2,1.5,-0.0252559,-0.0494502000000001,7.17999999999552e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"13",-1.5,-1.5,0.75,-1.5,-0.0154529000000001,-0.1126552,-4.17999999998697e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"14",-1.5,-1.5,0.75,-1,-0.0296047,-0.1158155,-0.000247999999999915,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"15",-1.5,-1.5,0.75,1,-0.0284339999999998,-0.0611853999999999,7.55999999999535e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"16",-1.5,-1.5,0.75,1.5,-0.0251125000000001,-0.0494572000000001,1.66999999999806e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"17",-1.5,-1,-0.75,-1.5,-0.0127596,-0.1242933,0.000309700000000079,3,1,4,2,4,1,2,3,4,1,2,3,3,1,4,2
"18",-1.5,-1,-0.75,-1,-0.0250397,-0.116369,-0.000165400000000093,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"19",-1.5,-1,-0.75,1,-0.0249708,-0.058781,0.000232600000000138,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
