"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,1,-0.75,-1.5,-1.5,-0.00879010000000002,0.045316,9.37000000000854e-05,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"2",-1.5,1,-0.75,-1,-1.5,-0.0127697999999998,0.0423264999999999,9.98999999999306e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"3",-1.5,1,-0.75,-0.5,-1.5,-0.0155985000000001,0.0271003999999999,0.000194399999999928,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"4",-1.5,1,-0.75,0,-1.5,-0.0180815,0.00357870000000005,0.00028640000000002,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"5",-1.5,1,-0.75,0.5,-1.5,-0.0204549000000001,-0.0179658,0.000225800000000054,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"6",-1.5,1,-0.75,1,-1.5,-0.022347,-0.0329338,0.000169799999999998,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"7",-1.5,1,-0.75,1.5,-1.5,-0.0240893000000001,-0.0424956000000001,0.000163999999999942,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"8",-1.5,1,-0.2,-1.5,-1.5,-0.00874199999999992,0.045454,0.000177300000000047,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"9",-1.5,1,-0.2,-1,-1.5,-0.0128261000000001,0.0423614,0.000166200000000005,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"10",-1.5,1,-0.2,-0.5,-1.5,-0.0156396000000001,0.0270347,0.000102999999999964,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"11",-1.5,1,-0.2,0,-1.5,-0.0181060999999999,0.00358119999999995,0.000274200000000002,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
