"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",1,-1.5,-1.25,-0.75,-1.5,-0.0144043,-0.119033,0.000256900000000004,3,1,4,2,4,1,2,3,4,1,2,3,3,1,4,2
"2",2,-1.5,-1.25,-0.75,-1,-0.0280931000000001,-0.1166308,-0.000179700000000005,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"3",3,-1.5,-1.25,-0.75,1,-0.0277706000000001,-0.0608419,0.000222300000000009,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"4",4,-1.5,-1.25,-0.75,1.5,-0.0245959,-0.0496381,7.80000000000225e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"5",5,-1.5,-1.25,-0.2,-1.5,-0.0144614,-0.1188667,0.000338999999999978,3,1,4,2,4,1,2,3,4,1,2,3,3,1,4,2
"6",6,-1.5,-1.25,-0.2,-1,-0.0280802,-0.1164999,3.90000000005664e-06,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"7",7,-1.5,-1.25,-0.2,1,-0.027733,-0.0608318999999999,0.000280600000000075,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"8",8,-1.5,-1.25,-0.2,1.5,-0.0247199,-0.0495922,0.000226400000000071,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"9",9,-1.5,-1.25,0.2,-1.5,-0.0150045,-0.1192833,-2.50000000001638e-06,4,1,3,2,4,1,2,3,4,1,2,3,3,1,4,2
"10",10,-1.5,-1.25,0.2,-1,-0.028158,-0.1166754,-0.000274400000000008,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"11",11,-1.5,-1.25,0.2,1,-0.0274198999999998,-0.0606336000000001,0.000166699999999964,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"12",12,-1.5,-1.25,0.2,1.5,-0.0243848000000001,-0.0494411,8.39000000000256e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"13",13,-1.5,-1.25,0.75,-1.5,-0.0147545,-0.119207,1.77000000000094e-05,4,1,2,3,4,1,2,3,4,1,2,3,3,1,4,2
"14",14,-1.5,-1.25,0.75,-1,-0.0281805999999999,-0.1166123,-0.000199300000000013,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"15",15,-1.5,-1.25,0.75,1,-0.0274114000000001,-0.0606327999999999,0.000111100000000031,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"16",16,-1.5,-1.25,0.75,1.5,-0.0242693,-0.0494326,4.26999999999511e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"17",17,-1.5,-0.5,-0.75,-1.5,-0.00590239999999997,-0.1251818,0.000326300000000113,2,1,4,3,3,1,2,4,4,1,2,3,2,1,3,4
"18",18,-1.5,-0.5,-0.75,-1,-0.0128156,-0.1087083,4.40999999998803e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"19",19,-1.5,-0.5,-0.75,1,-0.0135859999999999,-0.0504361,0.000168900000000138,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"20",20,-1.5,-0.5,-0.75,1.5,-0.0116060000000001,-0.0413621,2.83999999999285e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
