"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,-0.0389618282231821,-0.451028311161275,0.000437598269979134,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"2",-1.5,-1.5,-0.75,-1,-0.0874867827374652,-0.412886464533287,-0.000472534387166323,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"3",-1.5,-1.5,-0.75,1,-0.0392397641569797,0.121914147713626,0.00168689630472496,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"4",-1.5,-1.5,-0.75,1.5,-0.0181605789355759,0.192775472213359,0.00102000097846489,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"5",-1.5,-1.5,-0.2,-1.5,-0.0393813583468634,-0.451616253711093,0.000491563195628597,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"6",-1.5,-1.5,-0.2,-1,-0.0870688182911024,-0.413085941979892,-5.67919739444811e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"7",-1.5,-1.5,-0.2,1,-0.0391523261292512,0.121330547449457,0.00137533714996874,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"8",-1.5,-1.5,-0.2,1.5,-0.0181611836768494,0.19247184418992,0.00110811752565265,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"9",-1.5,-1.5,0.2,-1.5,-0.0392804443721491,-0.451903801511193,-0.00147360674483332,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"10",-1.5,-1.5,0.2,-1,-0.0875445301239948,-0.414273796192962,-0.00291600921112778,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"11",-1.5,-1.5,0.2,1,-0.0389240959722756,0.120567153347829,-0.00178124643370436,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"12",-1.5,-1.5,0.2,1.5,-0.0182513499301482,0.191920004100764,-0.00186250833041735,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"13",-1.5,-1.5,0.75,-1.5,-0.0397292433519514,-0.45204858248269,-0.00145411785099991,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"14",-1.5,-1.5,0.75,-1,-0.0875997221643923,-0.414264202671514,-0.00228524492094406,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"15",-1.5,-1.5,0.75,1,-0.0392418670492232,0.120776833708728,-0.000960643553483465,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"16",-1.5,-1.5,0.75,1.5,-0.0183504350150003,0.192345090526585,-0.000927577996256534,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"17",-1.5,-1,-0.75,-1.5,-0.0259745521487882,-0.263582600618629,0.000434800766124788,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"18",-1.5,-1,-0.75,-1,-0.0583245218249773,-0.206579170235529,-0.000345785349034955,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"19",-1.5,-1,-0.75,1,-0.0261598427713192,0.178338533565465,0.0013012745688421,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"20",-1.5,-1,-0.75,1.5,-0.0121070526237173,0.22515898596569,0.000725440244636388,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"21",-1.5,-1,-0.2,-1.5,-0.0262542388979088,-0.264098056664134,0.000598746737003442,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"22",-1.5,-1,-0.2,-1,-0.0580458788607348,-0.206793247641272,3.12779420568177e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"23",-1.5,-1,-0.2,1,-0.0261015507528346,0.177794297743746,0.00105237933477431,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"24",-1.5,-1,-0.2,1.5,-0.0121074557845664,0.224816037417752,0.00083023297487772,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"25",-1.5,-1,0.2,-1.5,-0.0261869629147662,-0.264297993217166,-0.00179277210290785,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"26",-1.5,-1,0.2,-1,-0.0583630200826635,-0.207725640397568,-0.00297085386047513,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"27",-1.5,-1,0.2,1,-0.0259493973148506,0.176972662138795,-0.00210839498061866,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"28",-1.5,-1,0.2,1.5,-0.0121675666200987,0.224068687504591,-0.00224703487483646,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"29",-1.5,-1,0.75,-1.5,-0.0264861622346344,-0.264321386750427,-0.00146408865001568,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
