"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,0.0171124,-0.2140707,0.000436400000000114,3,1,4,2,4,1,3,2,3,1,2,4,4,1,3,2
"2",-1.5,-1.5,-0.75,-1,0.0564029,-0.1560443,-7.26000000000893e-05,3,1,4,2,4,1,3,2,3,1,2,4,4,1,3,2
"3",-1.5,-1.5,-0.75,1,0.1561131,0.1182718,0.000172599999999967,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"4",-1.5,-1.5,-0.75,1.5,0.1650649,0.157918,0.000152000000000041,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"5",-1.5,-1.5,-0.2,-1.5,0.0170425,-0.214152,-3.83000000001577e-05,3,1,4,2,4,1,3,2,3,1,2,4,4,1,3,2
"6",-1.5,-1.5,-0.2,-1,0.0567028000000001,-0.1555928,0.000568900000000094,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"7",-1.5,-1.5,-0.2,1,0.156409,0.1185323,0.000500999999999974,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"8",-1.5,-1.5,-0.2,1.5,0.165289,0.1581118,0.000425200000000014,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"9",-1.5,-1.5,0.2,-1.5,0.0171392000000001,-0.2147306,9.98999999999306e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"10",-1.5,-1.5,0.2,-1,0.0568418000000001,-0.156095,5.30999999999171e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"11",-1.5,-1.5,0.2,1,0.1563584,0.1182552,-0.000138500000000041,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"12",-1.5,-1.5,0.2,1.5,0.1653282,0.157958,-0.000195499999999904,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"13",-1.5,-1.5,0.75,-1.5,0.0173589000000001,-0.2145055,4.11000000000161e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"14",-1.5,-1.5,0.75,-1,0.0564694,-0.1560216,3.44999999999374e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"15",-1.5,-1.5,0.75,1,0.1559765,0.1179994,-1.94000000000027e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"16",-1.5,-1.5,0.75,1.5,0.1651104,0.157987,4.70000000000192e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"17",-1.5,-1,-0.75,-1.5,0.00121830000000001,-0.2078691,0.000412799999999991,3,1,4,2,4,1,2,3,3,1,2,4,4,1,2,3
"18",-1.5,-1,-0.75,-1,0.0275057,-0.1393026,0.000121399999999938,4,1,3,2,4,1,2,3,3,1,2,4,4,1,2,3
"19",-1.5,-1,-0.75,1,0.116184,0.0940577,0.000137799999999966,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"20",-1.5,-1,-0.75,1.5,0.1253711,0.1188668,7.39999999999075e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"21",-1.5,-1,-0.2,-1.5,0.000865000000000005,-0.2075882,0.000339800000000001,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"22",-1.5,-1,-0.2,-1,0.0276977,-0.13927,0.000251800000000024,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"23",-1.5,-1,-0.2,1,0.1164831,0.094267,0.00032029999999994,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"24",-1.5,-1,-0.2,1.5,0.1252567,0.1187634,0.000240900000000099,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"25",-1.5,-1,0.2,-1.5,0.00113000000000008,-0.2081206,-0.000151599999999918,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"26",-1.5,-1,0.2,-1,0.0274976000000001,-0.1395821,-2.39999999995799e-06,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"27",-1.5,-1,0.2,1,0.1158296,0.0939375,-0.000175999999999954,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"28",-1.5,-1,0.2,1.5,0.125047,0.1187933,-8.18000000001318e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"29",-1.5,-1,0.75,-1.5,0.00101939999999989,-0.2081181,3.00999999999219e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"30",-1.5,-1,0.75,-1,0.0274097000000001,-0.139337,0.000150800000000006,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"31",-1.5,-1,0.75,1,0.1160398,0.0938277,-0.000205300000000075,4,2,1,3,4,1,2,3,4,1,2,3,4,1,2,3
"32",-1.5,-1,0.75,1.5,0.1253321,0.1185834,-0.000130399999999975,4,2,1,3,4,2,1,3,4,2,1,3,4,1,2,3
"33",-1.5,0,-0.75,-1.5,0.0139881999999999,-0.1399434,-0.000192100000000028,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"34",-1.5,0,-0.75,-1,0.041736,-0.0700911,0.000389500000000154,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"35",-1.5,0,-0.75,1,0.082511,0.1310712,0.000146699999999944,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"36",-1.5,0,-0.75,1.5,0.0802876000000001,0.1381,0.000179600000000057,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"37",-1.5,0,-0.2,-1.5,0.0142059,-0.139822,-0.000181499999999946,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"38",-1.5,0,-0.2,-1,0.0413931000000001,-0.0700125999999999,0.000209200000000132,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"39",-1.5,0,-0.2,1,0.0830273,0.1312172,0.000115000000000087,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"40",-1.5,0,-0.2,1.5,0.08039,0.1380361,0.000380899999999906,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"41",-1.5,0,0.2,-1.5,0.0138554,-0.139816,-0.000130300000000028,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"42",-1.5,0,0.2,-1,0.0413311000000001,-0.0708425,-0.000485700000000033,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"43",-1.5,0,0.2,1,0.0829728,0.1310438,-4.85000000000069e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"44",-1.5,0,0.2,1.5,0.0804352,0.1378037,-0.000541200000000019,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"45",-1.5,0,0.75,-1.5,0.0140868999999999,-0.1400793,0.000110099999999891,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
