"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,1,-0.75,-1.5,-1.5,-0.00651849999999976,0.0815208999999999,2.96999999999104e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"2",-1.5,1,-0.75,-1,-1.5,0.00815379999999999,0.1523385,3.35000000000196e-05,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"3",-1.5,1,-0.75,-0.5,-1.5,0.030169,0.2154751,-0.000278499999999959,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"4",-1.5,1,-0.75,0,-1.5,0.0506197000000002,0.2462581,-0.000232599999999916,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"5",-1.5,1,-0.75,0.5,-1.5,0.0666511000000002,0.2512331,6.43000000000171e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"6",-1.5,1,-0.75,1,-1.5,0.0788806,0.2589685,-0.00012790000000007,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"7",-1.5,1,-0.75,1.5,-1.5,0.0874874999999999,0.2709004,1.22000000000178e-05,3,4,1,2,3,4,1,2,2,4,1,3,2,4,1,3
"8",-1.5,1,-0.2,-1.5,-1.5,-0.00698279999999996,0.0816159,4.22999999999396e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"9",-1.5,1,-0.2,-1,-1.5,0.00857379999999996,0.1523477,3.50000000004513e-06,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"10",-1.5,1,-0.2,-0.5,-1.5,0.0304277999999999,0.2161051,-0.000156899999999904,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"11",-1.5,1,-0.2,0,-1.5,0.0505977000000001,0.2460195,-0.000160099999999996,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"12",-1.5,1,-0.2,0.5,-1.5,0.0666966999999999,0.2511008,-2.82000000000338e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"13",-1.5,1,-0.2,1,-1.5,0.0788015000000001,0.2589986,-3.90000000000112e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"14",-1.5,1,-0.2,1.5,-1.5,0.0873547,0.2708724,2.13999999999492e-05,3,4,1,2,3,4,1,2,2,4,1,3,2,4,1,3
"15",-1.5,1,0.2,-1.5,-1.5,-0.00670710000000008,0.0815744,0.000190200000000029,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"16",-1.5,1,0.2,-1,-1.5,0.00833099999999998,0.1521585,-3.01000000000329e-05,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"17",-1.5,1,0.2,-0.5,-1.5,0.0307335000000001,0.215953,0.000346299999999911,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"18",-1.5,1,0.2,0,-1.5,0.0506237,0.2463059,5.52999999999804e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"19",-1.5,1,0.2,0.5,-1.5,0.0669429,0.2507689,-0.000154699999999952,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"20",-1.5,1,0.2,1,-1.5,0.0791388000000001,0.2589641,2.34000000001178e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"21",-1.5,1,0.2,1.5,-1.5,0.0880289,0.2709215,-0.000102199999999941,3,4,1,2,3,4,1,2,2,4,1,3,2,4,1,3
"22",-1.5,1,0.75,-1.5,-1.5,-0.00666049999999996,0.0812716999999999,0.000110199999999949,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"23",-1.5,1,0.75,-1,-1.5,0.00838260000000002,0.1523664,0.000254300000000041,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"24",-1.5,1,0.75,-0.5,-1.5,0.0303917,0.2158201,7.44999999999774e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"25",-1.5,1,0.75,0,-1.5,0.0506551000000001,0.2457815,-0.000431299999999912,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"26",-1.5,1,0.75,0.5,-1.5,0.0666125,0.2509235,-9.50000000001783e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"27",-1.5,1,0.75,1,-1.5,0.0790615,0.2590774,-5.86000000000197e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"28",-1.5,1,0.75,1.5,-1.5,0.0877851999999999,0.2707586,9.29000000001734e-05,3,4,1,2,3,4,1,2,2,4,1,3,2,4,1,3
"29",-1.5,1,-0.75,-1.5,-1,0.00497890000000001,0.0786658,0.000182600000000033,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"30",-1.5,1,-0.75,-1,-1,0.0260524,0.1657604,7.39999999999075e-06,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"31",-1.5,1,-0.75,-0.5,-1,0.0498038999999999,0.2359627,-0.000396400000000074,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"32",-1.5,1,-0.75,0,-1,0.0698714999999999,0.2706485,-0.000153100000000017,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"33",-1.5,1,-0.75,0.5,-1,0.0853246000000001,0.2840384,2.38000000001293e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"34",-1.5,1,-0.75,1,-1,0.0957760999999999,0.2965737,-7.39999999999075e-06,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"35",-1.5,1,-0.75,1.5,-1,0.101985,0.3075694,-0.00022499999999992,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"36",-1.5,1,-0.2,-1.5,-1,0.0049885999999999,0.0784985,7.94000000000628e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
