"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",1,-1.5,-1.25,-0.75,-1.5,0.00770039999999994,-0.209764,0.000143400000000127,3,1,4,2,4,1,2,3,3,1,2,4,4,1,3,2
"2",2,-1.5,-1.25,-0.75,-1,0.0420568,-0.147013,0.000349700000000008,3,1,4,2,4,1,2,3,3,1,2,4,4,1,3,2
"3",3,-1.5,-1.25,-0.75,1,0.1411533,0.1048732,0.000311800000000084,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"4",4,-1.5,-1.25,-0.75,1.5,0.1501637,0.1391158,0.000414099999999973,3,1,4,2,4,1,2,3,4,1,2,3,4,1,2,3
"5",5,-1.5,-1.25,-0.2,-1.5,0.00779929999999995,-0.2100155,0.000110399999999955,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"6",6,-1.5,-1.25,-0.2,-1,0.0418167,-0.1468956,0.000285699999999944,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"7",7,-1.5,-1.25,-0.2,1,0.1412139,0.1054769,0.000550299999999893,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"8",8,-1.5,-1.25,-0.2,1.5,0.1504526,0.1393668,0.000585600000000075,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"9",9,-1.5,-1.25,0.2,-1.5,0.0079058999999998,-0.2101848,-0.000164399999999953,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"10",10,-1.5,-1.25,0.2,-1,0.0417199,-0.1471053,0.00017810000000007,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"11",11,-1.5,-1.25,0.2,1,0.1414233,0.1047388,-0.000207999999999986,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"12",12,-1.5,-1.25,0.2,1.5,0.1505985,0.1386622,-0.000342100000000123,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"13",13,-1.5,-1.25,0.75,-1.5,0.00780329999999996,-0.2103134,-0.000159099999999968,4,1,2,3,4,1,2,3,3,1,2,4,4,1,3,2
"14",14,-1.5,-1.25,0.75,-1,0.0420125,-0.1471591,-8.15000000000676e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,3,2
"15",15,-1.5,-1.25,0.75,1,0.1413643,0.1047842,-0.00014919999999996,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"16",16,-1.5,-1.25,0.75,1.5,0.1501577,0.1388703,-5.54999999999861e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"17",17,-1.5,-0.5,-0.75,-1.5,0.00192850000000011,-0.2003702,0.000160700000000125,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"18",18,-1.5,-0.5,-0.75,-1,0.0248478,-0.1203194,0.000145999999999868,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"19",19,-1.5,-0.5,-0.75,1,0.0803468999999999,0.0940828,0.000156900000000015,4,1,2,3,4,2,1,3,4,2,1,3,4,2,1,3
"20",20,-1.5,-0.5,-0.75,1.5,0.0826945,0.105418,0.000421699999999969,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"21",21,-1.5,-0.5,-0.2,-1.5,0.00200270000000002,-0.2003456,0.000132100000000079,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"22",22,-1.5,-0.5,-0.2,-1,0.0247723,-0.1202809,0.000408900000000045,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"23",23,-1.5,-0.5,-0.2,1,0.0808801999999998,0.0940751,0.000333999999999945,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"24",24,-1.5,-0.5,-0.2,1.5,0.0824422,0.105381,0.000384300000000004,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"25",25,-1.5,-0.5,0.2,-1.5,0.00171290000000002,-0.2006514,-0.000107499999999927,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"26",26,-1.5,-0.5,0.2,-1,0.0249367000000001,-0.1205684,-0.000372600000000056,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"27",27,-1.5,-0.5,0.2,1,0.0803257000000001,0.0940205000000001,-0.000155399999999917,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"28",28,-1.5,-0.5,0.2,1.5,0.0827139,0.1049775,-0.000425000000000009,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"29",29,-1.5,-0.5,0.75,-1.5,0.00187709999999996,-0.2007364,-8.27999999999385e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"30",30,-1.5,-0.5,0.75,-1,0.0248868999999999,-0.1204399,0.000107599999999985,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"31",31,-1.5,-0.5,0.75,1,0.0807875,0.0937927999999999,-0.000163899999999995,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"32",32,-1.5,-0.5,0.75,1.5,0.0824813000000001,0.1049973,-9.00999999998708e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"33",33,-1.5,-0.25,-0.75,-1.5,0.00704100000000007,-0.1815913,0.000356499999999871,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"34",34,-1.5,-0.25,-0.75,-1,0.0322895999999999,-0.102401,0.000131500000000062,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"35",35,-1.5,-0.25,-0.75,1,0.0814130999999999,0.1002079,2.0800000000043e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"36",36,-1.5,-0.25,-0.75,1.5,0.0810445999999999,0.1084632,0.000262900000000066,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"37",37,-1.5,-0.25,-0.2,-1.5,0.00677460000000008,-0.1815034,0.000298600000000038,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"38",38,-1.5,-0.25,-0.2,-1,0.0318551,-0.1024587,0.000102500000000005,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"39",39,-1.5,-0.25,-0.2,1,0.0812731,0.1005403,0.000580200000000031,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"40",40,-1.5,-0.25,-0.2,1.5,0.0809715000000001,0.108363,0.000260000000000149,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"41",41,-1.5,-0.25,0.2,-1.5,0.0063607,-0.1816669,-0.000111799999999884,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"42",42,-1.5,-0.25,0.2,-1,0.0319409,-0.1030093,3.31999999999555e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"43",43,-1.5,-0.25,0.2,1,0.081324,0.1002213,-0.000169100000000033,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"44",44,-1.5,-0.25,0.2,1.5,0.0811885999999999,0.1077833,-0.000250599999999879,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"45",45,-1.5,-0.25,0.75,-1.5,0.0063782,-0.1819657,-0.00020690000000001,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"46",46,-1.5,-0.25,0.75,-1,0.0320357,-0.1025582,-0.000253199999999953,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"47",47,-1.5,-0.25,0.75,1,0.081381,0.1003285,-0.00016790000000011,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"48",48,-1.5,-0.25,0.75,1.5,0.081261,0.1080272,-0.000154299999999941,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"49",49,-1.5,0.25,-0.75,-1.5,0.0226103999999999,-0.0933998,2.88999999999984e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"50",50,-1.5,0.25,-0.75,-1,0.0527430000000001,-0.0155011,0.000350700000000037,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"51",51,-1.5,0.25,-0.75,1,0.0873047000000001,0.2134737,0.000126200000000076,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"52",52,-1.5,0.25,-0.75,1.5,0.0832155999999999,0.2195321,0.000333400000000039,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"53",53,-1.5,0.25,-0.2,-1.5,0.0225974999999999,-0.0930895999999999,5.35000000000396e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"54",54,-1.5,0.25,-0.2,-1,0.0529898,-0.0160085999999999,-0.000160599999999955,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"55",55,-1.5,0.25,-0.2,1,0.0871056,0.2134911,0.000143600000000021,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"56",56,-1.5,0.25,-0.2,1.5,0.0829662,0.2195239,8.88e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"57",57,-1.5,0.25,0.2,-1.5,0.0227799999999999,-0.0934273999999999,-9.11000000000106e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"58",58,-1.5,0.25,0.2,-1,0.0525822,-0.0161507,-0.000161399999999867,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"59",59,-1.5,0.25,0.2,1,0.0869927000000001,0.2131091,-0.000573000000000157,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"60",60,-1.5,0.25,0.2,1.5,0.0829759000000001,0.2194941,-0.000311700000000026,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"61",61,-1.5,0.25,0.75,-1.5,0.0229725999999999,-0.0937544,-0.000430300000000106,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"62",62,-1.5,0.25,0.75,-1,0.0532401,-0.0157933000000001,-0.00020549999999997,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"63",63,-1.5,0.25,0.75,1,0.0874942000000001,0.2130432,-0.000327000000000077,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"64",64,-1.5,0.25,0.75,1.5,0.0830257,0.2193731,-0.000195899999999916,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"65",65,-1.5,0.5,-0.75,-1.5,0.0308247,-0.0462475999999999,0.000330300000000006,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"66",66,-1.5,0.5,-0.75,-1,0.0648968000000001,0.0559122999999999,0.000320999999999905,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"67",67,-1.5,0.5,-0.75,1,0.0991248000000001,0.3196083,-0.000193100000000057,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"68",68,-1.5,0.5,-0.75,1.5,0.0939506,0.3249538,0.000370500000000051,4,3,1,2,4,2,1,3,4,2,1,3,4,2,1,3
"69",69,-1.5,0.5,-0.2,-1.5,0.0308359,-0.0465949,0.00031429999999999,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"70",70,-1.5,0.5,-0.2,-1,0.0652976,0.0556241000000001,0.000271000000000021,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"71",71,-1.5,0.5,-0.2,1,0.0994467999999999,0.3198523,6.32999999999884e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"72",72,-1.5,0.5,-0.2,1.5,0.0940952,0.3248955,8.92999999998478e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"73",73,-1.5,0.5,0.2,-1.5,0.0307693,-0.0467556,0.000133299999999892,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"74",74,-1.5,0.5,0.2,-1,0.0652025999999999,0.0555610999999999,5.38999999999401e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"75",75,-1.5,0.5,0.2,1,0.0991888999999999,0.3195575,-0.000479200000000013,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"76",76,-1.5,0.5,0.2,1.5,0.0943818,0.3249951,-8.2400000000038e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"77",77,-1.5,0.5,0.75,-1.5,0.0303681000000001,-0.0468839,0.000269800000000098,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"78",78,-1.5,0.5,0.75,-1,0.0651546,0.0555874000000001,0.00020740000000008,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"79",79,-1.5,0.5,0.75,1,0.099774,0.3197413,-0.000112000000000001,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"80",80,-1.5,0.5,0.75,1.5,0.0942504,0.3247785,-0.000117499999999993,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"81",81,-1.5,1.25,-0.75,-1.5,0.0487806,0.0890708,-0.000191799999999964,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"82",82,-1.5,1.25,-0.75,-1,0.118391,0.2443579,-0.000150300000000048,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
