"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"1",-1.5,-1.5,-0.75,-1.5,0.000778448068467608,-2.49805045214549,0.00267773586762754,4,1,3,2,4,2,3,1,3,1,2,4,4,1,3,2
"2",-1.5,-1.5,-0.75,-1,0.00155689613693566,-1.9975200566124,0.00339617575850815,3,1,4,2,4,1,3,2,3,1,2,4,4,1,3,2
"3",-1.5,-1.5,-0.75,1,0.00467068841080326,0.00460152551995496,0.00626993532202991,3,1,4,2,4,1,2,3,3,1,2,4,4,1,3,2
"4",-1.5,-1.5,-0.75,1.5,0.00544913647927314,0.505131921053045,0.00698837521291185,3,1,4,2,4,1,2,3,3,1,2,4,4,1,3,2
"5",-1.5,-1.5,-0.2,-1.5,0.00102024564998926,-2.49742750256845,0.00399637508280382,4,1,3,2,4,2,3,1,3,1,2,4,4,1,3,2
"6",-1.5,-1.5,-0.2,-1,0.00204049129997808,-1.99677139097989,0.00479748016405024,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"7",-1.5,-1.5,-0.2,1,0.00612147389993428,0.00585305537435077,0.00800190048903526,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"8",-1.5,-1.5,-0.2,1.5,0.00714171954992304,0.506509166962912,0.00880300557028391,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"9",-1.5,-1.5,0.2,-1.5,0.00110561393018838,-2.50144232391187,-0.00120265756569982,4,2,3,1,4,2,3,1,3,1,2,4,4,1,3,2
"10",-1.5,-1.5,0.2,-1,0.0022112278603772,-2.00118108039242,-0.00125763747671481,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"11",-1.5,-1.5,0.2,1,0.00663368358112909,-0.000136106314599038,-0.0014775571207768,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"12",-1.5,-1.5,0.2,1.5,0.00773929751131686,0.500125137204856,-0.00153253703179057,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"13",-1.5,-1.5,0.75,-1.5,0.000881727731467663,-2.50146507458005,-0.000984359287204306,4,2,3,1,4,2,3,1,3,1,2,4,4,1,3,2
