"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"1",-1.5,-1.5,-0.75,-1.5,0.0168276999999999,0.00844034979899999,2,3,4,1,1,3,4,2
"2",-1.5,-1.5,-0.75,-1,0.0564922999999998,0.02401696362882,2,3,4,1,1,3,4,2
"3",-1.5,-1.5,-0.75,1,0.1562987,0.05876253424006,2,3,4,1,1,2,4,3
"4",-1.5,-1.5,-0.75,1.5,0.1645525,0.06081192124014,2,3,4,1,1,2,4,3
"5",-1.5,-1.5,-0.2,-1.5,0.0171911,0.00847608713659,2,3,4,1,1,3,4,2
"6",-1.5,-1.5,-0.2,-1,0.0564855999999999,0.0240187541874,1,3,4,2,1,3,4,2
"7",-1.5,-1.5,-0.2,1,0.1563785,0.05873224632713,1,3,4,2,1,2,4,3
"8",-1.5,-1.5,-0.2,1.5,0.1650055,0.06082822966848,1,3,4,2,1,2,4,3
"9",-1.5,-1.5,0.2,-1.5,0.0168830000000001,0.00844509314529001,1,3,4,2,1,3,4,2
"10",-1.5,-1.5,0.2,-1,0.0563336000000002,0.02403576825604,1,3,4,2,1,3,4,2
"11",-1.5,-1.5,0.2,1,0.1566672,0.05887363972872,1,3,4,2,1,2,4,3
"12",-1.5,-1.5,0.2,1.5,0.1651077,0.06096731879826,1,3,4,2,1,2,4,3
"13",-1.5,-1.5,0.75,-1.5,0.0173198000000001,0.00850721156120001,1,3,4,2,1,3,4,2
"14",-1.5,-1.5,0.75,-1,0.0566995000000001,0.02409470525739,1,3,4,2,1,3,4,2
"15",-1.5,-1.5,0.75,1,0.156245,0.05879874518688,1,3,4,2,1,2,4,3
"16",-1.5,-1.5,0.75,1.5,0.1648775,0.060930335438,1,2,4,3,1,2,4,3
"17",-1.5,-1,-0.75,-1.5,0.000711800000000151,0.01255738319661,2,3,4,1,1,2,4,3
"18",-1.5,-1,-0.75,-1,0.0275624,0.03334721817742,1,3,4,2,1,2,4,3
"19",-1.5,-1,-0.75,1,0.1161873,0.08111891695257,1,3,4,2,1,2,4,3
"20",-1.5,-1,-0.75,1.5,0.1251956,0.083936506302,1,2,4,3,1,2,3,4
"21",-1.5,-1,-0.2,-1.5,0.0010382000000001,0.01255972699663,1,2,4,3,1,2,4,3
"22",-1.5,-1,-0.2,-1,0.0276734,0.0333657608744,1,2,4,3,1,2,4,3
"23",-1.5,-1,-0.2,1,0.116322,0.08113316461168,1,2,4,3,1,2,4,3
"24",-1.5,-1,-0.2,1.5,0.1251707,0.08396819432181,1,2,4,3,1,2,3,4
"25",-1.5,-1,0.2,-1.5,0.000626000000000015,0.01255650543426,1,2,4,3,1,2,4,3
"26",-1.5,-1,0.2,-1,0.0274478000000001,0.03339948877755,1,2,4,3,1,2,4,3
"27",-1.5,-1,0.2,1,0.1158693,0.08116466681505,1,2,4,3,1,2,4,3
"28",-1.5,-1,0.2,1.5,0.1249743,0.0840359886942,1,2,4,3,1,2,3,4
"29",-1.5,-1,0.75,-1.5,0.000695199999999896,0.01253704327386,1,2,4,3,1,2,4,3
"30",-1.5,-1,0.75,-1,0.027291,0.03335689686672,1,2,4,3,1,2,4,3
"31",-1.5,-1,0.75,1,0.1160665,0.08116057541425,1,2,3,4,1,2,4,3
"32",-1.5,-1,0.75,1.5,0.1250948,0.08400415373392,1,2,3,4,1,2,3,4
"33",-1.5,0,-0.75,-1.5,0.0134805,0.0177073584438,2,1,4,3,2,1,4,3
"34",-1.5,0,-0.75,-1,0.0411997000000002,0.04205238304778,1,2,4,3,1,2,4,3
"35",-1.5,0,-0.75,1,0.0827260999999999,0.06768038034305,1,2,3,4,1,2,3,4
"36",-1.5,0,-0.75,1.5,0.0801729,0.06237165597276,1,2,3,4,1,2,3,4
"37",-1.5,0,-0.2,-1.5,0.0132630999999999,0.01767379440096,2,1,4,3,2,1,4,3
"38",-1.5,0,-0.2,-1,0.0412713000000001,0.04207507607884,1,2,4,3,1,2,4,3
"39",-1.5,0,-0.2,1,0.0829504999999998,0.06769143348615,1,2,3,4,1,2,3,4
"40",-1.5,0,-0.2,1.5,0.0806644999999999,0.06249765471675,1,2,3,4,1,2,3,4
"41",-1.5,0,0.2,-1.5,0.0140169999999998,0.01778223942649,2,1,4,3,2,1,4,3
"42",-1.5,0,0.2,-1,0.0410623,0.04205097320288,1,2,4,3,1,2,4,3
"43",-1.5,0,0.2,1,0.0830528,0.06792929712392,1,2,3,4,1,2,3,4
"44",-1.5,0,0.2,1.5,0.0803292,0.06255718838286,1,2,3,4,1,2,3,4
"45",-1.5,0,0.75,-1.5,0.0136573999999999,0.01776185413848,2,1,4,3,2,1,4,3
"46",-1.5,0,0.75,-1,0.0411861000000001,0.04210286104804,1,2,4,3,1,2,4,3
"47",-1.5,0,0.75,1,0.0832581999999999,0.0678704752582,1,2,3,4,1,2,3,4
"48",-1.5,0,0.75,1.5,0.0802034,0.06246724465054,1,2,3,4,1,2,3,4
"49",-1.5,1,-0.75,-1.5,0.0437837000000001,0.02239594647156,2,1,4,3,2,1,4,3
"50",-1.5,1,-0.75,-1,0.1050197,0.04237514813112,2,1,3,4,2,1,4,3
"51",-1.5,1,-0.75,1,0.2019376,0.00581545450988999,2,3,1,4,1,2,3,4
"52",-1.5,1,-0.75,1.5,0.1983448,-0.00636947893188,2,3,1,4,1,3,2,4
"53",-1.5,1,-0.2,-1.5,0.0438172000000001,0.02231633685792,2,1,4,3,2,1,4,3
"54",-1.5,1,-0.2,-1,0.1049638,0.04236779514992,2,1,3,4,2,1,4,3
"55",-1.5,1,-0.2,1,0.2024014,0.00591549049728,2,3,1,4,1,2,3,4
"56",-1.5,1,-0.2,1.5,0.1988304,-0.00630933632759999,2,3,1,4,1,3,2,4
"57",-1.5,1,0.2,-1.5,0.0444053999999999,0.02240398338323,2,1,4,3,2,1,4,3
"58",-1.5,1,0.2,-1,0.104894,0.04239537812764,2,1,3,4,2,1,4,3
"59",-1.5,1,0.2,1,0.2024194,0.00588191835920001,2,3,1,4,1,2,3,4
"60",-1.5,1,0.2,1.5,0.1988426,-0.00628843658351999,2,3,1,4,1,3,2,4
"61",-1.5,1,0.75,-1.5,0.0437866,0.02233236964798,2,1,4,3,2,1,4,3
"62",-1.5,1,0.75,-1,0.1048648,0.04236030997164,2,1,4,3,2,1,4,3
"63",-1.5,1,0.75,1,0.2026468,0.00589230189811999,2,3,1,4,1,2,3,4
"64",-1.5,1,0.75,1.5,0.1988397,-0.00636881461222002,2,3,1,4,1,3,2,4
"65",-1.5,1.5,-0.75,-1.5,0.051106,0.021592461296,2,1,4,3,2,1,4,3
"66",-1.5,1.5,-0.75,-1,0.1237268,0.03349264908024,2,1,3,4,2,1,4,3
"67",-1.5,1.5,-0.75,1,0.1956151,-0.04130742374624,2,3,1,4,2,3,1,4
"68",-1.5,1.5,-0.75,1.5,0.1900332,-0.05631284158686,2,3,1,4,2,3,1,4
"69",-1.5,1.5,-0.2,-1.5,0.0512606999999999,0.02165276965404,2,1,4,3,2,1,4,3
"70",-1.5,1.5,-0.2,-1,0.1237345,0.0335541296522,2,1,3,4,2,1,4,3
"71",-1.5,1.5,-0.2,1,0.1954399,-0.0414003919315,2,3,1,4,2,3,1,4
"72",-1.5,1.5,-0.2,1.5,0.1896527,-0.0563372660636,2,3,1,4,2,3,1,4
"73",-1.5,1.5,0.2,-1.5,0.0512707,0.02168567595444,2,1,4,3,2,1,4,3
"74",-1.5,1.5,0.2,-1,0.1235649,0.033482356392,2,1,3,4,2,1,4,3
"75",-1.5,1.5,0.2,1,0.1961042,-0.0413043291123,2,3,1,4,2,3,1,4
"76",-1.5,1.5,0.2,1.5,0.1906426,-0.05637106461642,2,3,1,4,2,3,1,4
"77",-1.5,1.5,0.75,-1.5,0.051022,0.02161179852645,2,1,4,3,2,1,4,3
"78",-1.5,1.5,0.75,-1,0.1239419,0.0335272489444,2,1,3,4,2,1,4,3
"79",-1.5,1.5,0.75,1,0.1956848,-0.04140641622104,2,3,1,4,2,3,1,4
"80",-1.5,1.5,0.75,1.5,0.1903814,-0.05633763545592,2,3,1,4,2,3,1,4
"81",-0.5,-1.5,-0.75,-1.5,0.00207299999999999,0.000287315185850001,2,3,4,1,1,4,3,2
"82",-0.5,-1.5,-0.75,-1,0.00756800000000002,0.000601962706799999,2,3,4,1,1,4,3,2
"83",-0.5,-1.5,-0.75,1,0.0275993999999999,0.001568631285,2,3,4,1,1,4,2,3
"84",-0.5,-1.5,-0.75,1.5,0.0297942999999999,0.00166713720105,2,3,4,1,1,4,2,3
"85",-0.5,-1.5,-0.2,-1.5,0.00190210000000002,0.000286318349729999,1,3,4,2,1,4,3,2
"86",-0.5,-1.5,-0.2,-1,0.00779169999999996,0.000608292053999998,2,3,4,1,1,4,3,2
"87",-0.5,-1.5,-0.2,1,0.0272530000000001,0.00155641474374,2,3,4,1,1,4,2,3
"88",-0.5,-1.5,-0.2,1.5,0.0299732,0.0016733422792,2,3,4,1,1,4,2,3
"89",-0.5,-1.5,0.2,-1.5,0.00196989999999997,0.000287443639679999,1,4,3,2,1,4,3,2
"90",-0.5,-1.5,0.2,-1,0.00768480000000005,0.00060801795774,1,4,3,2,1,4,3,2
"91",-0.5,-1.5,0.2,1,0.0279828000000001,0.00157335803046,1,3,4,2,1,4,2,3
"92",-0.5,-1.5,0.2,1.5,0.030452,0.0016722814178,1,3,4,2,1,4,2,3
"93",-0.5,-1.5,0.75,-1.5,0.0021331,0.000292014214080001,1,4,3,2,1,4,3,2
"94",-0.5,-1.5,0.75,-1,0.00764150000000008,0.000605047285170001,1,4,3,2,1,4,3,2
"95",-0.5,-1.5,0.75,1,0.0277997,0.00156777190385,1,4,3,2,1,4,2,3
"96",-0.5,-1.5,0.75,1.5,0.0303197000000002,0.00167547943294,1,4,3,2,1,4,2,3
"97",-0.5,-1,-0.75,-1.5,-0.00652339999999996,0.000662703754880002,2,3,4,1,1,2,4,3
