"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.9882107,0.9259404,0.9419038,0.9389435,0.9333142,0.9886735,0.9283158,0.9400636,0.9400571,0.9415904,0.9222283,0.9881951,0.9260867,0.9400033,0.9388296,0.9333057,0.0622703,-0.0159634,0.00296029999999992,0.00562930000000006,0.0622703,-0.0117478,-0.00153330000000007,0.00562930000000006,0.000278,-0.00421559999999999,0.00027149999999998,0.9987447,0.9376882,0.2632412,0.2632412,0.9984667,0.9374102,0.236705,0.236705,0.0603577,-0.0117478,-0.00153330000000007,0.0193621,-0.0115487,-0.00421559999999999,0.0621084,-0.0139165999999999,0.00117369999999994,0.00552390000000003,7.10000000003763e-06,-0.00204680000000002
"Ys0...2",-1.5,-1.5,-0.75,-1,0.9882714,0.9259404,0.944135,0.9389435,0.9333142,0.9892225,0.9299783,0.9409405,0.9409178,0.9435938,0.9256748,0.9882504,0.9260867,0.940869,0.9388296,0.9333057,0.062331,-0.0181945999999999,0.0051914999999999,0.00562930000000006,0.062331,-0.0109621999999999,-0.00267600000000001,0.00562930000000006,0.000635099999999889,-0.00723240000000003,0.000612399999999957,0.9979591,0.9369026,0.2581624,0.2581624,0.997324,0.9362675,0.2309768,0.2309768,0.0592442,-0.0109621999999999,-0.00267600000000001,0.017919,-0.00859049999999995,-0.00723240000000003,0.0621636999999999,-0.0147822999999999,0.00203939999999991,0.00552390000000003,1.25000000000819e-05,-0.00341230000000003
"Ys0...3",-1.5,-1.5,-0.75,1,0.9883702,0.9259404,0.9477009,0.9389435,0.9333142,0.9901232,0.9326655,0.9423381,0.9423316,0.9468052,0.9397137,0.9883497,0.9260867,0.9422547,0.9388296,0.9333057,0.0624298,-0.0217605,0.00875739999999992,0.00562930000000006,0.0624298,-0.00967259999999992,-0.00447359999999997,0.00562930000000006,0.00114309999999984,-0.0120879,0.00113659999999993,0.9966695,0.935613,0.2499928,0.2499928,0.9955264,0.9344699,0.2217264,0.2217264,0.0574576999999999,-0.00967259999999992,-0.00447359999999997,0.00709150000000003,0.0046465,-0.0120879,0.062263,-0.016168,0.00342509999999996,0.00552390000000003,1.2000000000012e-05,-0.0055925
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.988377,0.9259404,0.9479569,0.9389435,0.9333142,0.9901844,0.9328442,0.9424406,0.9424224,0.9470267,0.9416969,0.9883555,0.9260867,0.9423444,0.9388296,0.9333057,0.0624366,-0.0220165,0.00901339999999995,0.00562930000000006,0.0624366,-0.00959639999999995,-0.00460430000000001,0.00562930000000006,0.00119759999999991,-0.0124201,0.00117939999999994,0.9965933,0.9355368,0.2494304,0.2494304,0.9953957,0.9343392,0.2211018,0.2211018,0.0573402,-0.00959639999999995,-0.00460430000000001,0.00532980000000005,0.00657529999999995,-0.0124201,0.0622688,-0.0162576999999999,0.00351479999999993,0.00552390000000003,1.29999999999297e-05,-0.00575880000000006
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.988201,0.9259427,0.9405299,0.9389435,0.9333142,0.9887054,0.9282569,0.9400636,0.9400845,0.9415904,0.9222283,0.9881951,0.9260867,0.9400033,0.9388296,0.9333057,0.0622583,-0.0145872,0.00158639999999999,0.00562930000000006,0.0622583,-0.0118066999999999,-0.00150590000000006,0.00562930000000006,0.000311799999999973,-0.00278050000000007,0.000332699999999964,0.9988059,0.9377494,0.263359,0.263359,0.9984941,0.9374376,0.2366502,0.2366502,0.0604484999999999,-0.0118066999999999,-0.00150590000000006,0.0193621,-0.0115902999999999,-0.00278050000000007,0.0621084,-0.0139165999999999,0.00117369999999994,0.00552390000000003,-2.59999999996374e-06,-0.000670600000000077
"Ys0...6",-1.5,-1.5,-0.2,-1,0.9882601,0.9259427,0.9417724,0.9389435,0.9333142,0.989254,0.9299289,0.9409405,0.940959,0.9435938,0.9256748,0.9882504,0.9260867,0.940869,0.9388296,0.9333057,0.0623174,-0.0158296999999999,0.00282889999999991,0.00562930000000006,0.0623174,-0.0110116,-0.00263480000000005,0.00562930000000006,0.000645600000000024,-0.00481809999999994,0.000664100000000056,0.9980108,0.9369543,0.2582612,0.2582612,0.9973652,0.9363087,0.2308944,0.2308944,0.0593251,-0.0110116,-0.00263480000000005,0.017919,-0.00863329999999995,-0.00481809999999994,0.0621636999999999,-0.0147822999999999,0.00203939999999991,0.00552390000000003,1.20000000003451e-06,-0.00104740000000003
"Ys0...7",-1.5,-1.5,-0.2,1,0.9883605,0.9259427,0.9437418,0.9389435,0.9333142,0.990149,0.9326105,0.9423381,0.942328,0.9468052,0.9397137,0.9883497,0.9260867,0.9422547,0.9388296,0.9333057,0.0624178,-0.0177991,0.00479829999999992,0.00562930000000006,0.0624178,-0.00972759999999995,-0.00447719999999996,0.00562930000000006,0.00120399999999987,-0.00807150000000001,0.00119389999999997,0.9967268,0.9356703,0.2501028,0.2501028,0.9955228,0.9344663,0.2217336,0.2217336,0.0575384999999999,-0.00972759999999995,-0.00447719999999996,0.00709150000000003,0.00461100000000003,-0.00807150000000001,0.062263,-0.016168,0.00342509999999996,0.00552390000000003,2.30000000001063e-06,-0.0016311
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.9883679,0.9259427,0.9438841,0.9389435,0.9333142,0.9902093,0.9327992,0.9424406,0.9424283,0.9470267,0.9416969,0.9883555,0.9260867,0.9423444,0.9388296,0.9333057,0.0624252,-0.0179414,0.00494059999999996,0.00562930000000006,0.0624252,-0.00964139999999991,-0.0045984,0.00562930000000006,0.00123899999999988,-0.00830000000000009,0.00122669999999991,0.9966406,0.9355841,0.2495204,0.2495204,0.9954016,0.9343451,0.22109,0.22109,0.0574100999999999,-0.00964139999999991,-0.0045984,0.00532980000000005,0.00654129999999997,-0.00830000000000009,0.0622688,-0.0162576999999999,0.00351479999999993,0.00552390000000003,3.89999999994561e-06,-0.00168370000000007
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.9882355,0.9259474,0.9395263,0.9389435,0.9333142,0.9887064,0.9282842,0.9400636,0.9400903,0.9415904,0.9222283,0.9881951,0.9260867,0.9400033,0.9388296,0.9333057,0.0622881000000001,-0.0135789000000001,0.000582799999999994,0.00562930000000006,0.0622881000000001,-0.0117794,-0.0015001,0.00562930000000006,0.000283399999999934,-0.00179950000000006,0.00031009999999998,0.9987833,0.9377268,0.2633044,0.2633044,0.9984999,0.9374434,0.2366386,0.2366386,0.0604222,-0.0117794,-0.0015001,0.0193621,-0.0115567999999999,-0.00179950000000006,0.0621084,-0.0139165999999999,0.00117369999999994,0.00552390000000003,3.19000000000846e-05,0.000337699999999885
"Ys0...10",-1.5,-1.5,0.2,-1,0.9882967,0.9259474,0.9400311,0.9389435,0.9333142,0.9892574,0.9299553,0.9409405,0.9409572,0.9435938,0.9256748,0.9882504,0.9260867,0.940869,0.9388296,0.9333057,0.0623493000000001,-0.0140837,0.00108759999999997,0.00562930000000006,0.0623493000000001,-0.0109851999999999,-0.00263659999999999,0.00562930000000006,0.00062569999999984,-0.00309850000000012,0.000642399999999932,0.9979891,0.9369326,0.2582084,0.2582084,0.9973634,0.9363069,0.230898,0.230898,0.0593020999999999,-0.0109851999999999,-0.00263659999999999,0.017919,-0.00860009999999989,-0.00309850000000012,0.0621636999999999,-0.0147822999999999,0.00203939999999991,0.00552390000000003,3.78000000000878e-05,0.000698599999999883
