"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,1,-0.75,-1.5,-1.5,0.9846139,0.8974749,0.8533406,0.8729325,0.7226511,0.9837746,0.8926668,0.8573805,0.8575996,0.8671434,0.7466046,0.9846005,0.8976541,0.857281,0.8730127,0.7225243,0.0871390000000001,0.0441343,-0.0195919,0.1502814,0.0871390000000001,0.0352863,-0.00954379999999999,0.1502814,-0.00120010000000004,0.00884799999999997,0.00098100000000001,1.0107439,0.8621886,0.459811,0.4197166,1.0095438,0.8633887,0.5351811,0.5198482,0.0911078000000001,0.0352863,-0.00954379999999999,0.1205388,0.0247927999999999,0.00884799999999997,0.0869464,0.0403731000000001,-0.0157317,0.1504884,-0.00011339999999993,0.00376119999999991
"Ys0...2",-1.5,1,-0.75,-1,-1.5,0.9858965,0.9046929,0.8557368,0.8896612,0.751359,0.9846463,0.8962839,0.8627726,0.8629601,0.8795433,0.7678273,0.9858714,0.9048838,0.8626049,0.8896889,0.7512227,0.0812035999999999,0.0489561000000001,-0.0339244000000001,0.1383022,0.0812035999999999,0.0335113,-0.0165832,0.1383022,-0.00189640000000002,0.0154448,0.00170890000000001,1.0184796,0.8711816,0.4399667,0.3980464,1.0165832,0.873078,0.4882921,0.461591,0.0883624,0.0335113,-0.0165832,0.111716,0.0177185,0.0154448,0.0809875999999999,0.0422789,-0.027084,0.1384662,-0.000111199999999978,0.00667720000000005
"Ys0...3",-1.5,1,-0.75,-0.5,-1.5,0.9867618,0.9096517,0.8573888,0.9011489,0.7836338,0.9852538,0.8987978,0.8664453,0.866617,0.8880336,0.7919087,0.9867364,0.9098254,0.8662795,0.9011598,0.7836138,0.0771101000000001,0.0522629,-0.0437601000000001,0.1175151,0.0771101000000001,0.0323525,-0.0214166,0.1175151,-0.00243310000000008,0.0199104,0.00226140000000008,1.0238497,0.8772992,0.4263074,0.383101,1.0214166,0.8797323,0.4561669,0.421635,0.086456,0.0323525,-0.0214166,0.0961249,0.00978290000000004,0.0199104,0.076911,0.0435459,-0.0348803,0.117546,5.40000000004426e-06,0.00871699999999997
"Ys0...4",-1.5,1,-0.75,0,-1.5,0.9873464,0.9128893,0.8584562,0.9087605,0.8158252,0.9856411,0.9004018,0.8688527,0.8690338,0.8936271,0.8161498,0.9872967,0.9131053,0.8686937,0.9086983,0.8159452,0.0744570999999999,0.0544331,-0.0503043,0.0929352999999999,0.0744570999999999,0.0315491,-0.0245933,0.0929352999999999,-0.00282699999999991,0.022884,0.00264589999999998,1.0274203,0.8813402,0.4174544,0.3734178,1.0245933,0.8841672,0.4349515,0.3952248,0.0852393,0.0315491,-0.0245933,0.0774773,0.00202989999999992,0.022884,0.0741914,0.0444116,-0.0400045999999999,0.0927530999999999,0.000169699999999939,0.0100215
"Ys0...5",-1.5,1,-0.75,0.5,-1.5,0.9877056,0.9149534,0.8591348,0.9135593,0.8445331,0.9858954,0.9014367,0.8703683,0.8705838,0.8971778,0.8373725,0.9876738,0.9151587,0.8702332,0.9134073,0.8446436,0.0727521999999999,0.0558186000000001,-0.0544245,0.0690261999999999,0.0727521999999999,0.0310684,-0.026594,0.0690261999999999,-0.00308029999999992,0.0247502000000001,0.00286479999999989,1.0296743,0.883885,0.4118049,0.3672198,1.026594,0.8869653,0.4215013,0.3785258,0.0844587,0.0310684,-0.026594,0.0598053000000001,-0.00535040000000009,0.0247502000000001,0.0725151000000001,0.0449255,-0.0431741,0.0687637,0.000142299999999929,0.0108931000000001
"Ys0...6",-1.5,1,-0.75,1,-1.5,0.9879307,0.9162527,0.8595625,0.9165463,0.8674235,0.9860625,0.902083,0.8713378,0.8715529,0.8993973,0.8544081,0.9879034,0.9164365,0.8711729,0.9164052,0.8674638,0.071678,0.0566902,-0.0569838,0.0491228,0.071678,0.0307451999999999,-0.0278444,0.0491228,-0.00319439999999993,0.0259450000000001,0.00297930000000002,1.0307452,0.8855075,0.4082435,0.3633286,1.0275508,0.8887019,0.4131062,0.3681128,0.0839795,0.0307451999999999,-0.0278444,0.0449892,-0.0111471999999999,0.0259450000000001,0.0714669,0.0452636,-0.0452323,0.0489414,6.76000000000565e-05,0.0114266000000001
"Ys0...7",-1.5,1,-0.75,1.5,-1.5,0.9880676,0.917058,0.8598374,0.9183789,0.8841376,0.9861594,0.902478,0.8719415,0.8721254,0.900742,0.8667872,0.9880451,0.9172293,0.8717656,0.9182249,0.8841157,0.0710096,0.0572206000000001,-0.0585415,0.0342413,0.0710096,0.0305365,-0.0286166,0.0342413,-0.00324079999999993,0.0266841000000001,0.00305689999999992,1.0305365,0.8865215,0.4060445,0.360928,1.0272957,0.8897623,0.4080117,0.3617582,0.0836814,0.0305365,-0.0286166,0.0339548000000001,-0.0154422,0.0266841000000001,0.0708158,0.0454637,-0.0464593,0.0341092000000001,6.00000000017253e-07,0.0117569000000001
"Ys0...8",-1.5,1,-0.2,-1.5,-1.5,0.9846368,0.8974178,0.8562905,0.8729325,0.7226511,0.9837429,0.8925406,0.8573805,0.8577069,0.8671434,0.7466046,0.9846005,0.8976541,0.857281,0.8730127,0.7225243,0.0872189999999999,0.0411273000000001,-0.016642,0.1502814,0.0872189999999999,0.0351601,-0.00943649999999996,0.1502814,-0.00123830000000003,0.00596720000000006,0.000911899999999966,1.0106748,0.8622577,0.4601205,0.4200832,1.0094365,0.863496,0.5350738,0.5198482,0.0912023,0.0351601,-0.00943649999999996,0.1205388,0.0248474,0.00596720000000006,0.0869464,0.0403731000000001,-0.0157317,0.1504884,-9.04999999999934e-05,0.000754200000000038
"Ys0...9",-1.5,1,-0.2,-1,-1.5,0.9858858,0.9046888,0.8608818,0.8896612,0.751359,0.9846174,0.8961706,0.8627726,0.8630723,0.8795433,0.7678273,0.9858714,0.9048838,0.8626049,0.8896889,0.7512227,0.0811970000000001,0.0438069999999999,-0.0287794,0.1383022,0.0811970000000001,0.033398,-0.016471,0.1383022,-0.00189940000000011,0.0104089999999999,0.00159970000000009,1.0183704,0.8712908,0.4401974,0.3982812,1.016471,0.8731902,0.4881799,0.461591,0.0884467999999999,0.033398,-0.016471,0.111716,0.0177367,0.0104089999999999,0.0809875999999999,0.0422789,-0.027084,0.1384662,-0.000121899999999897,0.00152809999999992
"Ys0...10",-1.5,1,-0.2,-0.5,-1.5,0.9867458,0.9096435,0.8640275,0.9011489,0.7836338,0.9852158,0.8986702,0.8664453,0.8667078,0.8880336,0.7919087,0.9867364,0.9098254,0.8662795,0.9011598,0.7836138,0.0771023,0.0456160000000001,-0.0371214000000001,0.1175151,0.0771023,0.0322249,-0.0213258,0.1175151,-0.00240450000000003,0.0133911000000001,0.00214199999999998,1.0237303,0.8774186,0.4265708,0.3833726,1.0213258,0.8798231,0.4560761,0.421635,0.0865456,0.0322249,-0.0213258,0.0961249,0.00980490000000001,0.0133911000000001,0.076911,0.0435459,-0.0348803,0.117546,-1.05999999999717e-05,0.00207010000000007
