"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"1","Ys0...1",-1.5,-1.25,-0.75,-1.5,0.988239,0.9281812,0.9464754,0.9440783,0.9350184,0.9887378,0.9303794,0.9448208,0.9447624,0.9465692,0.9247731,0.9882201,0.9283198,0.9447569,0.9439584,0.934985,0.0600577999999999,-0.0182941999999999,0.00239709999999993,0.00905990000000001,0.0600577999999999,-0.0144414,-0.0018068,0.00905990000000001,0.000351100000000049,-0.00385279999999988,0.000292700000000035,0.9985443,0.9426226,0.2495996,0.2495996,0.9981932,0.9422715,0.2173368,0.2173368,0.0583584,-0.0144414,-0.0018068,0.0217961,-0.0107441,-0.00385279999999988,0.0599003,-0.0164371,0.000798500000000035,0.00897340000000002,-1.45000000001394e-05,-0.00185709999999994
"2","Ys0...2",-1.5,-1.25,-0.75,-1,0.9883015,0.9283535,0.94871,0.9444767,0.935695,0.9892885,0.9320911,0.9458059,0.9457233,0.9488176,0.9286463,0.9882771,0.9284873,0.9457285,0.9443573,0.9356703,0.059948,-0.0203565,0.00423330000000011,0.00878169999999989,0.059948,-0.0137148,-0.00309429999999999,0.00878169999999989,0.000685900000000128,-0.00664169999999997,0.000603300000000195,0.9975916,0.9420683,0.244206,0.244206,0.9969057,0.9413824,0.2109182,0.2109182,0.0571974000000001,-0.0137148,-0.00309429999999999,0.0201713,-0.00803569999999998,-0.00664169999999997,0.0597898,-0.0172412,0.00137120000000002,0.008687,-3.00000000064138e-07,-0.00311530000000004
"3","Ys0...3",-1.5,-1.25,-0.75,1,0.9884044,0.9286208,0.9522818,0.9451138,0.9384709,0.9901919,0.9348526,0.947378,0.9473048,0.9524268,0.9444023,0.9883793,0.9287603,0.9472939,0.9449951,0.9384761,0.0597835999999999,-0.0236609999999999,0.00716799999999995,0.00664290000000001,0.0597835999999999,-0.0125254,-0.00512200000000007,0.00664290000000001,0.00115440000000011,-0.0111355999999999,0.0010812,0.9960324,0.9411462,0.2355388,0.2355388,0.994878,0.9399918,0.2005368,0.2005368,0.0553393,-0.0125254,-0.00512200000000007,0.00802449999999999,0.00414389999999998,-0.0111355999999999,0.059619,-0.0185336,0.00229880000000005,0.00651899999999994,3.03000000000386e-05,-0.00512739999999989
"4","Ys0...4",-1.5,-1.25,-0.75,1.5,0.9884112,0.9286383,0.9525379,0.9451584,0.9388641,0.9902532,0.9350367,0.947493,0.9474084,0.9526768,0.9466394,0.9883854,0.9287786,0.9473962,0.9450377,0.938863,0.0597729,-0.0238996,0.00737950000000009,0.00629429999999997,0.0597729,-0.0124563,-0.00526839999999995,0.00629429999999997,0.0012046,-0.0114433,0.00112000000000001,0.9959362,0.9410946,0.2349406,0.2349406,0.9947316,0.93989,0.1998296,0.1998296,0.0552164999999999,-0.0124563,-0.00526839999999995,0.00603739999999997,0.00593330000000014,-0.0114433,0.0596068,-0.0186176,0.00235850000000004,0.00617469999999998,2.47000000000996e-05,-0.00528200000000001
"5","Ys0...5",-1.5,-1.25,-0.2,-1.5,0.9882257,0.92817,0.9452039,0.9440783,0.9350184,0.988771,0.9303337,0.9448208,0.9447917,0.9465692,0.9247731,0.9882201,0.9283198,0.9447569,0.9439584,0.934985,0.0600556999999999,-0.0170338999999999,0.00112559999999995,0.00905990000000001,0.0600556999999999,-0.0144871,-0.00177749999999999,0.00905990000000001,0.000356299999999976,-0.00254679999999996,0.000327199999999972,0.9985788,0.9426571,0.249691,0.249691,0.9982225,0.9423008,0.2172782,0.2172782,0.0584372999999999,-0.0144871,-0.00177749999999999,0.0217961,-0.0107906,-0.00254679999999996,0.0599003,-0.0164371,0.000798500000000035,0.00897340000000002,-2.78000000001333e-05,-0.000596799999999953
"6","Ys0...6",-1.5,-1.25,-0.2,-1,0.9882872,0.9283419,0.9465179,0.9444767,0.935695,0.9893214,0.9320518,0.9458059,0.9457745,0.9488176,0.9286463,0.9882771,0.9284873,0.9457285,0.9443573,0.9356703,0.0599453,-0.018176,0.00204120000000008,0.00878169999999989,0.0599453,-0.0137541,-0.00304310000000008,0.00878169999999989,0.000662400000000174,-0.00442189999999998,0.000631000000000159,0.9976193,0.942096,0.2442846,0.2442846,0.9969569,0.9414336,0.2108158,0.2108158,0.0572696,-0.0137541,-0.00304310000000008,0.0201713,-0.0080829,-0.00442189999999998,0.0597898,-0.0172412,0.00137120000000002,0.008687,-1.46000000000868e-05,-0.000934800000000013
"7","Ys0...7",-1.5,-1.25,-0.2,1,0.9883905,0.9286135,0.9486161,0.9451138,0.9384709,0.9902183,0.934804,0.947378,0.9473205,0.9524268,0.9444023,0.9883793,0.9287603,0.9472939,0.9449951,0.9384761,0.059777,-0.0200026,0.00350229999999996,0.00664290000000001,0.059777,-0.0125740000000001,-0.00510630000000001,0.00664290000000001,0.00118000000000007,-0.0074285999999999,0.00112250000000003,0.9960737,0.9411875,0.235636,0.235636,0.9948937,0.9400075,0.2005054,0.2005054,0.0554143,-0.0125740000000001,-0.00510630000000001,0.00802449999999999,0.00410359999999999,-0.0074285999999999,0.059619,-0.0185336,0.00229880000000005,0.00651899999999994,1.64000000000275e-05,-0.00146899999999994
"8","Ys0...8",-1.5,-1.25,-0.2,1.5,0.988398,0.9286325,0.9487673,0.9451584,0.9388641,0.9902789,0.934998,0.947493,0.9474322,0.9526768,0.9466394,0.9883854,0.9287786,0.9473962,0.9450377,0.938863,0.0597655,-0.0201348,0.00360890000000003,0.00629429999999997,0.0597655,-0.012495,-0.00524460000000004,0.00629429999999997,0.0012137000000001,-0.00763979999999997,0.00115290000000001,0.9959691,0.9411275,0.235018,0.235018,0.9947554,0.9399138,0.199782,0.199782,0.0552809,-0.012495,-0.00524460000000004,0.00603739999999997,0.00589440000000008,-0.00763979999999997,0.0596068,-0.0186176,0.00235850000000004,0.00617469999999998,1.15000000000531e-05,-0.0015172
"9","Ys0...9",-1.5,-1.25,0.2,-1.5,0.9882609,0.9281856,0.9442765,0.9440783,0.9350184,0.9887729,0.9303455,0.9448208,0.9447949,0.9465692,0.9247731,0.9882201,0.9283198,0.9447569,0.9439584,0.934985,0.0600752999999999,-0.0160908999999999,0.000198199999999926,0.00905990000000001,0.0600752999999999,-0.0144753,-0.00177430000000001,0.00905990000000001,0.000356899999999993,-0.00161559999999994,0.00033099999999997,0.9985826,0.9426609,0.2496674,0.2496674,0.9982257,0.942304,0.2172718,0.2172718,0.0584273999999999,-0.0144753,-0.00177430000000001,0.0217961,-0.0107573,-0.00161559999999994,0.0599003,-0.0164371,0.000798500000000035,0.00897340000000002,7.39999999987973e-06,0.000346200000000074
"10","Ys0...10",-1.5,-1.25,0.2,-1,0.9883244,0.9283603,0.9449062,0.9444767,0.935695,0.9893252,0.9320626,0.9458059,0.9457714,0.9488176,0.9286463,0.9882771,0.9284873,0.9457285,0.9443573,0.9356703,0.0599641,-0.0165459,0.000429500000000083,0.00878169999999989,0.0599641,-0.0137433,-0.0030462,0.00878169999999989,0.000673100000000093,-0.00280259999999999,0.000638600000000156,0.9976269,0.9421036,0.244263,0.244263,0.9969538,0.9414305,0.210822,0.210822,0.0572626000000001,-0.0137433,-0.0030462,0.0201713,-0.00804950000000004,-0.00280259999999999,0.0597898,-0.0172412,0.00137120000000002,0.008687,2.25999999998727e-05,0.000695299999999954
