"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,2.7427728,-0.17684385,0.03398865,0.0614205000000001,2.7427728,-0.13021515,-0.01714875,0.0614205000000001,0.0045086999999997,2.7260154,-0.13021515,-0.01714875,0.2165481,-0.133850549999999,2.7426613,-0.15618585,0.0131973000000003,0.0618764999999999,-0.000211149999999272
"Ys0...2",-1.5,-1.5,-0.75,-1,2.7767754,-0.20175855,0.05890335,0.0614205000000001,2.7767754,-0.12120765,-0.02992485,0.0614205000000001,0.00827730000000004,2.7476347,-0.12120765,-0.02992485,0.2006463,-0.101888499999999,2.7765599,-0.1657518,0.0227632500000001,0.0618764999999999,-0.000107149999999834
"Ys0...3",-1.5,-1.5,-0.75,1,2.831192,-0.24163725,0.0987820500000001,0.0614205000000001,2.831192,-0.1068786,-0.0504045,0.0614205000000001,0.0144278999999998,2.7821557,-0.1068786,-0.0504045,0.0811168499999999,0.04359775,2.8309493,-0.1811229,0.03813435,0.0618764999999999,-7.99499999999398e-05
"Ys0...4",-1.5,-1.5,-0.75,1.5,2.8349544,-0.24439575,0.10154055,0.0614205000000001,2.8349544,-0.1058784,-0.0517919999999998,0.0614205000000001,0.0148151999999997,2.7845566,-0.1058784,-0.0517919999999998,0.06132465,0.0651518000000006,2.8347229,-0.18217935,0.0391908000000001,0.0618764999999999,-9.11499999993737e-05
"Ys0...5",-1.5,-1.5,-0.2,-1.5,2.7433325,-0.16132305,0.0187164000000002,0.0614205000000001,2.7433325,-0.1301046,-0.01710345,0.0614205000000001,0.00460139999999987,2.7265143,-0.1301046,-0.01710345,0.2165481,-0.13365175,2.7426613,-0.15618585,0.0131973000000003,0.0618764999999999,0.000597100000000239
"Ys0...6",-1.5,-1.5,-0.2,-1,2.7774011,-0.17506515,0.0324585000000002,0.0614205000000001,2.7774011,-0.12114,-0.0298174499999999,0.0614205000000001,0.0083508000000001,2.7481622,-0.12114,-0.0298174499999999,0.2006463,-0.1016094,2.7765599,-0.1657518,0.0227632500000001,0.0618764999999999,0.000767100000000021
"Ys0...7",-1.5,-1.5,-0.2,1,2.8319433,-0.19704195,0.0544352999999997,0.0614205000000001,2.8319433,-0.1067301,-0.0502167,0.0614205000000001,0.0143401500000002,2.7826293,-0.1067301,-0.0502167,0.0811168499999999,0.0439755000000002,2.8309493,-0.1811229,0.03813435,0.0618764999999999,0.000919900000000418
"Ys0...8",-1.5,-1.5,-0.2,1.5,2.8357277,-0.19857435,0.0559677000000001,0.0614205000000001,2.8357277,-0.1056969,-0.0516037499999999,0.0614205000000001,0.014694,2.7850082,-0.1056969,-0.0516037499999999,0.06132465,0.0655405499999997,2.8347229,-0.18217935,0.0391908000000001,0.0618764999999999,0.000930700000000506
"Ys0...9",-1.5,-1.5,0.2,-1.5,2.7432452,-0.1502424,0.00754680000000008,0.0614205000000001,2.7432452,-0.13020645,-0.0171717,0.0614205000000001,0.00468254999999962,2.7265088,-0.13020645,-0.0171717,0.2165481,-0.13372065,2.7426613,-0.15618585,0.0131973000000003,0.0618764999999999,0.00042085000000025
"Ys0...10",-1.5,-1.5,0.2,-1,2.7773408,-0.1557813,0.0130857,0.0614205000000001,2.7773408,-0.12118185,-0.0298609499999998,0.0614205000000001,0.00834719999999978,2.7481167,-0.12118185,-0.0298609499999998,0.2006463,-0.1016713,2.7765599,-0.1657518,0.0227632500000001,0.0618764999999999,0.000617850000000253
"Ys0...11",-1.5,-1.5,0.2,1,2.8318092,-0.1647255,0.0220299000000002,0.0614205000000001,2.8318092,-0.1068105,-0.0502690499999998,0.0614205000000001,0.0143839499999996,2.7826095,-0.1068105,-0.0502690499999998,0.0811168499999999,0.0438526499999998,2.8309493,-0.1811229,0.03813435,0.0618764999999999,0.000696849999999749
"Ys0...12",-1.5,-1.5,0.2,1.5,2.8355912,-0.16534845,0.0226528500000001,0.0614205000000001,2.8355912,-0.1057872,-0.0516638999999999,0.0614205000000001,0.0147554999999997,2.784995,-0.1057872,-0.0516638999999999,0.06132465,0.0654186000000001,2.8347229,-0.18217935,0.0391908000000001,0.0618764999999999,0.000705250000000213
"Ys0...13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,0.0610295999999999,NA,NA,NA,0.0610295999999999,NA,NA,NA,NA,0.2162385,NA,2.7425961,-0.15590175,0.0129898500000003,0.0614236499999996,NA
"Ys0...14",-1.5,-1.5,0.75,-1,NA,NA,NA,0.0610295999999999,NA,NA,NA,0.0610295999999999,NA,NA,NA,NA,0.20018925,NA,2.7767109,-0.16558305,0.0226711500000003,0.0614236499999996,NA
"Ys0...15",-1.5,-1.5,0.75,1,NA,NA,NA,0.0610295999999999,NA,NA,NA,0.0610295999999999,NA,NA,NA,NA,0.08096295,NA,2.8310709,-0.1809708,0.0380589000000002,0.0614236499999996,NA
"Ys0...16",-1.5,-1.5,0.75,1.5,NA,NA,NA,0.0610295999999999,NA,NA,NA,0.0610295999999999,NA,NA,NA,NA,0.0611052000000001,NA,2.8348511,-0.1820439,0.0391319999999999,0.0614236499999996,NA
"Ys0...17",-1.5,-1,-0.75,-1.5,2.7427728,-0.29471405,0.00740775000000005,0.23205455,2.7427728,-0.26362825,-0.02668385,0.23205455,0.00300579999999995,2.7260154,-0.26362825,-0.02668385,0.33547295,-0.0836761999999993,2.7426613,-0.28110285,-0.00658044999999996,0.2327418,-0.000198749999999137
"Ys0...18",-1.5,-1,-0.75,-1,2.7767754,-0.31132385,0.0128254500000002,0.21799475,2.7767754,-0.25762325,-0.0463933500000002,0.21799475,0.00551820000000047,2.7476347,-0.25762325,-0.0463933500000002,0.31081195,-0.0582563000000005,2.7765599,-0.28748015,-0.01139205,0.21857835,5.69999999955328e-06
"Ys0...19",-1.5,-1,-0.75,1,2.831192,-0.33790965,0.0214148999999999,0.1125609,2.831192,-0.24807055,-0.0780428,0.1125609,0.00961860000000003,2.7821557,-0.24807055,-0.0780428,0.1256918,0.0453804000000004,2.8309493,-0.29772755,-0.0190736,0.11302155,8.84500000006838e-05
"Ys0...20",-1.5,-1,-0.75,1.5,2.8349544,-0.33974865,0.0220297500000002,0.0950494499999999,2.8349544,-0.24740375,-0.0801919500000001,0.0950494499999999,0.0098767999999998,2.7845566,-0.24740375,-0.0801919500000001,0.0949855500000001,0.0602000499999997,2.8347229,-0.29843185,-0.0195862,0.09556875,1.13500000002986e-05
"Ys0...21",-1.5,-1,-0.2,-1.5,2.7433325,-0.2842237,-0.00273555000000014,0.23205455,2.7433325,-0.2634114,-0.02661545,0.23205455,0.00306760000000006,2.7265143,-0.2634114,-0.02661545,0.33547295,-0.0834852000000001,2.7426613,-0.28110285,-0.00658044999999996,0.2327418,0.000708000000000375
"Ys0...22",-1.5,-1,-0.2,-1,2.7774011,-0.2933851,-0.00474974999999977,0.21799475,2.7774011,-0.257435,-0.04626705,0.21799475,0.00556719999999977,2.7481622,-0.257435,-0.04626705,0.31081195,-0.0579828,2.7765599,-0.28748015,-0.01139205,0.21857835,0.000994950000000383
"Ys0...23",-1.5,-1,-0.2,1,2.8319433,-0.3080363,-0.0080635,0.1125609,2.8319433,-0.2478284,-0.0778315000000003,0.1125609,0.00956010000000029,2.7826293,-0.2478284,-0.0778315000000003,0.1256918,0.0458108999999998,2.8309493,-0.29772755,-0.0190736,0.11302155,0.00123470000000037
"Ys0...24",-1.5,-1,-0.2,1.5,2.8357277,-0.3090579,-0.00826055000000014,0.0950494499999999,2.8357277,-0.2471396,-0.0799748499999997,0.0950494499999999,0.00979599999999969,2.7850082,-0.2471396,-0.0799748499999997,0.0949855500000001,0.0606580499999998,2.8347229,-0.29843185,-0.0195862,0.09556875,0.00118509999999983
"Ys0...25",-1.5,-1,0.2,-1.5,2.7432452,-0.27685495,-0.01020025,0.23205455,2.7432452,-0.26349765,-0.0266792499999999,0.23205455,0.00312169999999989,2.7265088,-0.26349765,-0.0266792499999999,0.33547295,-0.0835767000000001,2.7426613,-0.28110285,-0.00658044999999996,0.2327418,0.000524750000000296
"Ys0...26",-1.5,-1,0.2,-1,2.7773408,-0.28054755,-0.0176764999999999,0.21799475,2.7773408,-0.25748125,-0.0463076,0.21799475,0.0055647999999997,2.7481167,-0.25748125,-0.0463076,0.31081195,-0.0580405499999999,2.7765599,-0.28748015,-0.01139205,0.21857835,0.000845450000000358
"Ys0...27",-1.5,-1,0.2,1,2.8318092,-0.28651035,-0.0296970999999999,0.1125609,2.8318092,-0.24790035,-0.0778964000000002,0.1125609,0.00958930000000047,2.7826095,-0.24790035,-0.0778964000000002,0.1256918,0.0456609000000001,2.8309493,-0.29772755,-0.0190736,0.11302155,0.000992950000000548
"Ys0...28",-1.5,-1,0.2,1.5,2.8355912,-0.28692565,-0.0305010499999998,0.0950494499999999,2.8355912,-0.24721815,-0.0800455499999999,0.0950494499999999,0.00983699999999965,2.784995,-0.24721815,-0.0800455499999999,0.0949855500000001,0.0605050499999997,2.8347229,-0.29843185,-0.0195862,0.09556875,0.000940350000000478
"Ys0...29",-1.5,-1,0.75,-1.5,NA,NA,NA,0.2317312,NA,NA,NA,0.2317312,NA,NA,NA,NA,0.3352038,NA,2.7425961,-0.28078595,-0.00666009999999995,0.23209455,NA
"Ys0...30",-1.5,-1,0.75,-1,NA,NA,NA,0.2175666,NA,NA,NA,0.2175666,NA,NA,NA,NA,0.3103397,NA,2.7767109,-0.28724015,-0.0113536999999999,0.21794515,NA
"Ys0...31",-1.5,-1,0.75,1,NA,NA,NA,0.112251,NA,NA,NA,0.112251,NA,NA,NA,NA,0.1255399,NA,2.8310709,-0.29749865,-0.0191053999999999,0.1126046,NA
"Ys0...32",-1.5,-1,0.75,1.5,NA,NA,NA,0.0947443999999997,NA,NA,NA,0.0947443999999997,NA,NA,NA,NA,0.0947947999999998,NA,2.8348511,-0.29821405,-0.0196130999999999,0.0951121499999998,NA
"Ys0...33",-1.5,0,-0.75,-1.5,2.7427728,-0.53045445,-0.0457540500000002,0.57332265,2.7427728,-0.53045445,-0.0457540499999998,0.57332265,0,2.7260154,-0.53045445,-0.0457540499999998,0.57332265,0.0166725000000003,2.7426613,-0.53093685,-0.04613595,0.5744724,-0.0001739500000002
"Ys0...34",-1.5,0,-0.75,-1,2.7767754,-0.53045445,-0.0793303499999998,0.53114325,2.7767754,-0.53045445,-0.0793303500000002,0.53114325,4.44089209850063e-16,2.7476347,-0.53045445,-0.0793303500000002,0.53114325,0.0290081000000004,2.7765599,-0.53093685,-0.0797026500000002,0.53198205,0.00023139999999966
"Ys0...35",-1.5,0,-0.75,1,2.831192,-0.53045445,-0.1333194,0.2148417,2.831192,-0.53045445,-0.1333194,0.2148417,4.44089209850063e-16,2.7821557,-0.53045445,-0.1333194,0.2148417,0.0489457,2.8309493,-0.53093685,-0.1334895,0.21531165,0.000425250000000599
"Ys0...36",-1.5,0,-0.75,1.5,2.8349544,-0.53045445,-0.13699185,0.16230735,2.8349544,-0.53045445,-0.13699185,0.16230735,-4.44089209850063e-16,2.7845566,-0.53045445,-0.13699185,0.16230735,0.0502965500000006,2.8347229,-0.53093685,-0.1371402,0.16295325,0.000216350000000087
"Ys0...37",-1.5,0,-0.2,-1.5,2.7433325,-0.530025,-0.0456394500000004,0.57332265,2.7433325,-0.530025,-0.0456394499999999,0.57332265,0,2.7265143,-0.530025,-0.0456394499999999,0.57332265,0.0168479000000001,2.7426613,-0.53093685,-0.04613595,0.5744724,0.000929799999999315
"Ys0...38",-1.5,0,-0.2,-1,2.7774011,-0.530025,-0.0791662500000001,0.53114325,2.7774011,-0.530025,-0.0791662500000001,0.53114325,4.44089209850063e-16,2.7481622,-0.530025,-0.0791662500000001,0.53114325,0.0292703999999997,2.7765599,-0.53093685,-0.0797026500000002,0.53198205,0.00145064999999978
"Ys0...39",-1.5,0,-0.2,1,2.8319433,-0.530025,-0.1330611,0.2148417,2.8319433,-0.530025,-0.1330611,0.2148417,4.44089209850063e-16,2.7826293,-0.530025,-0.1330611,0.2148417,0.0494817000000003,2.8309493,-0.53093685,-0.1334895,0.21531165,0.00186430000000071
"Ys0...40",-1.5,0,-0.2,1.5,2.8357277,-0.530025,-0.13671705,0.16230735,2.8357277,-0.530025,-0.13671705,0.16230735,-8.88178419700125e-16,2.7850082,-0.530025,-0.13671705,0.16230735,0.05089305,2.8347229,-0.53093685,-0.1371402,0.16295325,0.0016938999999998
"Ys0...41",-1.5,0,0.2,-1.5,2.7432452,-0.53008005,-0.0456943500000002,0.57332265,2.7432452,-0.53008005,-0.0456943499999998,0.57332265,-4.44089209850063e-16,2.7265088,-0.53008005,-0.0456943499999998,0.57332265,0.0167112000000005,2.7426613,-0.53093685,-0.04613595,0.5744724,0.000732549999999943
"Ys0...42",-1.5,0,0.2,-1,2.7773408,-0.53008005,-0.0792009,0.53114325,2.7773408,-0.53008005,-0.0792009,0.53114325,0,2.7481167,-0.53008005,-0.0792009,0.53114325,0.0292209500000009,2.7765599,-0.53093685,-0.0797026500000002,0.53198205,0.00130065000000013
"Ys0...43",-1.5,0,0.2,1,2.8318092,-0.53008005,-0.1331511,0.2148417,2.8318092,-0.53008005,-0.1331511,0.2148417,0,2.7826095,-0.53008005,-0.1331511,0.2148417,0.0492774000000002,2.8309493,-0.53093685,-0.1334895,0.21531165,0.00158515000000081
"Ys0...44",-1.5,0,0.2,1.5,2.8355912,-0.53008005,-0.13680885,0.16230735,2.8355912,-0.53008005,-0.13680885,0.16230735,0,2.784995,-0.53008005,-0.13680885,0.16230735,0.0506779499999999,2.8347229,-0.53093685,-0.1371402,0.16295325,0.00141054999999968
"Ys0...45",-1.5,0,0.75,-1.5,NA,NA,NA,0.5731344,NA,NA,NA,0.5731344,NA,NA,NA,NA,0.5731344,NA,2.7425961,-0.53055435,-0.04596,0.57343635,NA
"Ys0...46",-1.5,0,0.75,-1,NA,NA,NA,0.5306406,NA,NA,NA,0.5306406,NA,NA,NA,NA,0.5306406,NA,2.7767109,-0.53055435,-0.0794033999999999,0.53098815,NA
