"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-0.0622754999999999,-0.00546060000000004,0.0160342999999999,0.0117716,-0.00312519999999994,0.00141330000000006,0.000275800000000048
"Ys1...2",-1.5,-1.5,-0.75,-1,-0.0623351999999999,-0.00546060000000004,0.0182991,0.0109478,-0.00539000000000001,0.0025676,0.000606299999999949
"Ys1...3",-1.5,-1.5,-0.75,1,-0.0624315,-0.00546060000000004,0.0218927,0.00966619999999996,-0.00898359999999998,0.00443590000000005,0.001193
"Ys1...4",-1.5,-1.5,-0.75,1.5,-0.0624384,-0.00546060000000004,0.0221376999999999,0.00957920000000001,-0.00922859999999992,0.0045676,0.00123770000000001
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-0.0621846,-0.00546060000000004,0.014586,0.0117605,-0.00172659999999991,0.0014246,0.000325699999999873
"Ys1...6",-1.5,-1.5,-0.2,-1,-0.0622423000000001,-0.00546060000000004,0.0158167,0.0109359999999999,-0.00295729999999994,0.00256699999999999,0.000643599999999855
"Ys1...7",-1.5,-1.5,-0.2,1,-0.0623358000000001,-0.00546060000000004,0.0178037,0.00964690000000001,-0.0049442999999999,0.00440050000000003,0.00118799999999997
"Ys1...8",-1.5,-1.5,-0.2,1.5,-0.0623423000000001,-0.00546060000000004,0.0179443,0.00955649999999997,-0.00508489999999995,0.00453590000000004,0.00123299999999993
"Ys1...9",-1.5,-1.5,0.2,-1.5,-0.0621966,-0.00546060000000004,0.0136079,0.0117569,-0.000729699999999944,0.00142050000000005,0.000299199999999944
"Ys1...10",-1.5,-1.5,0.2,-1,-0.0622498,-0.00546060000000004,0.0141003000000001,0.0109284999999999,-0.0012221,0.00255929999999993,0.000609599999999766
"Ys1...11",-1.5,-1.5,0.2,1,-0.0623441,-0.00546060000000004,0.0149131,0.00963789999999998,-0.00203489999999995,0.00440300000000005,0.00116269999999996
"Ys1...12",-1.5,-1.5,0.2,1.5,-0.0623503,-0.00546060000000004,0.0149696,0.00955069999999991,-0.00209139999999997,0.00453490000000001,0.00120739999999986
"Ys1...13",-1.5,-1.5,0.75,-1.5,NA,-0.00543179999999999,NA,NA,NA,NA,NA
"Ys1...14",-1.5,-1.5,0.75,-1,NA,-0.00543179999999999,NA,NA,NA,NA,NA
"Ys1...15",-1.5,-1.5,0.75,1,NA,-0.00543179999999999,NA,NA,NA,NA,NA
"Ys1...16",-1.5,-1.5,0.75,1.5,NA,-0.00543179999999999,NA,NA,NA,NA,NA
"Ys1...17",-1.5,-1,-0.75,-1.5,-0.0582975,-0.0116185,0.0202449,0.0165775,-0.0021719,0.00176390000000004,0.000268400000000057
"Ys1...18",-1.5,-1,-0.75,-1,-0.0580572,-0.0110814,0.0222129,0.0158573000000001,-0.00375079999999994,0.00318240000000003,0.000577600000000067
"Ys1...19",-1.5,-1,-0.75,1,-0.0576667000000001,-0.00725979999999993,0.0253232000000001,0.0147526,-0.00619790000000009,0.00544650000000002,0.00107380000000001
"Ys1...20",-1.5,-1,-0.75,1.5,-0.0576424,-0.00662130000000005,0.0255373999999999,0.0146753000000001,-0.00636479999999995,0.00560759999999993,0.00111030000000001
