"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.9721959,0.9166541,0.9451863,0.9339321,0.9091525,0.9763747,0.924994,0.9383274,0.938293,0.9440774,0.8299572,0.9721747,0.9165196,0.9382538,0.9339493,0.9091102,0.0555418,-0.0285322,0.0112542,0.0247796,0.0555418,-0.0133334000000001,-0.00578439999999991,0.0247796,0.00183979999999995,-0.0151988,0.00180539999999996,0.9960554,0.9299875,0.2733572,0.2733572,0.9942156,0.9281477,0.2352592,0.2352592,0.0513807000000001,-0.0133334000000001,-0.00578439999999991,0.1141202,-0.0833741000000001,-0.0151988,0.0556551,-0.0217342,0.00430450000000004,0.0248391,-2.10999999999961e-05,-0.00679799999999997
"Ys0...2",-1.5,-1.5,-0.75,-1,0.9724333,0.9166541,0.9518408,0.9339321,0.9091525,0.9783159,0.9299152,0.9408994,0.9408753,0.9499949,0.8604005,0.9724098,0.9165196,0.9408025,0.9339493,0.9091102,0.0557791999999999,-0.0351867,0.0179087,0.0247796,0.0557791999999999,-0.0109842,-0.00911960000000001,0.0247796,0.00282579999999999,-0.0242025,0.00280169999999991,0.9937062,0.9276383,0.2583708,0.2583708,0.9918416,0.9248125,0.2182596,0.2182596,0.0484007,-0.0109842,-0.00911960000000001,0.0895944,-0.0546346000000001,-0.0242025,0.0558902,-0.0242829,0.0068532,0.0248391,-1.88000000000965e-05,-0.0109038
"Ys0...3",-1.5,-1.5,-0.75,1,0.9725791,0.9166541,0.958966,0.9339321,0.9091525,0.9794316,0.9352606,0.9436462,0.9435886,0.9563137,0.934766,0.9725517,0.9165196,0.943538,0.9339493,0.9091102,0.055925,-0.0423119,0.0250338999999999,0.0247796,0.055925,-0.00838559999999999,-0.0127251,0.0247796,0.00383270000000002,-0.0339263,0.00377510000000003,0.9916144,0.9250397,0.2421864,0.2421864,0.9954471,0.921207,0.2001954,0.2001954,0.044171,-0.00838559999999999,-0.0127251,0.0215477000000001,0.018761,-0.0339263,0.0560321,-0.0270184,0.00958870000000001,0.0248391,-1.49000000000399e-05,-0.0152935
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.9725811,0.9166541,0.9592012,0.9339321,0.9091525,0.9794428,0.9354344,0.9437326,0.9436764,0.9565122,0.940735,0.9725532,0.9165196,0.9436249,0.9339493,0.9091102,0.0559269999999999,-0.0425470999999999,0.0252690999999999,0.0247796,0.0559269999999999,-0.00829820000000003,-0.0128358000000001,0.0247796,0.00385600000000008,-0.0342488999999999,0.00379980000000002,0.9917018,0.9249523,0.241666,0.241666,0.9955578,0.9210963,0.1996228,0.1996228,0.0440083999999999,-0.00829820000000003,-0.0128358000000001,0.0157772,0.0247208,-0.0342488999999999,0.0560336,-0.0271053,0.00967560000000001,0.0248391,-1.4400000000081e-05,-0.0154418
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.972211,0.9166714,0.9401555,0.9339321,0.9091525,0.9764007,0.9250457,0.9383274,0.9382794,0.9440774,0.8299572,0.9721747,0.9165196,0.9382538,0.9339493,0.9091102,0.0555396,-0.0234841,0.00622339999999999,0.0247796,0.0555396,-0.0132817000000001,-0.00579799999999997,0.0247796,0.00181900000000002,-0.0102023999999999,0.00177099999999997,0.996021,0.9299531,0.2732538,0.2732538,0.994202,0.9281341,0.2352864,0.2352864,0.051355,-0.0132817000000001,-0.00579799999999997,0.1141202,-0.083385,-0.0102023999999999,0.0556551,-0.0217342,0.00430450000000004,0.0248391,-5.99999999995049e-06,-0.00174989999999997
"Ys0...6",-1.5,-1.5,-0.2,-1,0.9724511,0.9166714,0.9437939,0.9339321,0.9091525,0.9783157,0.9299996,0.9408994,0.9408692,0.9499949,0.8604005,0.9724098,0.9165196,0.9408025,0.9339493,0.9091102,0.0557797,-0.0271224999999999,0.00986179999999992,0.0247796,0.0557797,-0.0108998,-0.00912570000000001,0.0247796,0.00276480000000001,-0.0162226999999999,0.00273459999999992,0.9936391,0.9275712,0.258202,0.258202,0.991865,0.9248064,0.2182718,0.2182718,0.0483161,-0.0108998,-0.00912570000000001,0.0895944,-0.0546166,-0.0162226999999999,0.0558902,-0.0242829,0.0068532,0.0248391,-1.00000000002876e-06,-0.00283959999999994
"Ys0...7",-1.5,-1.5,-0.2,1,0.9725888,0.9166714,0.94769,0.9339321,0.9091525,0.9794233,0.9353193,0.9436462,0.9435953,0.9563137,0.934766,0.9725517,0.9165196,0.943538,0.9339493,0.9091102,0.0559174,-0.0310186,0.0137579,0.0247796,0.0559174,-0.00832690000000003,-0.0127184,0.0247796,0.00378460000000003,-0.0226917,0.00373370000000006,0.9916731,0.9249983,0.242069,0.242069,0.9954577,0.9212137,0.200182,0.200182,0.044104,-0.00832690000000003,-0.0127184,0.0215477000000001,0.018779,-0.0226917,0.0560321,-0.0270184,0.00958870000000001,0.0248391,-5.20000000003851e-06,-0.00400020000000001
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.9725904,0.9166714,0.9478199,0.9339321,0.9091525,0.9794345,0.9354942,0.9437326,0.9436835,0.9565122,0.940735,0.9725532,0.9165196,0.9436249,0.9339493,0.9091102,0.0559189999999999,-0.0311485,0.0138878,0.0247796,0.0559189999999999,-0.00823839999999998,-0.0128287,0.0247796,0.00380639999999999,-0.0229101,0.00375729999999996,0.9917616,0.9249098,0.2415464,0.2415464,0.995568,0.9211034,0.1996086,0.1996086,0.0439402999999999,-0.00823839999999998,-0.0128287,0.0157772,0.0247383999999999,-0.0229101,0.0560336,-0.0271053,0.00967560000000001,0.0248391,-5.10000000009114e-06,-0.00404320000000002
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.9721935,0.9166331,0.9365133,0.9339321,0.9091525,0.9763772,0.9249954,0.9383274,0.9382644,0.9440774,0.8299572,0.9721747,0.9165196,0.9382538,0.9339493,0.9091102,0.0555604000000001,-0.0198802,0.00258119999999995,0.0247796,0.0555604000000001,-0.013332,-0.00581299999999996,0.0247796,0.0018459999999999,-0.0065482,0.00178299999999987,0.996033,0.9299651,0.2733544,0.2733544,0.994187,0.9281191,0.2353164,0.2353164,0.0513817999999999,-0.013332,-0.00581299999999996,0.1141202,-0.083379,-0.0065482,0.0556551,-0.0217342,0.00430450000000004,0.0248391,-2.34999999999541e-05,0.00185400000000002
"Ys0...10",-1.5,-1.5,0.2,-1,0.9724371,0.9166331,0.9379789,0.9339321,0.9091525,0.978304,0.9299314,0.9408994,0.9408503,0.9499949,0.8604005,0.9724098,0.9165196,0.9408025,0.9339493,0.9091102,0.0558040000000001,-0.0213458,0.00404679999999991,0.0247796,0.0558040000000001,-0.0109680000000001,-0.00914459999999995,0.0247796,0.00281359999999997,-0.0103777999999999,0.00276449999999995,0.993669,0.9276011,0.2583384,0.2583384,0.9918456,0.9247875,0.2183096,0.2183096,0.0483726,-0.0109680000000001,-0.00914459999999995,0.0895944,-0.0546188999999999,-0.0103777999999999,0.0558902,-0.0242829,0.0068532,0.0248391,-1.49999999999872e-05,0.00293710000000003
