"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,1,-0.75,-1.5,-1.5,0.9649619,0.8996459,0.8468464,0.8946728,0.4446907,0.962616,0.8891876,0.8554415,0.8555713,0.8822116,0.4716465,0.9649168,0.8996044,0.8553682,0.8947033,0.4444824,0.065316,0.0527995,-0.0478264,0.4499821,0.065316,0.0337461,-0.0266403,0.4499821,-0.0021327000000001,0.0190534,0.00200290000000003,1.028773,0.8658998,0.4665374,0.422333,1.0266403,0.8680325,0.4853327,0.4462312,0.0734284000000001,0.0337461,-0.0266403,0.4105651,0.0293017,0.0190534,0.0653124,0.0442361999999999,-0.0393351,0.4502209,-0.000163199999999974,0.00856330000000005
"Ys0...2",-1.5,1,-0.75,-1,-1.5,0.970131,0.9152826,0.8538583,0.9308813,0.5281873,0.9657162,0.8982919,0.8677773,0.8678475,0.9107467,0.5542392,0.9701238,0.9152479,0.8676884,0.9309133,0.528136,0.0548484,0.0614243,-0.0770230000000001,0.402694,0.0548484,0.0305146000000001,-0.0428992,0.402694,-0.00321410000000011,0.0309096999999999,0.00314390000000009,1.0305146,0.884768,0.4203563,0.372851,1.0273005,0.8879821,0.3797778,0.316744,0.0674243,0.0305146000000001,-0.0428992,0.3565075,0.0304667,0.0309096999999999,0.0548759,0.0475595,-0.0632249,0.4027773,-4.40999999999914e-05,0.0138648
"Ys0...3",-1.5,1,-0.75,-0.5,-1.5,0.9719304,0.9234453,0.8577699,0.9497827,0.6273843,0.9668566,0.903243,0.8742849,0.8743709,0.9257544,0.6431888,0.9719026,0.9233456,0.8741934,0.9498164,0.6273607,0.0484850999999999,0.0656754000000001,-0.0920128,0.3223984,0.0484850999999999,0.0289581,-0.0513835,0.3223984,-0.00391199999999992,0.0367173000000001,0.003826,1.0289581,0.8944872,0.3957838,0.3466234,1.0250461,0.8983992,0.3243376,0.2489258,0.0636135999999999,0.0289581,-0.0513835,0.2825656,0.0208783,0.0367173000000001,0.048557,0.0491522,-0.075623,0.3224557,4.20000000000975e-06,0.0165232000000001
"Ys0...4",-1.5,1,-0.75,0,-1.5,0.9724736,0.9270494,0.8597032,0.9584151,0.7265868,0.9672664,0.9057522,0.8771802,0.8773299,0.9328192,0.7265506,0.9724607,0.9271295,0.8772602,0.9584255,0.726673,0.0454242,0.0673462,-0.0987119,0.2318283,0.0454242,0.028572,-0.0554893,0.2318283,-0.00444840000000002,0.0387742,0.00429869999999999,1.028572,0.8984774,0.384266,0.3343968,1.0241236,0.9029258,0.2986166,0.2175314,0.0615142,0.028572,-0.0554893,0.2062686,0.00517100000000015,0.0387742,0.0453311999999999,0.0498693,-0.0811653,0.2317525,9.91000000001296e-05,0.0174769
"Ys0...5",-1.5,1,-0.75,0.5,-1.5,0.9725665,0.9285871,0.8609266,0.9616643,0.8103395,0.967378,0.9068075,0.8785502,0.878592,0.9357575,0.7942091,0.972484,0.9284654,0.8787069,0.9617375,0.8100475,0.0439794,0.0676605,-0.1007377,0.1513248,0.0439794,0.0282573,-0.0571655,0.1513248,-0.00416900000000009,0.0394032,0.0041272,1.0282573,0.9003298,0.3792477,0.3292108,1.0240883,0.9044988,0.2882287,0.2051564,0.0605705,0.0282573,-0.0571655,0.1415484,-0.0109418999999999,0.0394032,0.0440186,0.0497585,-0.0830306000000001,0.15169,-0.000209499999999974,0.017902
"Ys0...6",-1.5,1,-0.75,1,-1.5,0.9725384,0.9290996,0.8612506,0.962887,0.8700158,0.9673598,0.9073815,0.8789836,0.8789177,0.9370355,0.841322,0.972558,0.9289533,0.8791879,0.9629397,0.8699458,0.0434388,0.067849,-0.1016364,0.0928712,0.0434388,0.0283979,-0.0581178,0.0928712,-0.0040675,0.0394511000000001,0.00413339999999995,1.0283979,0.9007017,0.3771538,0.3270378,1.0243304,0.9047692,0.2841243,0.200155,0.0599783,0.0283979,-0.0581178,0.0957135,-0.0235152,0.0394511000000001,0.0436047000000001,0.0497654,-0.0837517999999999,0.0929939,-8.9600000000023e-05,0.0180836000000001
"Ys0...7",-1.5,1,-0.75,1.5,-1.5,0.9725832,0.9293648,0.8615131,0.9632752,0.9061947,0.9674415,0.9075602,0.8790936,0.8792699,0.9375037,0.8696788,0.9725801,0.9293354,0.8792272,0.9634211,0.9063236,0.0432184,0.0678517,-0.1017621,0.0570805,0.0432184,0.0284666,-0.0582338,0.0570805,-0.00414320000000001,0.0393851,0.0039669,1.0284666,0.9008982,0.3764212,0.32615,1.0243234,0.9050414,0.2824475,0.1984422,0.0598812999999999,0.0284666,-0.0582338,0.0678249000000001,-0.0313742,0.0393851,0.0432446999999999,0.0501082,-0.0841939,0.0570975,0.000132000000000021,0.0177434999999999
"Ys0...8",-1.5,1,-0.2,-1.5,-1.5,0.9649341,0.8996674,0.8531931,0.8946728,0.4446907,0.9626498,0.8891309,0.8554415,0.8555693,0.8822116,0.4716465,0.9649168,0.8996044,0.8553682,0.8947033,0.4444824,0.0652667,0.0464743,-0.0414797,0.4499821,0.0652667,0.0336894,-0.0266423,0.4499821,-0.00205250000000001,0.0127849,0.0019247,1.0286948,0.865978,0.4666293,0.4224034,1.0266423,0.8680305,0.4853347,0.4462312,0.0735189000000001,0.0336894,-0.0266423,0.4105651,0.0292401,0.0127849,0.0653124,0.0442361999999999,-0.0393351,0.4502209,-0.000190999999999997,0.00223810000000002
"Ys0...9",-1.5,1,-0.2,-1,-1.5,0.9701555,0.9153013,0.8640305,0.9308813,0.5281873,0.9657294,0.8982434,0.8677773,0.8678627,0.9107467,0.5542392,0.9701238,0.9152479,0.8676884,0.9309133,0.528136,0.0548542,0.0512707999999999,-0.0668508,0.402694,0.0548542,0.0304661000000001,-0.042884,0.402694,-0.00316210000000006,0.0208046999999999,0.00307670000000004,1.0304661,0.8848352,0.4204346,0.3729106,1.027304,0.8879973,0.3797626,0.316744,0.0674859999999999,0.0304661000000001,-0.042884,0.3565075,0.030478,0.0208046999999999,0.0548759,0.0475595,-0.0632249,0.4027773,-1.96000000000085e-05,0.00371129999999997
"Ys0...10",-1.5,1,-0.2,-0.5,-1.5,0.9719446,0.923474,0.8698305,0.9497827,0.6273843,0.9668813,0.9031991,0.8742849,0.8743834,0.9257544,0.6431888,0.9719026,0.9233456,0.8741934,0.9498164,0.6273607,0.0484706,0.0536435000000001,-0.0799522,0.3223984,0.0484706,0.0289142,-0.0513709999999999,0.3223984,-0.00385190000000002,0.0247293000000001,0.00375340000000002,1.0289142,0.8945598,0.3958429,0.3466538,1.0250623,0.8984117,0.3243251,0.2489258,0.0636822,0.0289142,-0.0513709999999999,0.2825656,0.0208678,0.0247293000000001,0.048557,0.0491522,-0.075623,0.3224557,1.8400000000085e-05,0.00449130000000009
