"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"1","Ys0...1",-1.5,-1.25,-0.75,-1.5,0.9721496,0.9202483,0.9508673,0.9422759,0.9002553,0.976372,0.9277452,0.9447037,0.9446587,0.9513964,0.8254017,0.9721296,0.9201481,0.9446243,0.9422823,0.9002685,0.0519012999999999,-0.030619,0.00859139999999992,0.0420206000000001,0.0519012999999999,-0.0169585,-0.00673770000000007,0.0420206000000001,0.00166860000000002,-0.0136605,0.00162359999999995,0.9949309,0.9372068,0.2551022,0.2551022,0.9932623,0.9355382,0.2078898,0.2078898,0.0486268,-0.0169585,-0.00673770000000007,0.1259947,-0.079076,-0.0136605,0.0519815,-0.0244761999999999,0.00234199999999996,0.0420138,3.31999999999555e-05,-0.0061428
"2","Ys0...2",-1.5,-1.25,-0.75,-1,0.9724303,0.9212962,0.9575456,0.94468,0.9045233,0.9783165,0.9329472,0.947922,0.9478995,0.9588167,0.8585088,0.9724088,0.9211764,0.9478233,0.9447085,0.9045044,0.0511341,-0.0362494,0.0128656,0.0401566999999999,0.0511341,-0.0149748000000001,-0.0109172,0.0401566999999999,0.00250820000000007,-0.0212745999999999,0.00248570000000004,0.991591,0.936271,0.2382616,0.2382616,0.9890828,0.9337628,0.1865676,0.1865676,0.0453693000000001,-0.0149748000000001,-0.0109172,0.1003079,-0.0519007000000001,-0.0212745999999999,0.0512324,-0.0266469,0.00311480000000008,0.0402041,2.59999999996374e-06,-0.00960249999999996
"3","Ys0...3",-1.5,-1.25,-0.75,1,0.9725802,0.9244193,0.9647432,0.9519271,0.9175003,0.9794238,0.9391274,0.9526408,0.9525858,0.9696463,0.9409333,0.9725524,0.9242885,0.9525237,0.9519183,0.9174735,0.0481609,-0.0403239,0.0128161,0.0344268,0.0481609,-0.0135134,-0.0170604999999999,0.0344268,0.00306609999999996,-0.0268105,0.00301110000000004,0.9864866,0.9379327,0.2164636,0.2164636,0.9895527,0.9348666,0.1555358,0.1555358,0.0402964,-0.0135134,-0.0170604999999999,0.028713,0.0165894,-0.0268105,0.0482639,-0.0282352,0.000605399999999978,0.0344447999999999,1.00000000002876e-06,-0.0120887
"4","Ys0...4",-1.5,-1.25,-0.75,1.5,0.9725817,0.9249874,0.9649924,0.9532682,0.9199192,0.9794326,0.939455,0.9530798,0.9530242,0.9706677,0.9484195,0.9725532,0.9248544,0.9529673,0.9532523,0.9198703,0.0475943,-0.040005,0.0117242,0.033349,0.0475943,-0.0136248,-0.0176435,0.033349,0.00298750000000003,-0.0263802,0.00293189999999999,0.9863752,0.9386122,0.2149304,0.2149304,0.9893627,0.9356247,0.1523722,0.1521282,0.0399775999999999,-0.0136248,-0.0176435,0.0222482000000001,0.0216493999999999,-0.0263802,0.0476988,-0.0281129,-0.000285000000000091,0.033382,-2.04000000000315e-05,-0.0118921
"5","Ys0...5",-1.5,-1.25,-0.2,-1.5,0.9721632,0.9202881,0.9463588,0.9422759,0.9002553,0.9764016,0.9277868,0.9447037,0.9446316,0.9513964,0.8254017,0.9721296,0.9201481,0.9446243,0.9422823,0.9002685,0.0518751,-0.0260707,0.0040829,0.0420206000000001,0.0518751,-0.0169169,-0.00676480000000002,0.0420206000000001,0.00169390000000003,-0.00915379999999999,0.00162180000000001,0.9949291,0.937205,0.255019,0.255019,0.9932352,0.9355111,0.207944,0.207944,0.0486148,-0.0169169,-0.00676480000000002,0.1259947,-0.0790919999999999,-0.00915379999999999,0.0519815,-0.0244761999999999,0.00234199999999996,0.0420138,4.68000000000135e-05,-0.00159450000000005
"6","Ys0...6",-1.5,-1.25,-0.2,-1,0.9724483,0.9213393,0.9504846,0.94468,0.9045233,0.9783177,0.9330202,0.947922,0.94788,0.9588167,0.8585088,0.9724088,0.9211764,0.9478233,0.9447085,0.9045044,0.0511090000000001,-0.0291453,0.00580460000000005,0.0401566999999999,0.0511090000000001,-0.0149018000000001,-0.0109367,0.0401566999999999,0.00249780000000011,-0.0142435,0.00245580000000001,0.9915611,0.9362411,0.2381156,0.2381156,0.9890633,0.9337433,0.1866066,0.1866066,0.0452975,-0.0149018000000001,-0.0109367,0.1003079,-0.0518839,-0.0142435,0.0512324,-0.0266469,0.00311480000000008,0.0402041,2.06000000000373e-05,-0.00249840000000001
"7","Ys0...7",-1.5,-1.25,-0.2,1,0.9725894,0.9244452,0.9558349,0.9519271,0.9175003,0.9794193,0.9391691,0.9526408,0.9525749,0.9696463,0.9409333,0.9725524,0.9242885,0.9525237,0.9519183,0.9174735,0.0481442000000001,-0.0313897000000001,0.00390780000000002,0.0344268,0.0481442000000001,-0.0134717,-0.0170714,0.0344268,0.00306119999999988,-0.0179180000000001,0.00299529999999992,0.9865283,0.9379169,0.2163802,0.2163802,0.9895895,0.9348557,0.1555576,0.1555576,0.0402502,-0.0134717,-0.0170714,0.028713,0.0166031,-0.0179180000000001,0.0482639,-0.0282352,0.000605399999999978,0.0344447999999999,1.02000000000713e-05,-0.00315450000000006
"8","Ys0...8",-1.5,-1.25,-0.2,1.5,0.9725908,0.9250013,0.9562264,0.9532682,0.9199192,0.9794276,0.9395004,0.9530798,0.9530252,0.9706677,0.9484195,0.9725532,0.9248544,0.9529673,0.9532523,0.9198703,0.0475895,-0.0312251,0.00295820000000002,0.033349,0.0475895,-0.0135794,-0.0176425,0.033349,0.00295500000000004,-0.0176457,0.00290040000000003,0.9864206,0.9385807,0.2148396,0.2148396,0.9893756,0.9356257,0.1523712,0.1521282,0.0399271999999999,-0.0135794,-0.0176425,0.0222482000000001,0.0216634999999999,-0.0176457,0.0476988,-0.0281129,-0.000285000000000091,0.033382,-1.13000000000474e-05,-0.00311220000000001
"9","Ys0...9",-1.5,-1.25,0.2,-1.5,0.9721501,0.9202397,0.9430972,0.9422759,0.9002553,0.9763775,0.9277728,0.9447037,0.9446194,0.9513964,0.8254017,0.9721296,0.9201481,0.9446243,0.9422823,0.9002685,0.0519104,-0.0228575,0.000821299999999914,0.0420206000000001,0.0519104,-0.0169309000000001,-0.00677700000000003,0.0420206000000001,0.00167170000000005,-0.00592659999999989,0.00158740000000002,0.9948947,0.9371706,0.255047,0.255047,0.993223,0.9354989,0.2079684,0.2079684,0.0486047000000001,-0.0169309000000001,-0.00677700000000003,0.1259947,-0.079081,-0.00592659999999989,0.0519815,-0.0244761999999999,0.00234199999999996,0.0420138,3.37000000000254e-05,0.00161869999999997
"10","Ys0...10",-1.5,-1.25,0.2,-1,0.9724334,0.9212817,0.9453859,0.94468,0.9045233,0.978304,0.932992,0.947922,0.9478558,0.9588167,0.8585088,0.9724088,0.9211764,0.9478233,0.9447085,0.9045044,0.0511517,-0.0241042,0.000705900000000037,0.0401566999999999,0.0511517,-0.01493,-0.0109608999999999,0.0401566999999999,0.00249259999999996,-0.00917420000000002,0.00242639999999994,0.9915317,0.9362117,0.238172,0.238172,0.9890391,0.9337191,0.186655,0.186655,0.0453119999999999,-0.01493,-0.0109608999999999,0.1003079,-0.0518851,-0.00917420000000002,0.0512324,-0.0266469,0.00311480000000008,0.0402041,5.69999999999737e-06,0.00254270000000001
"11","Ys0...11",-1.5,-1.25,0.2,1,0.9725775,0.9243902,0.9493871,0.9519271,0.9175003,0.9794087,0.9391537,0.9526408,0.9525451,0.9696463,0.9409333,0.9725524,0.9242885,0.9525237,0.9519183,0.9174735,0.0481872999999999,-0.0249969,-0.00253999999999999,0.0344268,0.0481872999999999,-0.0134871,-0.0171011999999999,0.0344268,0.00305139999999993,-0.0115098,0.00295570000000001,0.9865129,0.9378773,0.216411,0.216411,0.9895643,0.9348259,0.1556172,0.1556172,0.040255,-0.0134871,-0.0171011999999999,0.028713,0.0166017999999999,-0.0115098,0.0482639,-0.0282352,0.000605399999999978,0.0344447999999999,-1.69999999999337e-06,0.00323830000000003
"12","Ys0...12",-1.5,-1.25,0.2,1.5,0.9725787,0.9249511,0.9498812,0.9532682,0.9199192,0.9794179,0.9394867,0.9530798,0.9530041,0.9706677,0.9484195,0.9725532,0.9248544,0.9529673,0.9532523,0.9198703,0.0476276,-0.0249301,-0.00338700000000003,0.033349,0.0476276,-0.0135931,-0.0176636,0.033349,0.00293960000000004,-0.0113369999999999,0.00286390000000003,0.9864069,0.9385442,0.214867,0.214867,0.9893465,0.9356046,0.1523923,0.1521282,0.0399311999999999,-0.0135931,-0.0176636,0.0222482000000001,0.0216611,-0.0113369999999999,0.0476988,-0.0281129,-0.000285000000000091,0.033382,-2.34000000000067e-05,0.00318280000000004
