"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,3.30590865720875,-0.196778389285544,0.1969434,0.283170975,3.30590865720875,0.0714799607144552,-0.10020555,0.283170975,0.0288906000000004,3.20749705720875,0.0714799607144552,-0.10020555,0.987919575,-0.577460537332724,3.30548598985266,-0.0760152759186812,0.0760833750000001,0.283043775,0.000646778989229713
"Ys0...2",-1.5,-1.5,-0.75,-1,3.57471105720875,-0.393721789285545,0.3938868,0.283170975,3.57471105720875,0.142794910714455,-0.2004111,0.283170975,0.0577812,3.37788785720875,0.142794910714455,-0.2004111,0.987919575,-0.450219387332723,3.57413638985266,-0.152098650918681,0.15216675,0.283043775,0.000798778989229643
"Ys0...3",-1.5,-1.5,-0.75,1,4.64992065720875,-1.18149538928555,1.1816604,0.283170975,4.64992065720875,0.428054710714456,-0.6012333,0.283170975,0.1733436,4.05945105720875,0.428054710714456,-0.6012333,0.987919575,0.0587452126672763,4.64873798985266,-0.456432150918681,0.45650025,0.283043775,0.00140677898922936
"Ys0...4",-1.5,-1.5,-0.75,1.5,4.91872305720875,-1.37843878928554,1.3786038,0.283170975,4.91872305720875,0.499369660714456,-0.70143885,0.283170975,0.2022342,4.22984185720875,0.499369660714456,-0.70143885,0.987919575,0.185986362667276,4.91738838985266,-0.532515525918681,0.532583625,0.283043775,0.00155877898922929
"Ys0...5",-1.5,-1.5,-0.2,-1.5,3.30687047860591,-0.108480021381282,0.10849065,0.283170975,3.30687047860591,0.0712445036187184,-0.10000545,0.283170975,0.0287715749999999,3.20822662860591,0.0712445036187184,-0.10000545,0.987919575,-0.577147212332723,3.30548598985266,-0.0760152759186812,0.0760833750000001,0.283043775,0.00145421829065073
"Ys0...6",-1.5,-1.5,-0.2,-1,3.57595917860591,-0.216970671381282,0.2169813,0.283170975,3.57595917860591,0.142478378618718,-0.2000109,0.283170975,0.0575431499999999,3.37867147860591,0.142478378618718,-0.2000109,0.987919575,-0.449592737332723,3.57413638985266,-0.152098650918681,0.15216675,0.283043775,0.00189251829065062
"Ys0...7",-1.5,-1.5,-0.2,1,4.65231397860591,-0.650933271381282,0.6509439,0.283170975,4.65231397860591,0.427413878618719,-0.6000327,0.283170975,0.17262945,4.06045087860591,0.427413878618719,-0.6000327,0.987919575,0.0606251626672765,4.64873798985266,-0.456432150918681,0.45650025,0.283043775,0.00364571829065108
"Ys0...8",-1.5,-1.5,-0.2,1.5,4.92140267860591,-0.759423921381282,0.75943455,0.283170975,4.92140267860591,0.498647753618718,-0.70003815,0.283170975,0.201401025,4.23089572860591,0.498647753618718,-0.70003815,0.987919575,0.188179637667276,4.91738838985266,-0.532515525918681,0.532583625,0.283043775,0.00408401829065097
"Ys0...9",-1.5,-1.5,0.2,-1.5,3.30699595624101,-0.044356112833936,0.044013375,0.283170975,3.30699595624101,0.0709188121660635,-0.1000791,0.283170975,0.0288175500000003,3.20837035624101,0.0709188121660635,-0.1000791,0.987919575,-0.577193137332724,3.30548598985266,-0.0760152759186812,0.0760833750000001,0.283043775,0.00122632947309897
"Ys0...10",-1.5,-1.5,0.2,-1,3.57604795624101,-0.0883694878339361,0.08802675,0.283170975,3.57604795624101,0.142180362166064,-0.2001582,0.283170975,0.0576351000000002,3.37879675624101,0.142180362166064,-0.2001582,0.987919575,-0.449684587332724,3.57413638985266,-0.152098650918681,0.15216675,0.283043775,0.00162792947309898
"Ys0...11",-1.5,-1.5,0.2,1,4.65225595624101,-0.264422987833936,0.26408025,0.283170975,4.65225595624101,0.427226562166064,-0.600474600000001,0.283170975,0.1729053,4.06050235624101,0.427226562166064,-0.600474600000001,0.987919575,0.060349612667276,4.64873798985266,-0.456432150918681,0.45650025,0.283043775,0.00323432947309898
"Ys0...12",-1.5,-1.5,0.2,1.5,4.92130795624101,-0.308436362833936,0.308093625,0.283170975,4.92130795624101,0.498488112166064,-0.7005537,0.283170975,0.201722850000001,4.23092875624101,0.498488112166064,-0.7005537,0.987919575,0.187858162667277,4.91738838985266,-0.532515525918681,0.532583625,0.283043775,0.00363592947309899
"Ys0...13",-1.5,-1.5,0.75,-1.5,NA,NA,NA,0.283170975,NA,NA,NA,0.283170975,NA,NA,NA,NA,0.9880599,NA,3.30648256681611,-0.076637827011544,0.0761395500000002,0.2831802,NA
"Ys0...14",-1.5,-1.5,0.75,-1,NA,NA,NA,0.283170975,NA,NA,NA,0.283170975,NA,NA,NA,NA,0.9880599,NA,3.57520606681611,-0.152777377011544,0.1522791,0.2831802,NA
"Ys0...15",-1.5,-1.5,0.75,1,NA,NA,NA,0.283170975,NA,NA,NA,0.283170975,NA,NA,NA,NA,0.9880599,NA,4.65010006681611,-0.457335577011544,0.4568373,0.2831802,NA
"Ys0...16",-1.5,-1.5,0.75,1.5,NA,NA,NA,0.283170975,NA,NA,NA,0.283170975,NA,NA,NA,NA,0.9880599,NA,4.91882356681611,-0.533475127011544,0.53297685,0.2831802,NA
"Ys0...17",-1.5,-1,-0.75,-1.5,3.30590865720875,-0.308003742857029,0.0428865250000001,1.06121935,3.30590865720875,-0.129164842857029,-0.155212775,1.06121935,0.0192603999999998,3.20749705720875,-0.129164842857029,-0.155212775,1.53105175,-0.352047024888482,3.30548598985266,-0.227655800612454,-0.0377672250000001,1.06130415,0.000643675111518416
"Ys0...18",-1.5,-1,-0.75,-1,3.57471105720875,-0.43929934285703,0.0857730500000002,1.06121935,3.57471105720875,-0.0816215428570297,-0.31042555,1.06121935,0.0385208000000001,3.37788785720875,-0.0816215428570297,-0.31042555,1.53105175,-0.234377724888482,3.57413638985266,-0.278378050612454,-0.0755344500000001,1.06130415,0.000876075111517327
"Ys0...19",-1.5,-1,-0.75,1,4.64992065720875,-0.96448174285703,0.257319150000001,1.06121935,4.64992065720875,0.108551657142971,-0.93127665,1.06121935,0.1155624,4.05945105720875,0.108551657142971,-0.93127665,1.53105175,0.236299475111517,4.64873798985266,-0.481267050612454,-0.22660335,1.06130415,0.00180567511151697
"Ys0...20",-1.5,-1,-0.75,1.5,4.91872305720875,-1.09577734285703,0.300205675,1.06121935,4.91872305720875,0.156094957142971,-1.086489425,1.06121935,0.134822799999999,4.22984185720875,0.156094957142971,-1.086489425,1.53105175,0.353968775111517,4.91738838985266,-0.531989300612453,-0.264370575,1.06130415,0.00203807511151677
"Ys0...21",-1.5,-1,-0.2,-1.5,3.30687047860591,-0.248995014254187,-0.0160103999999999,1.06121935,3.30687047860591,-0.129178664254188,-0.1550078,1.06121935,0.0191810500000003,3.20822662860591,-0.129178664254188,-0.1550078,1.53105175,-0.351689149888483,3.30548598985266,-0.227655800612454,-0.0377672250000001,1.06130415,0.00171730011151761
"Ys0...22",-1.5,-1,-0.2,-1,3.57595917860591,-0.321322114254188,-0.0320207999999997,1.06121935,3.57595917860591,-0.0816894142541873,-0.3100156,1.06121935,0.0383620999999996,3.37867147860591,-0.0816894142541873,-0.3100156,1.53105175,-0.233661974888482,3.57413638985266,-0.278378050612454,-0.0755344500000001,1.06130415,0.00230757511151714
"Ys0...23",-1.5,-1,-0.2,1,4.65231397860591,-0.610630514254187,-0.0960624000000001,1.06121935,4.65231397860591,0.108267585745812,-0.9300468,1.06121935,0.1150863,4.06045087860591,0.108267585745812,-0.9300468,1.53105175,0.238446725111517,4.64873798985266,-0.481267050612454,-0.22660335,1.06130415,0.00466867511151658
