[1] "Simulation results for Z binary"
[1] "Original settings"
[1] "alpha =  0.5,0.5"
[1] "beta =  0.5,0.5,1.5,2"
[1] "gamma =  1.5,1.5,1.5,1.5,1,1,1,1"
[1] "rho =  0.75"
[1] "eps =  c(NaN, NaN),c(0, 1),c(0, 1)"
[1] "Simulation results"
           type value      AZY_ne      AZY_re   AZY_ne_re     AZMY_ne    AZMY_re    AZMY_ne_re AZY_ne_pos AZY_re_pos AZMY_ne_pos AZMY_re_pos
Ys2...1  gamma6 -1.50  0.60352926  0.41708811  0.18644115 -0.60359303 -0.2156800 -3.879131e-01  0.1180480  0.1002411   0.0010377   0.0149467
Ys2...2  gamma6 -1.00  0.34797339  0.22367929  0.12429410 -0.59272342 -0.3341147 -2.586087e-01  0.1191051  0.0945770   0.0062112   0.0062112
Ys2...3  gamma6 -0.50  0.09241752  0.03027047  0.06214705 -0.58185382 -0.4525495 -1.293043e-01  0.1133181  0.0810127   0.0062112   0.0062112
Ys2...4  gamma6  0.00 -0.16313835 -0.16313835  0.00000000 -0.57098423 -0.5709842  8.881784e-16  0.0062112  0.0062112   0.0062112   0.0062112
Ys2...5  gamma6  0.50 -0.41869422 -0.35654717 -0.06214705 -0.56011463 -0.6894190  1.293043e-01  0.0062108  0.0062121   0.0062112   0.0062112
Ys2...6  gamma6  1.00 -0.67425009 -0.54995599 -0.12429410 -0.54924502 -0.8078537  2.586087e-01  0.0061715  0.0063989   0.0062112   0.0062112
Ys2...7  gamma6  1.50 -0.92980596 -0.74336481 -0.18644115 -0.53837542 -0.9262885  3.879130e-01  0.0060623  0.0068882   0.0062112   0.0062112
Ys2...8     rho -0.50          NA          NA          NA          NA         NA            NA         NA         NA          NA          NA
Ys2...9     rho -0.25 -1.42467621 -0.54847186 -0.87620435  0.20418388 -0.8063172  1.010501e+00  0.2197332  0.2212951   0.2211196   0.2211196
Ys2...10    rho  0.00 -1.23579821 -0.54755121 -0.68824700  0.01757875 -0.8049948  8.225735e-01  0.1664282  0.1676621   0.1674887   0.1674887
Ys2...11    rho  0.25 -1.04857024 -0.54847659 -0.50009365 -0.17138380 -0.8059247  6.345409e-01  0.1129856  0.1138777   0.1137013   0.1137013
Ys2...12    rho  0.50 -0.86155132 -0.54898837 -0.31256295 -0.36003327 -0.8067911  4.467579e-01  0.0596562  0.0602199   0.0600329   0.0600329
Ys2...13    rho  0.75 -0.67425009 -0.54995599 -0.12429410 -0.54924502 -0.8078537  2.586087e-01  0.0061715  0.0063989   0.0062112   0.0062112
Ys2...14  beta3 -1.00 -0.32933979 -0.31158349 -0.01775630 -0.07846357 -0.1154077  3.694410e-02  0.0063213  0.0065028   0.0062112   0.0062112
Ys2...15  beta3 -0.50 -0.38682484 -0.35131224 -0.03551260 -0.15692715 -0.2308154  7.388820e-02  0.0061986  0.0064180   0.0062112   0.0062112
Ys2...16  beta3  0.00 -0.44430989 -0.39104099 -0.05326890 -0.23539073 -0.3462230  1.108323e-01  0.0061746  0.0064007   0.0062112   0.0062112
Ys2...17  beta3  0.50 -0.50179494 -0.43076974 -0.07102520 -0.31385430 -0.4616307  1.477764e-01  0.0061716  0.0063989   0.0062112   0.0062112
Ys2...18  beta3  1.00 -0.55927999 -0.47049849 -0.08878150 -0.39231787 -0.5770384  1.847205e-01  0.0061715  0.0063989   0.0062112   0.0062112
