"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-1.00028431861788,1.87521942115553,2.43687099918751,1.12450166334748,-0.750556452177888,0.56259133173061,0.000778448068467608
"Ys1...2",-1.5,-1.5,-0.75,-1,-1.50037087968827,1.87521942115553,4.87465649308747,2.24991782140741,-1.50111290435578,1.12518266346122,0.00155689613693566
"Ys1...3",-1.5,-1.5,-0.75,1,-3.50071712396985,1.87521942115553,14.6257984686873,6.75158245364714,-4.50333871306733,3.37554799038366,0.00467068841080326
"Ys1...4",-1.5,-1.5,-0.75,1.5,-4.00080368504025,1.87521942115553,17.0635839625873,7.87699861170707,-5.25389516524522,3.93813932211427,0.00544913647927314
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-1.00057587923582,1.87425932286013,2.02429564384303,1.12463225148005,-0.338048077135245,0.562635560877725,0.00102024564998926
"Ys1...6",-1.5,-1.5,-0.2,-1,-1.50048729042515,1.87425932286013,4.04931494762892,2.24998816290296,-0.67609615427049,1.12527112175545,0.00204049129997808
"Ys1...7",-1.5,-1.5,-0.2,1,-3.50013293518249,1.87425932286013,12.1493921627725,6.7514118085946,-2.02828846281147,3.37581336526635,0.00612147389993428
"Ys1...8",-1.5,-1.5,-0.2,1.5,-4.00004434637182,1.87425932286013,14.1744114665584,7.87676772001751,-2.36633653994672,3.93844892614408,0.00714171954992304
"Ys1...9",-1.5,-1.5,0.2,-1.5,-0.998825970597488,1.87610795981172,1.72537640811998,1.12571639741718,-0.0375283543536145,0.563237270279377,0.00110561393018838
"Ys1...10",-1.5,-1.5,0.2,-1,-1.49885199971144,1.87610795981172,3.45084669204113,2.25152667063552,-0.0750567087072298,1.12647454055875,0.0022112278603772
"Ys1...11",-1.5,-1.5,0.2,1,-3.49895611616727,1.87610795981172,10.3527278277257,6.7547677635089,-0.225170126121689,3.37942362167626,0.00663368358112909
"Ys1...12",-1.5,-1.5,0.2,1.5,-3.99898214528123,1.87610795981172,12.0781981116469,7.88057803672724,-0.262698480475304,3.94266089195564,0.00773929751131686
