"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.7523269,0.7489328,0.9212606,0.9110072,0.9324566,0.8224091,0.7788483,0.9084626,0.9084187,0.9256997,0.8899744,0.752222,0.7488747,0.9083642,0.9109607,0.932462,0.00339410000000007,-0.1723278,0.0102534,-0.0214494,0.00339410000000007,-0.1296143,-0.017281,-0.0214494,-0.0151791000000001,-0.0427135000000001,0.0152230000000001,0.9675399,0.8785471,0.6253782,0.6253782,0.982719,0.8937262,0.3291747,0.3265862,0.0435608,-0.1296143,-0.017281,0.0357253,-0.1125644,-0.0427135000000001,0.00334729999999994,-0.1594895,-0.0025965,-0.0215013000000001,0.000110300000000119,-0.0128383000000001
"Ys0...2",-1.5,-1.5,-0.75,-1,0.6905294,0.6701175,0.9194528,0.9002929,0.9275268,0.7738644,0.726259,0.8950729,0.8951666,0.927047,0.8950499,0.6907447,0.6701744,0.8951525,0.9000292,0.9275389,0.0204118999999999,-0.2493353,0.0191599,-0.0272339,0.0204118999999999,-0.1688139,-0.0318803999999999,-0.0272339,-0.0294811,-0.0805214,0.0293874,0.9386385,0.8389314,0.7573362,0.7573362,0.9681196,0.8684125,0.3504465,0.3453202,0.0476054,-0.1688139,-0.0318803999999999,0.0319971,-0.1158119,-0.0805214,0.0205703,-0.2249781,-0.00487669999999996,-0.0275097000000001,-0.000203199999999959,-0.0243571999999999
"Ys0...3",-1.5,-1.5,-0.75,1,0.5910603,0.5476495,0.9092563,0.8735576,0.8867582,0.6833388,0.6280428,0.8701097,0.8702718,0.9253608,0.9176295,0.5909635,0.5474145,0.8700967,0.8733598,0.8868651,0.0434108,-0.3616068,0.0356987,-0.0132006,0.0434108,-0.2420669,-0.0550889999999999,-0.0132006,-0.0287522000000001,-0.1195399,0.0285901000000001,0.9161588,0.7897164,1.003695,1.003695,0.944911,0.8184686,0.405449,0.4021632,0.055296,-0.2420669,-0.0550889999999999,0.0077313,-0.0614072000000001,-0.1195399,0.0435489999999999,-0.3226822,-0.00326310000000007,-0.0135052999999999,0.000203699999999918,-0.0389246000000001
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.5846508,0.5388493,0.9074284,0.870222,0.8787074,0.6747412,0.618694,0.8677785,0.8678658,0.9247625,0.919107,0.5846102,0.5386481,0.8677091,0.8700578,0.8787304,0.0458015000000001,-0.3685791,0.0372064,-0.00848539999999998,0.0458015000000001,-0.2490845,-0.0568967,-0.00848539999999998,-0.0253915,-0.1194946,0.0253042,0.9177118,0.7879338,1.027055,1.027055,0.9431033,0.8133253,0.4123872,0.410031,0.0560472000000001,-0.2490845,-0.0568967,0.00565550000000004,-0.0496908,-0.1194946,0.0459621,-0.329061,-0.00234869999999998,-0.00867260000000003,6.36000000000525e-05,-0.0395181
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.7523914,0.7488672,0.9118067,0.9110904,0.9325223,0.8223044,0.7788774,0.9085122,0.9084188,0.9257066,0.8899823,0.752222,0.7488747,0.9083642,0.9109607,0.932462,0.00352420000000009,-0.1629395,0.000716300000000003,-0.0214319000000001,0.00352420000000009,-0.1296348,-0.0172878000000001,-0.0214319000000001,-0.0153006,-0.0333047000000001,0.015394,0.9674116,0.878502,0.6252208,0.6252208,0.9827122,0.8938026,0.3290776,0.326406,0.043427,-0.1296348,-0.0172878000000001,0.0357243,-0.112453,-0.0333047000000001,0.00334729999999994,-0.1594895,-0.0025965,-0.0215013000000001,0.000109100000000084,-0.00345000000000006
"Ys0...6",-1.5,-1.5,-0.2,-1,0.6907137,0.6701267,0.9016051,0.9002983,0.9275489,0.7738997,0.7262839,0.8950642,0.895206,0.9271138,0.8950562,0.6907447,0.6701744,0.8951525,0.9000292,0.9275389,0.020587,-0.2314784,0.00130680000000005,-0.0272506,0.020587,-0.1687803,-0.0319078,-0.0272506,-0.0294835,-0.0626981000000001,0.0293417,0.9386087,0.838907,0.7573038,0.7573038,0.9680922,0.8683905,0.3502681,0.3451758,0.0476158,-0.1687803,-0.0319078,0.0320576,-0.1156787,-0.0626981000000001,0.0205703,-0.2249781,-0.00487669999999996,-0.0275097000000001,-4.09999999999577e-05,-0.00650030000000001
"Ys0...7",-1.5,-1.5,-0.2,1,0.591257,0.5476251,0.879684,0.8736143,0.886871,0.6833818,0.6280961,0.8702052,0.8702729,0.9253946,0.9176278,0.5909635,0.5474145,0.8700967,0.8733598,0.8868651,0.0436319000000001,-0.3320589,0.00606970000000007,-0.0132567,0.0436319000000001,-0.2421091,-0.0551216999999999,-0.0132567,-0.0287584000000001,-0.0899498000000001,0.0286907000000001,0.9161199,0.7897342,1.0033974,1.0033974,0.9448783,0.8184926,0.4053236,0.401982200000001,0.0552857,-0.2421091,-0.0551216999999999,0.00776679999999996,-0.061368,-0.0899498000000001,0.0435489999999999,-0.3226822,-0.00326310000000007,-0.0135052999999999,0.000287600000000054,-0.00937670000000013
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.584888,0.5387958,0.877281,0.8703872,0.8787993,0.6747815,0.6187347,0.8678672,0.8678667,0.9247604,0.9190605,0.5846102,0.5386481,0.8677091,0.8700578,0.8787304,0.0460921999999999,-0.3384852,0.00689379999999995,-0.00841209999999992,0.0460921999999999,-0.2491325,-0.0568937,-0.00841209999999992,-0.0255652,-0.0893527,0.0255656999999999,0.9175411,0.7879283,1.0267962,1.0267962,0.9431063,0.8134935,0.4122253,0.4097048,0.0560468000000001,-0.2491325,-0.0568937,0.00569990000000009,-0.0496323000000001,-0.0893527,0.0459621,-0.329061,-0.00234869999999998,-0.00867260000000003,0.000208900000000067,-0.00942419999999988
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.7521216,0.7487574,0.9048395,0.911143,0.9324631,0.8224461,0.7790814,0.9084404,0.9084073,0.9257252,0.8899781,0.752222,0.7488747,0.9083642,0.9109607,0.932462,0.00336419999999993,-0.1560821,-0.00630350000000002,-0.0213201,0.00336419999999993,-0.129359,-0.0173179,-0.0213201,-0.0157087,-0.0267231,0.0157418,0.9669734,0.8781164,0.6249564,0.6249564,0.9826821,0.8938251,0.3289993,0.3262636,0.0433646999999999,-0.129359,-0.0173179,0.0357471,-0.1128095,-0.0267231,0.00334729999999994,-0.1594895,-0.0025965,-0.0215013000000001,-0.000101499999999977,0.00340739999999995
"Ys0...10",-1.5,-1.5,0.2,-1,0.6905139,0.6699216,0.888523,0.9002679,0.927532,0.7738008,0.7263137,0.8950786,0.895176,0.9271245,0.8950337,0.6907447,0.6701744,0.8951525,0.9000292,0.9275389,0.0205923,-0.2186014,-0.0117449000000001,-0.0272641,0.0205923,-0.1687649,-0.0319485,-0.0272641,-0.0296329,-0.0498365,0.0295354999999999,0.9384186,0.8386865,0.7572154,0.7572154,0.9680515,0.8683194,0.3503071,0.3452152,0.0474871,-0.1687649,-0.0319485,0.0320908,-0.1157852,-0.0498365,0.0205703,-0.2249781,-0.00487669999999996,-0.0275097000000001,-0.000223899999999944,0.00637670000000012
