"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,1,-0.75,-1.5,-1.5,0.9684534,0.9523299,0.7982704,0.8809744,0.7088247,0.9827882,0.9427355,0.8170612,0.817077,0.8626057,0.7684755,0.9684936,0.9522564,0.8169421,0.8808716,0.7089586,0.0161235000000001,0.1540595,-0.082704,0.1721497,0.0161235000000001,0.1256743,-0.0455287,0.1721497,-0.00879010000000002,0.0283852,0.00877430000000001,1.0543188,0.8266556,0.3451379,0.2098692,1.0455287,0.8354457,0.5767372,0.5128398,0.0400527000000001,0.1256743,-0.0455287,0.0941302000000001,0.045316,0.0283852,0.0162372,0.1353143,-0.0639295,0.171913,9.37000000000854e-05,0.0187451999999999
"Ys0...2",-1.5,1,-0.75,-1,-1.5,0.9756729,0.9536288,0.7470277,0.897459,0.7353245,0.9798321,0.935325,0.7816977,0.7817662,0.8664539,0.7818102,0.9756802,0.9535632,0.7817008,0.897369,0.7354317,0.0220440999999999,0.2066011,-0.1504313,0.1621345,0.0220440999999999,0.1536273,-0.0846877,0.1621345,-0.0127697999999998,0.0529738000000002,0.0127012999999999,1.0974575,0.8000015,0.3940235,0.2220924,1.0846877,0.8127713,0.587867,0.4721742,0.0445071,0.1536273,-0.0846877,0.0846437,0.0423264999999999,0.0529738000000002,0.0221169999999999,0.1718624,-0.1156682,0.1619373,9.98999999999306e-05,0.0347387
"Ys0...3",-1.5,1,-0.75,-0.5,-1.5,0.9787969,0.9541103,0.7121245,0.9065084,0.7737116,0.9776383,0.9297243,0.7551089,0.7552332,0.8666482,0.7996534,0.9787943,0.9540213,0.7551622,0.9064034,0.7739034,0.0246866,0.2419858,-0.1943839,0.1327968,0.0246866,0.1746154,-0.111415,0.1327968,-0.0155985000000001,0.0673703999999999,0.0154742,1.1270135,0.7794949,0.4313322,0.2323308,1.111415,0.7950934,0.604962,0.4536868,0.047914,0.1746154,-0.111415,0.0669948,0.0271003999999999,0.0673703999999999,0.024773,0.1988591,-0.1512412,0.1325,0.000194399999999928,0.0431267
"Ys0...4",-1.5,1,-0.75,0,-1.5,0.9797682,0.954134,0.6906854,0.9116007,0.8189978,0.9761329,0.9258757,0.7368569,0.7370214,0.8654254,0.8189412,0.9797665,0.9540221,0.7368534,0.9114777,0.8192825,0.0256341999999999,0.2634486,-0.2209153,0.0926029,0.0256341999999999,0.1890188,-0.128404,0.0926029,-0.0180815,0.0744298000000001,0.017917,1.1464855,0.7651152,0.4572577,0.2399806,1.128404,0.7831967,0.6205271,0.4459478,0.0502572,0.1890188,-0.128404,0.0464842,0.00357870000000005,0.0744298000000001,0.0257444,0.2171687,-0.1746243,0.0921951999999999,0.00028640000000002,0.0462799
"Ys0...5",-1.5,1,-0.75,0.5,-1.5,0.9799278,0.9539072,0.6773871,0.9144885,0.8563008,0.9750815,0.9232616,0.7243486,0.7245925,0.8636319,0.8334887,0.9799203,0.9537547,0.7243391,0.9143912,0.8565191,0.0260206000000001,0.2765201,-0.2371014,0.0581877000000001,0.0260206000000001,0.198913,-0.1390394,0.0581877000000001,-0.0204549000000001,0.0776070999999999,0.0202110000000001,1.1594943,0.7549942,0.475221,0.2456624,1.1390394,0.7754491,0.6336552,0.4437592,0.0518199,0.198913,-0.1390394,0.0301432,-0.0179658,0.0776070999999999,0.0261656,0.2294156,-0.1900521,0.0578721,0.000225800000000054,0.0471045
"Ys0...6",-1.5,1,-0.75,1,-1.5,0.9797722,0.9535755,0.6688924,0.9162659,0.879852,0.9743538,0.9214153,0.715719,0.7158168,0.8618565,0.8414998,0.9797918,0.953442,0.7156025,0.9161281,0.8800414,0.0261967,0.2846831,-0.2473735,0.0364139,0.0261967,0.2056963,-0.1460397,0.0364139,-0.022347,0.0789867999999999,0.0222492,1.1683867,0.7478792,0.4878749,0.2500184,1.1460397,0.7702262,0.6442043,0.4437552,0.0529385,0.2056963,-0.1460397,0.0203567,-0.0329338,0.0789867999999999,0.0263498,0.2378395,-0.2005256,0.0360867,0.000169799999999998,0.0468436
"Ys0...7",-1.5,1,-0.75,1.5,-1.5,0.9795615,0.9531896,0.663188,0.9173421,0.8935489,0.9738377,0.9201074,0.7094663,0.7095443,0.8602486,0.8453295,0.9795546,0.9530524,0.7093757,0.917212,0.893706,0.0263719,0.2900016,-0.2541541,0.0237932000000001,0.0263719,0.2106411,-0.1507043,0.0237932000000001,-0.0240893000000001,0.0793604999999999,0.0240113000000001,1.1747936,0.7425485,0.4971293,0.253406,1.1507043,0.7666378,0.6526164,0.4448186,0.0537303,0.2106411,-0.1507043,0.0149191000000001,-0.0424956000000001,0.0793604999999999,0.0265022,0.2436767,-0.2078363,0.023506,0.000163999999999942,0.0463249
"Ys0...8",-1.5,1,-0.2,-1.5,-1.5,0.9684838,0.9523013,0.8120525,0.8809134,0.7087715,0.9827804,0.9427688,0.8171092,0.8170695,0.8625992,0.7685221,0.9684936,0.9522564,0.8169421,0.8808716,0.7089586,0.0161825,0.1402488,-0.0688609,0.1721419,0.0161825,0.1256596,-0.0455297,0.1721419,-0.00874199999999992,0.0145892000000001,0.00878169999999989,1.0542717,0.8266417,0.3450519,0.2098598,1.0455297,0.8353837,0.5768187,0.5129748,0.0400116,0.1256596,-0.0455297,0.0940771,0.045454,0.0145892000000001,0.0162372,0.1353143,-0.0639295,0.171913,0.000177300000000047,0.00493450000000006
"Ys0...9",-1.5,1,-0.2,-1,-1.5,0.9756728,0.9536161,0.772539,0.8974284,0.7352581,0.9798279,0.9353195,0.7817413,0.7818683,0.8664327,0.7817746,0.9756802,0.9535632,0.7817008,0.897369,0.7354317,0.0220567,0.1810771,-0.1248894,0.1621703,0.0220567,0.1535782,-0.0845644,0.1621703,-0.0128261000000001,0.0274989,0.0126991000000001,1.0973905,0.8000379,0.3940036,0.2221288,1.0845644,0.812864,0.5878379,0.4722778,0.0445084,0.1535782,-0.0845644,0.0846581,0.0423614,0.0274989,0.0221169999999999,0.1718624,-0.1156682,0.1619373,0.000166200000000005,0.00921469999999991
"Ys0...10",-1.5,1,-0.2,-0.5,-1.5,0.9787929,0.954101,0.7437048,0.9064678,0.773799,0.9776405,0.9296971,0.7551207,0.7553586,0.8666622,0.7996813,0.9787943,0.9540213,0.7551622,0.9064034,0.7739034,0.0246919,0.2103962,-0.162763,0.1326688,0.0246919,0.1745764,-0.1113036,0.1326688,-0.0156396000000001,0.0358197999999998,0.0154017000000001,1.1269432,0.7795246,0.4313841,0.2324038,1.1113036,0.7951642,0.6048492,0.45374,0.0479434,0.1745764,-0.1113036,0.0669809,0.0270347,0.0358197999999998,0.024773,0.1988591,-0.1512412,0.1325,0.000102999999999964,0.0115371
"Ys0...11",-1.5,1,-0.2,0,-1.5,0.9797467,0.9540796,0.7245356,0.9115397,0.8189885,0.9761182,0.9258894,0.7369236,0.7370365,0.8653563,0.8189412,0.9797665,0.9540221,0.7368534,0.9114777,0.8192825,0.0256670999999999,0.229544,-0.1870041,0.0925511999999999,0.0256670999999999,0.1889658,-0.1283198,0.0925511999999999,-0.0181060999999999,0.0405782000000001,0.0179931999999999,1.1464259,0.7651138,0.457218,0.240062,1.1283198,0.7832199,0.6207112,0.446208,0.0502288000000001,0.1889658,-0.1283198,0.0464150999999999,0.00358119999999995,0.0405782000000001,0.0257444,0.2171687,-0.1746243,0.0921951999999999,0.000274200000000002,0.0123753000000001
"Ys0...12",-1.5,1,-0.2,0.5,-1.5,0.9799042,0.9538397,0.7117891,0.9145238,0.8563104,0.975068,0.9232861,0.7244373,0.7246015,0.8635986,0.8334913,0.9799203,0.9537547,0.7243391,0.9143912,0.8565191,0.0260645,0.2420506,-0.2027347,0.0582134,0.0260645,0.1988488,-0.1389971,0.0582134,-0.0205358000000001,0.0432018,0.0203716,1.1595329,0.7549909,0.4751508,0.2457484,1.1389971,0.7755267,0.6336775,0.4437552,0.0517819,0.1988488,-0.1389971,0.0301072999999999,-0.0179829,0.0432018,0.0261656,0.2294156,-0.1900521,0.0578721,0.000192599999999987,0.0126350000000001
