"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"1","Ys0...1",-1.5,-1.25,-0.75,-1.5,0.7366844,0.7418117,0.9229482,0.9151131,0.9316108,0.815995,0.7700658,0.9110793,0.911041,0.9289246,0.8918884,0.7364505,0.7417401,0.9109489,0.9150742,0.9316338,-0.00512729999999995,-0.1811365,0.00783509999999998,-0.0164976999999999,-0.00512729999999995,-0.1410135,-0.0178836,-0.0164976999999999,-0.0144043,-0.040123,0.0144426000000001,0.9677121,0.8828252,0.6377098,0.6377098,0.9821164,0.8972295,0.3159967,0.3119246,0.0459292,-0.1410135,-0.0178836,0.0370362,-0.119033,-0.040123,-0.00528960000000001,-0.1692088,-0.0041253,-0.0165596,0.000256900000000004,-0.0119277000000001
"2","Ys0...2",-1.5,-1.25,-0.75,-1,0.6823421,0.6659762,0.9199545,0.9051415,0.92748,0.7686454,0.7191358,0.8971771,0.8972873,0.9303182,0.8971525,0.6825384,0.666037,0.8972359,0.9048904,0.9274966,0.0163658999999999,-0.2539783,0.014813,-0.0223384999999999,0.0163658999999999,-0.1780413,-0.0330309,-0.0223384999999999,-0.0280931000000001,-0.075937,0.0279829,0.938876,0.8440175,0.7673742,0.7673742,0.9669691,0.8721106,0.3369348,0.3290806,0.0495096,-0.1780413,-0.0330309,0.0331657,-0.1166308,-0.075937,0.0165014,-0.2311989,-0.00765450000000001,-0.0226062,-0.000179700000000005,-0.0227794
"3","Ys0...3",-1.5,-1.25,-0.75,1,0.5905482,0.5475701,0.908075,0.8796859,0.8915607,0.6804147,0.6240416,0.8712859,0.871444,0.9285449,0.9205853,0.5904439,0.5473502,0.8712712,0.8794797,0.8916787,0.0429781,-0.3605049,0.0283890999999999,-0.0118748,0.0429781,-0.2472443,-0.0571009,-0.0118748,-0.0277706000000001,-0.1132606,0.0276125,0.9151285,0.7948144,1.009345,1.009345,0.9428991,0.822585,0.3917803,0.3835384,0.0563731000000001,-0.2472443,-0.0571009,0.00795959999999996,-0.0608419,-0.1132606,0.0430937,-0.323921,-0.00820849999999995,-0.0121990000000001,0.000222300000000009,-0.0365839
"4","Ys0...4",-1.5,-1.25,-0.75,1.5,0.5843627,0.5390299,0.9061573,0.8764696,0.8840907,0.6720345,0.6149844,0.8688673,0.8689608,0.9279217,0.9221244,0.584313,0.5388294,0.8687929,0.8762929,0.884119,0.0453328000000001,-0.3671274,0.0296877000000001,-0.00762110000000005,0.0453328000000001,-0.2538829,-0.0589609,-0.00762110000000005,-0.0245959,-0.1132445,0.0245024,0.9164432,0.7929128,1.0322966,1.0322966,0.9410391,0.8175087,0.3987262,0.3912174,0.0570501,-0.2538829,-0.0589609,0.00579730000000001,-0.0496381,-0.1132445,0.0454836,-0.3299635,-0.00750000000000006,-0.00782609999999995,7.80000000000225e-05,-0.0371639000000001
"5","Ys0...5",-1.5,-1.25,-0.2,-1.5,0.7368422,0.7418034,0.9141449,0.9151857,0.9316865,0.8159171,0.7700923,0.9111191,0.9110347,0.9289288,0.8918947,0.7364505,0.7417401,0.9109489,0.9150742,0.9316338,-0.0049612,-0.1723415,-0.00104079999999995,-0.0165008,-0.0049612,-0.1410268,-0.0178941,-0.0165008,-0.0144614,-0.0313147,0.0145457999999999,0.9676445,0.8828302,0.6375772,0.6375772,0.9821059,0.8972916,0.315922,0.311771,0.0458248,-0.1410268,-0.0178941,0.0370341,-0.1188667,-0.0313147,-0.00528960000000001,-0.1692088,-0.0041253,-0.0165596,0.000338999999999978,-0.0031327000000001
"6","Ys0...6",-1.5,-1.25,-0.2,-1,0.6825767,0.6659955,0.9032821,0.9051497,0.927531,0.7687093,0.719154,0.8971754,0.8973328,0.9303854,0.8971637,0.6825384,0.666037,0.8972359,0.9048904,0.9274966,0.0165812000000001,-0.2372866,-0.00186759999999997,-0.0223813,0.0165812000000001,-0.1780214,-0.0330526,-0.0223813,-0.0280802,-0.0592652,0.0279227999999999,0.9388672,0.8440169,0.7673412,0.7673412,0.9669474,0.8720971,0.3367467,0.3289298,0.0495553000000001,-0.1780214,-0.0330526,0.0332217,-0.1164999,-0.0592652,0.0165014,-0.2311989,-0.00765450000000001,-0.0226062,3.90000000005664e-06,-0.00608770000000003
"7","Ys0...7",-1.5,-1.25,-0.2,1,0.590744,0.547555,0.8802633,0.8797302,0.8916982,0.6804625,0.6240848,0.8713939,0.8714595,0.9285926,0.9205848,0.5904439,0.5473502,0.8712712,0.8794797,0.8916787,0.043189,-0.3327083,0.000533099999999953,-0.011968,0.043189,-0.2473091,-0.0571330999999999,-0.011968,-0.027733,-0.0853991999999999,0.0276674,0.9151339,0.7948641,1.0090426,1.0090426,0.9428669,0.8225971,0.3916251,0.3833544,0.0563777,-0.2473091,-0.0571330999999999,0.00800780000000001,-0.0608318999999999,-0.0853991999999999,0.0430937,-0.323921,-0.00820849999999995,-0.0121990000000001,0.000280600000000075,-0.00878729999999994
"8","Ys0...8",-1.5,-1.25,-0.2,1.5,0.5846033,0.5389832,0.877769,0.876623,0.8841829,0.6720787,0.6150231,0.8689685,0.8689657,0.9279402,0.9220661,0.584313,0.5388294,0.8687929,0.8762929,0.884119,0.0456201000000001,-0.3387858,0.00114599999999998,-0.00755989999999995,0.0456201000000001,-0.2539454,-0.0589745,-0.00755989999999995,-0.0247199,-0.0848404,0.0247227000000001,0.9163056,0.7929286,1.0320168,1.0320168,0.9410255,0.8176485,0.3985309,0.3908736,0.0570556,-0.2539454,-0.0589745,0.00587409999999999,-0.0495922,-0.0848404,0.0454836,-0.3299635,-0.00750000000000006,-0.00782609999999995,0.000226400000000071,-0.00882230000000006
"9","Ys0...9",-1.5,-1.25,0.2,-1.5,0.7364593,0.7416216,0.9076917,0.9152407,0.9316451,0.8160204,0.7703416,0.911022,0.9110055,0.9289397,0.8919229,0.7364505,0.7417401,0.9109489,0.9150742,0.9316338,-0.00516229999999995,-0.1660701,-0.00754900000000003,-0.0164044,-0.00516229999999995,-0.1406804,-0.0179342,-0.0164044,-0.0150045,-0.0253897,0.015021,0.9670613,0.882302,0.6372728,0.6372728,0.9820658,0.8973065,0.3158744,0.3116392,0.0456788,-0.1406804,-0.0179342,0.0370168000000001,-0.1192833,-0.0253897,-0.00528960000000001,-0.1692088,-0.0041253,-0.0165596,-2.50000000001638e-06,0.00313869999999994
"10","Ys0...10",-1.5,-1.25,0.2,-1,0.6822763,0.6658052,0.8910494,0.9051061,0.9275089,0.7685894,0.7191883,0.8972027,0.8972654,0.9303939,0.8971466,0.6825384,0.666037,0.8972359,0.9048904,0.9274966,0.0164711,-0.2252442,-0.0140567,-0.0224027999999999,0.0164711,-0.1780144,-0.0331285,-0.0224027999999999,-0.028158,-0.0472298,0.0280953,0.9387135,0.8438196,0.767218,0.767218,0.9668715,0.8719776,0.3368407,0.329,0.0494011,-0.1780144,-0.0331285,0.0332473,-0.1166754,-0.0472298,0.0165014,-0.2311989,-0.00765450000000001,-0.0226062,-0.000274400000000008,0.00595469999999998
"11","Ys0...11",-1.5,-1.25,0.2,1,0.5905098,0.547153,0.863008,0.8795039,0.8915779,0.6801644,0.6237246,0.8713589,0.8713747,0.9286714,0.9205989,0.5904439,0.5473502,0.8712712,0.8794797,0.8916787,0.0433568,-0.315855,-0.0164959,-0.012074,0.0433568,-0.2476343,-0.0572967000000001,-0.012074,-0.0274198999999998,-0.0682206999999999,0.0274040999999999,0.9152834,0.7947873,1.009833,1.009833,0.9427033,0.8222072,0.3917786,0.3836494,0.0564398,-0.2476343,-0.0572967000000001,0.00807250000000004,-0.0606336000000001,-0.0682206999999999,0.0430937,-0.323921,-0.00820849999999995,-0.0121990000000001,0.000166699999999964,0.00806600000000002
"12","Ys0...12",-1.5,-1.25,0.2,1.5,0.5843545,0.5386078,0.8606191,0.8763279,0.8840766,0.6717822,0.6147301,0.8689171,0.868882,0.9280303,0.9220632,0.584313,0.5388294,0.8687929,0.8762929,0.884119,0.0457467,-0.3220113,-0.0157088000000001,-0.00774869999999994,0.0457467,-0.254187,-0.0591482999999999,-0.00774869999999994,-0.0243848000000001,-0.0678242999999999,0.0244199,0.9164669,0.7927948,1.0327056,1.0327056,0.9408517,0.8171796,0.3987295,0.3912836,0.0570521,-0.254187,-0.0591482999999999,0.0059671,-0.0494411,-0.0678242999999999,0.0454836,-0.3299635,-0.00750000000000006,-0.00782609999999995,8.39000000000256e-05,0.00795219999999996
"13","Ys0...13",-1.5,-1.25,0.75,-1.5,0.7364062,0.7416412,0.8981857,0.915295,0.9315718,0.8159907,0.7701965,0.9111389,0.9109747,0.9289316,0.8919493,0.7364505,0.7417401,0.9109489,0.9150742,0.9316338,-0.00523499999999999,-0.1565445,-0.0171093,-0.0162768,-0.00523499999999999,-0.1409424,-0.0179568999999999,-0.0162768,-0.0147545,-0.0156021,0.0149187,0.9672886,0.8825836,0.6373292,0.6373292,0.9820431,0.8973381,0.3158671,0.3115468,0.0457942,-0.1409424,-0.0179568999999999,0.0369823,-0.119207,-0.0156021,-0.00528960000000001,-0.1692088,-0.0041253,-0.0165596,1.77000000000094e-05,0.0126643
"14","Ys0...14",-1.5,-1.25,0.75,-1,0.6822904,0.6658076,0.8743411,0.9051402,0.9274479,0.7685863,0.7192055,0.897261,0.8972587,0.9303552,0.8971315,0.6825384,0.666037,0.8972359,0.9048904,0.9274966,0.0164827999999999,-0.2085335,-0.0307991,-0.0223077,0.0164827999999999,-0.1780555,-0.0330965000000001,-0.0223077,-0.0281805999999999,-0.030478,0.0281828999999999,0.9387229,0.8438631,0.767067,0.767067,0.9669035,0.8720437,0.3368907,0.3290092,0.0493807999999999,-0.1780555,-0.0330965000000001,0.0332237000000001,-0.1166123,-0.030478,0.0165014,-0.2311989,-0.00765450000000001,-0.0226062,-0.000199300000000013,0.0226654000000001
"15","Ys0...15",-1.5,-1.25,0.75,1,0.590514,0.5473667,0.8438984,0.8796591,0.8916377,0.6801335,0.6238192,0.8714978,0.8714126,0.928615,0.9206244,0.5904439,0.5473502,0.8712712,0.8794797,0.8916787,0.0431473,-0.2965317,-0.0357607,-0.0119786,0.0431473,-0.2476786,-0.0572024,-0.0119786,-0.0274114000000001,-0.0488531000000001,0.0274966000000001,0.9153862,0.7950453,1.009366,1.009366,0.9427976,0.8224567,0.3916983,0.3834518,0.0563142999999999,-0.2476786,-0.0572024,0.00799059999999996,-0.0606327999999999,-0.0488531000000001,0.0430937,-0.323921,-0.00820849999999995,-0.0121990000000001,0.000111100000000031,0.0273892999999999
"16","Ys0...16",-1.5,-1.25,0.75,1.5,0.5843309,0.5389392,0.8422014,0.8764992,0.8840942,0.6717524,0.6148249,0.8690539,0.8689198,0.9279815,0.9220831,0.584313,0.5388294,0.8687929,0.8762929,0.884119,0.0453917,-0.3032622,-0.0342978,-0.00759500000000002,0.0453917,-0.254229,-0.0590617,-0.00759500000000002,-0.0242693,-0.0490332,0.0244034000000001,0.916669,0.7931682,1.0322424,1.0322424,0.9409383,0.8174375,0.398618,0.3910386,0.0569275,-0.254229,-0.0590617,0.00589839999999997,-0.0494326,-0.0490332,0.0454836,-0.3299635,-0.00750000000000006,-0.00782609999999995,4.26999999999511e-05,0.0267012999999999
"17","Ys0...17",-1.5,-0.5,-0.75,-1.5,0.6816718,0.6956082,0.9198298,0.9170281,0.923329,0.7748283,0.7123441,0.910227,0.9102467,0.9278813,0.8913037,0.6813433,0.6956196,0.910175,0.9170214,0.9233268,-0.0139364,-0.2242216,0.00280170000000002,-0.00630089999999994,-0.0139364,-0.1978829,-0.0176346000000001,-0.00630089999999994,-0.00590239999999997,-0.0263387,0.00588270000000002,0.976463,0.8934911,0.7548578,0.7548578,0.9823654,0.8993935,0.3169626,0.3101812,0.0624842,-0.1978829,-0.0176346000000001,0.0365776,-0.1251818,-0.0263387,-0.0142763,-0.2145554,-0.00684640000000003,-0.00630540000000002,0.000326300000000113,-0.00966620000000007
"18","Ys0...18",-1.5,-0.5,-0.75,-1,0.6509646,0.6399293,0.9148217,0.9095423,0.920919,0.7352602,0.6723198,0.8964694,0.8966196,0.9292674,0.8965063,0.6509156,0.6398661,0.8966534,0.9092612,0.9209141,0.0110353,-0.2748924,0.00527939999999993,-0.0113767,0.0110353,-0.2241496,-0.0326478,-0.0113767,-0.0128156,-0.0507428,0.0126654,0.9545366,0.8640789,0.8624216,0.8624216,0.9673522,0.8768945,0.3353033,0.3223806,0.0629404,-0.2241496,-0.0326478,0.0327611,-0.1087083,-0.0507428,0.0110495,-0.2567873,-0.0126077999999999,-0.0116529,4.40999999998803e-05,-0.0181050999999999
"19","Ys0...19",-1.5,-0.5,-0.75,1,0.588142,0.5453762,0.9001875,0.8887608,0.896691,0.6615404,0.5976231,0.8709067,0.8710216,0.9275366,0.9196533,0.5880072,0.5452309,0.8709509,0.8885272,0.8967251,0.0427658000000001,-0.3548113,0.0114267,-0.0079302,0.0427658000000001,-0.2732836,-0.0565150000000001,-0.0079302,-0.0135859999999999,-0.0815277,0.0134711,0.929899,0.8186598,1.0629404,1.0629404,0.943485,0.8322458,0.3851444,0.3674052,0.0639173000000001,-0.2732836,-0.0565150000000001,0.00788330000000004,-0.0504361,-0.0815277,0.0427763,-0.32572,-0.0175763,-0.00819790000000009,0.000168900000000138,-0.0290913
"20","Ys0...20",-1.5,-0.5,-0.75,1.5,0.5829837,0.5380201,0.8981364,0.8859948,0.8910042,0.6545289,0.5904865,0.868509,0.8685692,0.9269154,0.9211873,0.5829271,0.5379002,0.868497,0.8857837,0.890976,0.0449636,-0.3601163,0.0121416,-0.00500940000000005,0.0449636,-0.2780225,-0.0583461999999999,-0.00500940000000005,-0.0116060000000001,-0.0820938,0.0115458000000001,0.9300478,0.8160426,1.082009,1.082009,0.9416538,0.8276486,0.3916052,0.3741796,0.0640423999999999,-0.2780225,-0.0583461999999999,0.0057280999999999,-0.0413621,-0.0820938,0.0450269,-0.3305968,-0.0172867,-0.00519230000000004,2.83999999999285e-05,-0.0295195
"21","Ys0...21",-1.5,-0.5,-0.2,-1.5,0.6818648,0.6956422,0.9127509,0.9171555,0.9233927,0.7747846,0.7123668,0.9103222,0.9102543,0.9278835,0.8913174,0.6813433,0.6956196,0.910175,0.9170214,0.9233268,-0.0137773999999999,-0.2171087,-0.00440459999999998,-0.00623719999999994,-0.0137773999999999,-0.1979554,-0.0176292,-0.00623719999999994,-0.00592870000000001,-0.0191533,0.00599660000000002,0.9764421,0.8935976,0.754622,0.754622,0.9823708,0.8995263,0.3168232,0.309922,0.0624178000000001,-0.1979554,-0.0176292,0.0365660999999999,-0.1249951,-0.0191533,-0.0142763,-0.2145554,-0.00684640000000003,-0.00630540000000002,0.000455600000000111,-0.00255330000000009
"22","Ys0...22",-1.5,-0.5,-0.2,-1,0.651074,0.6399677,0.9014614,0.9096099,0.9209675,0.7353209,0.6723385,0.8965159,0.8966477,0.9293374,0.8965182,0.6509156,0.6398661,0.8966534,0.9092612,0.9209141,0.0111063,-0.2614937,-0.0081485,-0.0113576000000001,0.0111063,-0.2241774,-0.0326896999999999,-0.0113576000000001,-0.0127750999999999,-0.0373162999999999,0.0126432999999999,0.9545352,0.8641451,0.8622912,0.8622912,0.9673103,0.8769202,0.3350676,0.3221054,0.0629824000000001,-0.2241774,-0.0326896999999999,0.0328191999999999,-0.1086962,-0.0373162999999999,0.0110495,-0.2567873,-0.0126077999999999,-0.0116529,0.000104999999999911,-0.00470639999999989
"23","Ys0...23",-1.5,-0.5,-0.2,1,0.5883082,0.5454051,0.8780976,0.8888298,0.89678,0.6615777,0.5976566,0.8710342,0.8710428,0.9275828,0.9196819,0.5880072,0.5452309,0.8709509,0.8885272,0.8967251,0.0429031,-0.3326925,-0.0107322,-0.00795020000000002,0.0429031,-0.2733776,-0.05654,-0.00795020000000002,-0.0135071,-0.0593149000000001,0.0134985,0.9299529,0.8187827,1.0626184,1.0626184,0.94346,0.8322898,0.3849618,0.3671748,0.0639211000000001,-0.2733776,-0.05654,0.00790089999999999,-0.0503676000000001,-0.0593149000000001,0.0427763,-0.32572,-0.0175763,-0.00819790000000009,0.000246100000000027,-0.00697250000000005
"24","Ys0...24",-1.5,-0.5,-0.2,1.5,0.5832081,0.5380033,0.8756179,0.8861638,0.8910728,0.6545737,0.5905176,0.8686249,0.8685942,0.926925,0.921137,0.5829271,0.5379002,0.868497,0.8857837,0.890976,0.0452048,-0.3376146,-0.0105459,-0.00490900000000005,0.0452048,-0.2781073,-0.0583308,-0.00490900000000005,-0.0117223999999999,-0.0595072999999999,0.0117531,0.9299468,0.8161106,1.081715,1.081715,0.9416692,0.827833,0.391392,0.3738224,0.0640561000000001,-0.2781073,-0.0583308,0.00578800000000002,-0.0413014,-0.0595072999999999,0.0450269,-0.3305968,-0.0172867,-0.00519230000000004,0.000184199999999968,-0.00701780000000007
"25","Ys0...25",-1.5,-0.5,0.2,-1.5,0.681503,0.6954641,0.9076303,0.9171428,0.923341,0.7747873,0.7124312,0.9102598,0.9102363,0.9279199,0.8913074,0.6813433,0.6956196,0.910175,0.9170214,0.9233268,-0.0139611000000001,-0.2121662,-0.00951250000000003,-0.00619819999999993,-0.0139611000000001,-0.1978286,-0.0176836,-0.00619819999999993,-0.00616650000000007,-0.0143376000000001,0.00619000000000003,0.9761499,0.8932927,0.754618,0.754618,0.9823164,0.8994592,0.3167811,0.3098746,0.0623560999999999,-0.1978286,-0.0176836,0.0366125,-0.1253179,-0.0143376000000001,-0.0142763,-0.2145554,-0.00684640000000003,-0.00630540000000002,0.000145500000000021,0.00238919999999998
"26","Ys0...26",-1.5,-0.5,0.2,-1,0.6507828,0.6397343,0.8916726,0.909463,0.9209117,0.7351405,0.6722136,0.8965488,0.8966177,0.929352,0.8964683,0.6509156,0.6398661,0.8966534,0.9092612,0.9209141,0.0110485,-0.2519383,-0.0177904,-0.0114487,0.0110485,-0.2243352,-0.0327343,-0.0114487,-0.0126592,-0.0276031,0.0125903000000001,0.9546065,0.8640695,0.8624752,0.8624752,0.9672657,0.8767287,0.3352153,0.32237,0.0629269,-0.2243352,-0.0327343,0.0328837,-0.1088011,-0.0276031,0.0110495,-0.2567873,-0.0126077999999999,-0.0116529,-0.000130400000000086,0.00484899999999999
"27","Ys0...27",-1.5,-0.5,0.2,1,0.5881177,0.5450053,0.8643376,0.8885715,0.896658,0.6612498,0.5971995,0.8710052,0.8709767,0.9276703,0.919678,0.5880072,0.5452309,0.8709509,0.8885272,0.8967251,0.0431123999999999,-0.3193323,-0.0242338999999999,-0.0080865,0.0431123999999999,-0.2738057,-0.0566935999999999,-0.0080865,-0.0130669,-0.0455266,0.0130954,0.9302395,0.818811,1.0635906,1.0635906,0.9433064,0.8318779,0.3851112,0.3675164,0.0640503,-0.2738057,-0.0566935999999999,0.00799229999999995,-0.0501121,-0.0455266,0.0427763,-0.32572,-0.0175763,-0.00819790000000009,0.000177600000000111,0.0063877
