"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.612488465532951,-1.15764763264664,0.142301891925294,-0.291304907834554,0.612488465532951,-0.863694264455124,-0.112689648043038,-0.291304907834554,-0.0389618282231821,0.50046598954593,-0.863694264455124,-0.112689648043038,0.232685582691639,-0.451028311161275,0.611955267028527,-1.03179621475636,0.0160760673136031,-0.290834900878694,0.000437598269979134
"Ys0...2",-1.5,-1.5,-0.75,-1,0.707226765183619,-1.66805437964191,0.246032354951984,-0.323040229509659,0.707226765183619,-1.12555027512343,-0.20898496682903,-0.323040229509659,-0.0874867827374652,0.50051984130327,-1.12555027512343,-0.20898496682903,0.208811939857774,-0.412886464533287,0.706599009710385,-1.4347164047849,0.0139401595434472,-0.323185719097729,-0.000472534387166323
"Ys0...3",-1.5,-1.5,-0.75,1,0.791791306466339,-2.37851036045572,0.364773226597764,-0.0799645625667535,0.791791306466339,-1.61407315848675,-0.360424211214228,-0.0799645625667535,-0.0392397641569797,0.500278995676838,-1.61407315848675,-0.360424211214228,0.0504754940973551,0.121914147713626,0.791312382623258,-2.05119594192336,0.0365927535719912,-0.0803064805349858,0.00168689630472496
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.790753390780099,-2.42228890345739,0.371523231639277,-0.0423993534867622,0.790753390780099,-1.66054084074078,-0.372064252141755,-0.0423993534867622,-0.0181605789355759,0.500344121789388,-1.66054084074078,-0.372064252141755,0.0368503722037512,0.192775472213359,0.790231979257113,-2.09597811347922,0.044577673438869,-0.0422631747199969,0.00102000097846489
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.61285154362643,-1.06549574385029,0.0498096828969734,-0.291273700770413,0.61285154362643,-0.863739709373245,-0.112564993233208,-0.291273700770413,-0.0393813583468634,0.500873460841054,-0.863739709373245,-0.112564993233208,0.233026107718013,-0.451616253711093,0.611955267028527,-1.03179621475636,0.0160760673136031,-0.290834900878694,0.000491563195628597
"Ys0...6",-1.5,-1.5,-0.2,-1,0.707456290262592,-1.49751305792343,0.0758116268874631,-0.323174605829362,0.707456290262592,-1.12551160569733,-0.20912100704754,-0.323174605829362,-0.0870688182911024,0.500813103871034,-1.12551160569733,-0.20912100704754,0.209025774332285,-0.413085941979892,0.706599009710385,-1.4347164047849,0.0139401595434472,-0.323185719097729,-5.67919739444811e-05
"Ys0...7",-1.5,-1.5,-0.2,1,0.79196940910579,-2.13844691647687,0.124410826649239,-0.0801552683912905,0.79196940910579,-1.61408234622272,-0.360801417475657,-0.0801552683912905,-0.0391523261292512,0.500471415417877,-1.61408234622272,-0.360801417475657,0.0504595283189504,0.121330547449457,0.791312382623258,-2.05119594192336,0.0365927535719912,-0.0803064805349858,0.00137533714996874
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.790927105908589,-2.18306048070637,0.131982226539359,-0.0421723697191667,0.790927105908589,-1.66052639234495,-0.372390678145207,-0.0421723697191667,-0.0181611836768494,0.500543886679582,-1.66052639234495,-0.372390678145207,0.0369735906575519,0.19247184418992,0.790231979257113,-2.09597811347922,0.044577673438869,-0.0422631747199969,0.00110811752565265
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.611110621128195,-0.998305112603499,-0.0176325714741155,-0.291246325088341,0.611110621128195,-0.863742515131234,-0.112914724574231,-0.291246325088341,-0.0392804443721491,0.499057806547171,-0.863742515131234,-0.112914724574231,0.233101886016686,-0.451903801511193,0.611955267028527,-1.03179621475636,0.0160760673136031,-0.290834900878694,-0.00147360674483332
"Ys0...10",-1.5,-1.5,0.2,-1,0.705978973469938,-1.37341148616187,-0.0491261395172584,-0.323720311630737,0.705978973469938,-1.12569548236538,-0.209297613189752,-0.323720311630737,-0.0875445301239948,0.49938826106658,-1.12569548236538,-0.209297613189752,0.209199093166721,-0.414273796192962,0.706599009710385,-1.4347164047849,0.0139401595434472,-0.323185719097729,-0.00291600921112778
