"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...1",-1.5,-1.5,-0.75,-1.5,-0.0032394,0.0212272999999999,0.1722366,0.1294086,-0.0100517,0.0171276,-0.0156487000000001
"Ys1...2",-1.5,-1.5,-0.75,-1,-0.0204226999999999,0.0271154,0.2494435,0.1686134,-0.0191481,0.0319622000000001,-0.0297198
"Ys1...3",-1.5,-1.5,-0.75,1,-0.0433216,0.0130576,0.3616846,0.2420475,-0.0356328,0.0551978,-0.0288065000000001
"Ys1...4",-1.5,-1.5,-0.75,1.5,-0.0456744,0.00830370000000002,0.3686011,0.2490362,-0.0371036,0.0569753,-0.025486
"Ys1...5",-1.5,-1.5,-0.2,-1.5,-0.00337799999999999,0.0212848999999999,0.1630104,0.1294746,-0.000707399999999914,0.0171761,-0.0156523000000001
"Ys1...6",-1.5,-1.5,-0.2,-1,-0.0204054,0.0271368,0.2315278,0.1686721,-0.00130450000000004,0.0319986,-0.0295526
"Ys1...7",-1.5,-1.5,-0.2,1,-0.0436278,0.0130646,0.3321171,0.2420627,-0.00601969999999996,0.0553081,-0.0287266
"Ys1...8",-1.5,-1.5,-0.2,1.5,-0.0460242999999999,0.0081865000000001,0.3384941,0.2490951,-0.00688610000000001,0.0570525,-0.0254603999999999
"Ys1...9",-1.5,-1.5,0.2,-1.5,-0.00314860000000006,0.0212868000000001,0.1559278,0.1296145,0.0062141,0.0172348,-0.0152925999999999
"Ys1...10",-1.5,-1.5,0.2,-1,-0.0203932,0.0272339,0.2184408,0.1688208,0.0117922,0.0320269,-0.0293853000000001
"Ys1...11",-1.5,-1.5,0.2,1,-0.0434667999999999,0.0132566000000001,0.3136845,0.2424332,0.0124373,0.0552910000000001,-0.0283975999999998
"Ys1...12",-1.5,-1.5,0.2,1.5,-0.0457662,0.0083162,0.3201508,0.2493668,0.0114399000000001,0.0570832,-0.0251407
"Ys1...13",-1.5,-1.5,0.75,-1.5,-0.00315069999999995,0.0214127000000001,0.1459851,0.1295205,0.0163051,0.0172464,-0.0155232999999999
"Ys1...14",-1.5,-1.5,0.75,-1,-0.020219,0.0272943,0.2005612,0.1686792,0.0295812,0.0318951000000001,-0.0295681
"Ys1...15",-1.5,-1.5,0.75,1,-0.0431872999999999,0.0133042999999999,0.2930669,0.242262,0.0328605000000001,0.0552476,-0.0284177999999999
"Ys1...16",-1.5,-1.5,0.75,1.5,-0.0455196,0.00845719999999994,0.3001899,0.2492123,0.0311662,0.0569786,-0.0251652
"Ys1...17",-1.5,-1,-0.75,-1.5,0.0122122,0.0124118,0.1920095,0.1551151,-0.00578520000000005,0.017997,-0.0131121999999999
"Ys1...18",-1.5,-1,-0.75,-1,-0.0129108999999999,0.0182482,0.2595233,0.1894873,-0.0112572000000001,0.0335711,-0.0252076999999999
"Ys1...19",-1.5,-1,-0.75,1,-0.0425871,0.0105244,0.3591301,0.2538582,-0.0222911,0.0579449000000001,-0.0250358999999999
"Ys1...20",-1.5,-1,-0.75,1.5,-0.0449022,0.00664660000000006,0.3653326,0.2599852,-0.0233507000000001,0.0598191,-0.0221775999999999
"Ys1...21",-1.5,-1,-0.2,-1.5,0.0119999,0.0124846,0.1839813,0.1551865,0.00236210000000003,0.0180608,-0.0130961000000001
"Ys1...22",-1.5,-1,-0.2,-1,-0.0128859,0.0182796,0.2438568,0.1895564,0.00433099999999997,0.0336244,-0.025007
"Ys1...23",-1.5,-1,-0.2,1,-0.0428948,0.0105262,0.3330255,0.2538605,0.00383710000000004,0.0580870999999999,-0.024915
"Ys1...24",-1.5,-1,-0.2,1.5,-0.0452548,0.00653970000000004,0.3387386,0.2600325,0.00333150000000004,0.0599136,-0.022124
"Ys1...25",-1.5,-1,0.2,-1.5,0.0122647,0.0124704,0.1778161,0.15542,0.00841449999999999,0.0180745,-0.0127360999999999
"Ys1...26",-1.5,-1,0.2,-1,-0.0128041,0.0183595,0.2324031,0.1897649,0.0157670000000001,0.0335939,-0.0248113000000001
"Ys1...27",-1.5,-1,0.2,1,-0.0427547,0.0106889,0.3169099,0.2542795,0.0199913,0.0580963,-0.0245254
"Ys1...28",-1.5,-1,0.2,1.5,-0.0450009,0.00665569999999993,0.3226691,0.2603396,0.0193791000000001,0.059952,-0.0217566
"Ys1...29",-1.5,-1,0.75,-1.5,0.0121884,0.0126573,0.1691389,0.1552955,0.0171991,0.0180936,-0.0129488999999999
"Ys1...30",-1.5,-1,0.75,-1,-0.0126983000000001,0.0184510999999999,0.2168201,0.1895975,0.031282,0.0334993,-0.0250053
"Ys1...31",-1.5,-1,0.75,1,-0.0424686000000001,0.0107377,0.2990856,0.2541051,0.0375934,0.0580198,-0.0245541000000001
"Ys1...32",-1.5,-1,0.75,1.5,-0.0447412,0.00680800000000004,0.305459,0.2601785,0.0363275,0.0598465,-0.0217615
"Ys1...33",-1.5,0,-0.75,-1.5,0.00125759999999997,4.74000000000308e-05,0.2663294,0.2529894,0.000469799999999965,0.0161865,0.00237670000000001
"Ys1...34",-1.5,0,-0.75,-1,-0.0167886,0.00406649999999997,0.295707,0.2688218,0.00082340000000003,0.0301214,0.00241279999999999
"Ys1...35",-1.5,0,-0.75,1,-0.0433323,0.00461990000000001,0.3485039,0.2986232,-6.03999999999605e-05,0.0520239,0.00220359999999997
"Ys1...36",-1.5,0,-0.75,1.5,-0.0452387,0.00279109999999994,0.3524886,0.301513,-0.000340199999999902,0.0537268,0.00309139999999997
"Ys1...37",-1.5,0,-0.2,-1.5,0.00120149999999997,5.67000000000206e-05,0.2607361,0.2530186,0.00600679999999998,0.0162454000000001,0.00252110000000005
"Ys1...38",-1.5,0,-0.2,-1,-0.0166879,0.00406059999999997,0.2850438,0.2688739,0.0113814000000001,0.0302111,0.00265979999999999
"Ys1...39",-1.5,0,-0.2,1,-0.0436048999999999,0.00456630000000002,0.3315223,0.2986089,0.0169088000000001,0.0521197,0.00229749999999995
"Ys1...40",-1.5,0,-0.2,1.5,-0.0455651,0.00263480000000005,0.3353474,0.3015465,0.0168686,0.0537669000000001,0.00309740000000003
"Ys1...41",-1.5,0,0.2,-1.5,0.000954699999999975,0.0001892,0.2570675,0.2531839,0.0100252,0.0162623000000001,0.00235350000000012
