"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.0150417,-0.2625247,0.0532477,-0.0697308,0.0150417,-0.1791915,-0.0471979,-0.0697308,0.0171124,0.0331790000000001,-0.1791915,-0.0471979,0.1434865,-0.2140707,0.014678,-0.2188272,0.00921439999999996,-0.0694677,0.000436400000000114
"Ys0...2",-1.5,-1.5,-0.75,-1,0.0349304,-0.3841277,0.0944147,-0.1242801,0.0349304,-0.2502161,-0.0958998,-0.1242801,0.0564029,0.0272184,-0.2502161,-0.0958998,0.0960702999999999,-0.1560443,0.0351031,-0.2998112,0.00953539999999997,-0.1238174,-7.26000000000893e-05
"Ys0...3",-1.5,-1.5,-0.75,1,0.0375919,-0.4709733,0.1287277,-0.1264657,0.0375919,-0.3072719,-0.1910868,-0.1264657,0.1561131,0.000855400000000006,-0.3072719,-0.1910868,-0.0519551,0.1182718,0.0374666,-0.3406379,-0.00185579999999996,-0.1262649,0.000172599999999967
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.0352474,-0.4645041,0.1247475,-0.0969106,0.0352474,-0.3050689,-0.1997526,-0.0969106,0.1650649,-0.00200260000000002,-0.3050689,-0.1997526,-0.0526327000000001,0.157918,0.0352828,-0.3369015,-0.00311230000000007,-0.0968407999999999,0.000152000000000041
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.014859,-0.2305852,0.0212519,-0.0696671000000001,0.014859,-0.1790533,-0.0473224999999999,-0.0696671000000001,0.0170425,0.0330338,-0.1790533,-0.0473224999999999,0.1436184,-0.214152,0.0149041000000001,-0.2190392,0.00928050000000002,-0.0692484999999999,-3.83000000001577e-05
"Ys0...6",-1.5,-1.5,-0.2,-1,0.0351226000000001,-0.3216151,0.0318543999999999,-0.1239942,0.0351226000000001,-0.2503445,-0.0961190000000001,-0.1239942,0.0567028000000001,0.0273583000000001,-0.2503445,-0.0961190000000001,0.0961635000000001,-0.1555928,0.0347869,-0.2996261,0.00970639999999989,-0.1240684,0.000568900000000094
"Ys0...7",-1.5,-1.5,-0.2,1,0.0375341,-0.3717306,0.0296584999999999,-0.1262124,0.0375341,-0.3072738,-0.1912073,-0.1262124,0.156409,0.000747600000000015,-0.3072738,-0.1912073,-0.0517265,0.1185323,0.0374751,-0.3407298,-0.0017239,-0.1262728,0.000500999999999974
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.0352109,-0.3680717,0.0287236,-0.0970519999999999,0.0352109,-0.3050108,-0.1996263,-0.0970519999999999,0.165289,-0.00202200000000002,-0.3050108,-0.1996263,-0.0525797,0.1581118,0.0351996,-0.3367365,-0.00315979999999993,-0.0969177,0.000425200000000014
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.0149265,-0.2067054,-0.00278459999999991,-0.0697459,0.0149265,-0.1792224,-0.0474068000000001,-0.0697459,0.0171392000000001,0.0331428,-0.1792224,-0.0474068000000001,0.1439465,-0.2147306,0.0146144,-0.2188754,0.00938450000000002,-0.0695328,9.98999999999306e-05
"Ys0...10",-1.5,-1.5,0.2,-1,0.0351411999999999,-0.2778484,-0.0121451,-0.1242254,0.0351411999999999,-0.2505603,-0.096275,-0.1242254,0.0568418000000001,0.0275278999999999,-0.2505603,-0.096275,0.0963788999999999,-0.156095,0.0352026,-0.2999446,0.00983389999999995,-0.1242227,5.30999999999171e-05
