"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.6552776,0.6402359,0.9027606,0.8495129,0.9192437,0.7129813,0.6798023,0.8589938,0.8591653,0.9063632,0.7628767,0.6549548,0.6402768,0.859104,0.8498896,0.9193573,0.0150417,-0.2625247,0.0532477,-0.0697308,0.0150417,-0.1791915,-0.0471979,-0.0697308,0.0171124,-0.0833332,0.0172839,0.9699145,0.8194274,0.9224078,0.9224078,0.9528021,0.802315,0.468943,0.468943,0.0331790000000001,-0.1791915,-0.0471979,0.1434865,-0.2140707,-0.0833332,0.014678,-0.2188272,0.00921439999999996,-0.0694677,0.000436400000000114,-0.0436975000000001
"Ys0...2",-1.5,-1.5,-0.75,-1,0.5334975,0.4985671,0.8826948,0.7882801,0.9125602,0.5750017,0.5477833,0.7979994,0.7981906,0.8940904,0.7980201,0.5334829,0.4983798,0.798191,0.7886556,0.912473,0.0349304,-0.3841277,0.0944147,-0.1242801,0.0349304,-0.2502161,-0.0958998,-0.1242801,0.0564029,-0.1339116,0.0565941,0.9605031,0.7487832,1.3084346,1.3084346,0.9041002,0.6923803,0.615438,0.615438,0.0272184,-0.2502161,-0.0958998,0.0960702999999999,-0.1560443,-0.1339116,0.0351031,-0.2998112,0.00953539999999997,-0.1238174,-7.26000000000893e-05,-0.0843165
"Ys0...3",-1.5,-1.5,-0.75,1,0.3274834,0.2898915,0.7608648,0.6321371,0.7586028,0.3241662,0.3233108,0.6305827,0.6305155,0.8216023,0.8735574,0.327311,0.2898444,0.6304823,0.6323381,0.758603,0.0375919,-0.4709733,0.1287277,-0.1264657,0.0375919,-0.3072719,-0.1910868,-0.1264657,0.1561131,-0.1637014,0.1560459,0.9650263,0.5971634,1.5670958,1.2264046,0.8488412,0.5589497,1.0941428,1.0925212,0.000855400000000006,-0.3072719,-0.1910868,-0.0519551,0.1182718,-0.1637014,0.0374666,-0.3406379,-0.00185579999999996,-0.1262649,0.000172599999999967,-0.1303354
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.3056549,0.2704075,0.7348772,0.6099915,0.7069677,0.3001942,0.3023335,0.6072417,0.6071824,0.8070126,0.8595448,0.3055138,0.2701552,0.6071371,0.610257,0.7072113,0.0352474,-0.4644697,0.1248857,-0.0969762,0.0352474,-0.3049082,-0.1998302,-0.0969762,0.1651544,-0.1595615,0.1650951,0.9653242,0.5753157,1.4823162,1.145482,0.8602462,0.5898387,1.1688009,1.1659918,-0.00213929999999996,-0.3049082,-0.1998302,-0.0525322,0.1580378,-0.1595615,0.0353586,-0.3369819,-0.00311990000000006,-0.0969542999999999,0.000384700000000016,-0.1274878
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.6552355,0.6403765,0.8709617,0.8497098,0.9193728,0.7129179,0.6798175,0.8589237,0.8590736,0.9065408,0.7628232,0.6550244,0.6402218,0.8591672,0.8498805,0.9194134,0.014859,-0.2305852,0.0212519,-0.069663,0.014859,-0.1791062,-0.0474672,-0.069663,0.0172401000000001,-0.0514789999999999,0.0173900000000001,0.9697729,0.8194827,0.9225176,0.9225176,0.9525328,0.8022426,0.4687712,0.4687712,0.0331004,-0.1791062,-0.0474672,0.1437176,-0.214232,-0.0514789999999999,0.0148026,-0.2189454,0.00928669999999998,-0.0695329,0.000251700000000077,-0.0116397999999999
"Ys0...6",-1.5,-1.5,-0.2,-1,0.5336391,0.4985165,0.8201316,0.7882772,0.9122714,0.5750374,0.5476791,0.7980236,0.7981214,0.8942404,0.7980769,0.533366,0.4985791,0.7982052,0.7884988,0.9125672,0.0351226000000001,-0.3216151,0.0318543999999999,-0.1239942,0.0351226000000001,-0.2503445,-0.0961190000000001,-0.1239942,0.0567028000000001,-0.0712705999999999,0.0568006,0.9605838,0.748861,1.3085946,1.3085946,0.903881,0.6921582,0.6152764,0.6152764,0.0273583000000001,-0.2503445,-0.0961190000000001,0.0961635000000001,-0.1555928,-0.0712705999999999,0.0347869,-0.2996261,0.00970639999999989,-0.1240684,0.000568900000000094,-0.021989
"Ys0...7",-1.5,-1.5,-0.2,1,0.3276471,0.290113,0.6619913,0.6319979,0.7585133,0.3242725,0.3233505,0.6306888,0.6307047,0.8216656,0.8734407,0.3272657,0.2898311,0.6306345,0.6322606,0.7587435,0.0375341,-0.3718783,0.0299933999999999,-0.1265154,0.0375341,-0.3073383,-0.1909609,-0.1265154,0.1564143,-0.0645399999999999,0.1564302,0.9654534,0.5974513,1.5675028,1.226927,0.849076,0.558963,1.0939662,1.092673,0.000922000000000034,-0.3073383,-0.1909609,-0.0517751,0.118302,-0.0645399999999999,0.0374346,-0.3408034,-0.00162609999999996,-0.1264829,0.000611600000000045,-0.0310748999999999
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.3058321,0.2706212,0.6385721,0.6100031,0.7070365,0.3002089,0.3022608,0.6072577,0.6072408,0.8070198,0.8597201,0.3055079,0.2702526,0.6071328,0.6102374,0.7072192,0.0352109,-0.3679509,0.028569,-0.0970333999999999,0.0352109,-0.3049969,-0.199779,-0.0970333999999999,0.165394,-0.062954,0.1653771,0.965615,0.5756181,1.4824005,1.145764,0.8603971,0.5897759,1.1687165,1.1659542,-0.0020519,-0.3049969,-0.199779,-0.0527003,0.1583068,-0.062954,0.0352553,-0.3368802,-0.00310460000000001,-0.0969818,0.000506900000000088,-0.0310706999999999
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.6551541,0.6402276,0.846933,0.8497176,0.919437,0.7128148,0.6798785,0.8590627,0.8590352,0.906467,0.7627831,0.6551276,0.6402039,0.8593167,0.8499278,0.919243,0.0149265,-0.2067054,-0.00278459999999991,-0.0697194,0.0149265,-0.1791842,-0.0474318,-0.0697194,0.017126,-0.0275212000000001,0.0170985,0.9696942,0.8194118,0.9221176,0.9221176,0.9525682,0.8022858,0.4689956,0.4689956,0.0329362999999999,-0.1791842,-0.0474318,0.1436839,-0.2143146,-0.0275212000000001,0.0149237,-0.2191128,0.00938890000000003,-0.0693152,-0.000167499999999987,0.0124074
"Ys0...10",-1.5,-1.5,0.2,-1,0.5334047,0.4982635,0.7761119,0.788257,0.9124824,0.5749901,0.5474622,0.7980225,0.7980767,0.8943517,0.7979728,0.5334279,0.4982253,0.7981699,0.788336,0.9125587,0.0351411999999999,-0.2778484,-0.0121451,-0.1242254,0.0351411999999999,-0.2505603,-0.096275,-0.1242254,0.0568418000000001,-0.0272880999999999,0.0568959999999999,0.9605668,0.7488238,1.3090306,1.3090306,0.903725,0.691982,0.6151432,0.6151432,0.0275278999999999,-0.2505603,-0.096275,0.0963788999999999,-0.156095,-0.0272880999999999,0.0352026,-0.2999446,0.00983389999999995,-0.1242227,5.30999999999171e-05,0.0220962
