"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...1",-1.5,1,-0.75,-1.5,-1.5,0.965267,0.9503702,0.7029297,0.9101594,0.5118274,0.944351,0.9142715,0.7367107,0.736601,0.8674325,0.5724323,0.9653395,0.9505241,0.7362609,0.9101309,0.5119296,0.0148967999999999,0.2474405,-0.2072297,0.398332,0.0148967999999999,0.1775608,-0.1308315,0.398332,-0.00651849999999976,0.0698797000000001,0.00662819999999986,1.13735,0.7728094,0.4843761,0.2707166,1.1308315,0.7793279,0.6183746,0.4448162,0.0300795,0.1775608,-0.1308315,0.2950002,0.0815208999999999,0.0698797000000001,0.0148154,0.2142632,-0.17387,0.3982013,2.96999999999104e-05,0.0331773000000001
"Ys0...2",-1.5,1,-0.75,-1,-1.5,0.9741602,0.950562,0.5771478,0.9391356,0.5638514,0.8796761,0.871563,0.6218372,0.6219961,0.8684493,0.6217058,0.9742018,0.9508129,0.6218605,0.9391367,0.5639265,0.0235982,0.3734142,-0.3619878,0.3752842,0.0235982,0.2497258,-0.2464532,0.3752842,0.00815379999999999,0.1236884,0.00831270000000006,1.2382994,0.7008362,0.6844748,0.35575,1.2464532,0.6926824,0.7019697,0.3848302,0.00811309999999998,0.2497258,-0.2464532,0.2467435,0.1523385,0.1236884,0.0233889,0.3289524,-0.3172762,0.3752102,3.35000000000196e-05,0.0444618000000001
"Ys0...3",-1.5,1,-0.75,-0.5,-1.5,0.9729025,0.9474694,0.4893062,0.9493375,0.6416404,0.7990741,0.8268143,0.5308741,0.5308766,0.8588539,0.6832871,0.9729471,0.9476254,0.5308384,0.9493926,0.6414065,0.0254331,0.4581632,-0.4600313,0.3076971,0.0254331,0.2959402,-0.3279773,0.3076971,0.030169,0.162223,0.0301715,1.2959402,0.6515292,0.8680279,0.4514326,1.3261092,0.6213602,0.8020781,0.3836172,-0.0277402,0.2959402,-0.3279773,0.1755668,0.2154751,0.162223,0.0253217,0.416787,-0.4185542,0.3079861,-0.000278499999999959,0.0413762000000001
"Ys0...4",-1.5,1,-0.75,0,-1.5,0.9685791,0.9419231,0.4294459,0.951973,0.7452963,0.7222525,0.7862065,0.4647998,0.4648595,0.8469358,0.7452278,0.9686132,0.9420401,0.4648715,0.9520773,0.7450978,0.026656,0.5124772,-0.5225271,0.2066767,0.026656,0.3214067,-0.3820763,0.2066767,0.0506197000000002,0.1910705,0.0506794,1.3214067,0.6205164,1.0208641,0.5437408,1.3720264,0.5698967,0.8892959,0.4021824,-0.0639540000000001,0.3214067,-0.3820763,0.101708,0.2462581,0.1910705,0.0265730999999999,0.4771686,-0.4872058,0.2069795,-0.000232599999999916,0.0353085999999999
"Ys0...5",-1.5,1,-0.75,0.5,-1.5,0.962177,0.934193,0.3873938,0.9509757,0.8391886,0.6571731,0.7512469,0.4173992,0.4175863,0.8348678,0.7854178,0.9621675,0.9343287,0.4172674,0.9510943,0.8392434,0.0279839999999999,0.5467992,-0.5635819,0.1117871,0.0279839999999999,0.3338477,-0.4172815,0.1117871,0.0666511000000002,0.2129515,0.0668382000000001,1.3338477,0.6003453,1.145914,0.6291202,1.4004988,0.5336942,0.9617024,0.428313,-0.0940738000000001,0.3338477,-0.4172815,0.04945,0.2512331,0.2129515,0.0278387999999999,0.5170613,-0.5338269,0.1118509,6.43000000000171e-05,0.0297379
"Ys0...6",-1.5,1,-0.75,1,-1.5,0.9535307,0.9245282,0.3564026,0.9477909,0.89085,0.6040172,0.7216306,0.3822085,0.3823043,0.8238697,0.800305,0.9536088,0.9245587,0.3820895,0.9479202,0.8908002,0.0290024999999999,0.5681256,-0.5913883,0.0569409,0.0290024999999999,0.3394221,-0.4415654,0.0569409,0.0788806,0.2287035,0.0789764000000001,1.3394221,0.5851061,1.2500021,0.7076824,1.4183027,0.5062255,1.0221654,0.4566788,-0.1176134,0.3394221,-0.4415654,0.0235647,0.2589685,0.2287035,0.0290501000000001,0.5424692,-0.5658307,0.0571199999999999,-0.00012790000000007,0.0256564000000001
"Ys0...7",-1.5,1,-0.75,1.5,-1.5,0.9430292,0.9127046,0.3327028,0.9429363,0.9128506,0.5606206,0.696222,0.355527,0.3557331,0.8141473,0.8013424,0.9429899,0.9129395,0.3555851,0.9430625,0.9128235,0.0303246,0.5800018,-0.6102335,0.0300857,0.0303246,0.340695,-0.4584142,0.0300857,0.0874874999999999,0.2393068,0.0876936,1.340695,0.5720096,1.3393244,0.7821468,1.4281825,0.5154779,1.073036,0.4858328,-0.1356014,0.340695,-0.4584142,0.0128049,0.2709004,0.2393068,0.0300504,0.5573544,-0.5874774,0.030239,1.22000000000178e-05,0.0226474
"Ys0...8",-1.5,1,-0.2,-1.5,-1.5,0.9653257,0.9502922,0.7270218,0.9102299,0.5118112,0.9442996,0.9143816,0.7363423,0.7363603,0.8673545,0.572401,0.965263,0.9504886,0.7363015,0.9101696,0.5117908,0.0150334999999999,0.2232704,-0.1832081,0.3984187,0.0150334999999999,0.1780393,-0.1309942,0.3984187,-0.00698279999999996,0.0452311,0.00696479999999999,1.137977,0.7722529,0.4846023,0.2706524,1.1309942,0.7792357,0.6187008,0.4448312,0.029918,0.1780393,-0.1309942,0.2949535,0.0816159,0.0452311,0.0147744,0.2141871,-0.1738681,0.3983788,4.22999999999396e-05,0.00908330000000002
"Ys0...9",-1.5,1,-0.2,-1,-1.5,0.9741604,0.9507131,0.6092089,0.9390823,0.5639579,0.8796157,0.8714391,0.6219665,0.6219334,0.868349,0.6217609,0.974139,0.9507454,0.6217992,0.9391456,0.56394,0.0234473000000001,0.3415042,-0.3298734,0.3751244,0.0234473000000001,0.2494726,-0.2464156,0.3751244,0.00857379999999996,0.0920315999999999,0.00854069999999996,1.2378418,0.7012405,0.6844422,0.3556956,1.2464156,0.6926667,0.7022863,0.3851374,0.00817659999999998,0.2494726,-0.2464156,0.2465881,0.1523477,0.0920315999999999,0.0233936,0.3289462,-0.3173464,0.3752056,3.50000000004513e-06,0.012558
"Ys0...10",-1.5,1,-0.2,-0.5,-1.5,0.9729699,0.9475331,0.5189617,0.9492859,0.6413112,0.7989517,0.8267667,0.5308371,0.5308981,0.8590083,0.6833981,0.9730726,0.9476616,0.5309119,0.9493808,0.641257,0.0254368,0.4285714,-0.4303242,0.3079747,0.0254368,0.2959296,-0.3281102,0.3079747,0.0304277999999999,0.1326418,0.0304888,1.2959296,0.6516035,0.8680964,0.4514004,1.3263574,0.6211757,0.8017994,0.3834116,-0.0278149999999999,0.2959296,-0.3281102,0.1756102,0.2161051,0.1326418,0.025411,0.4167497,-0.4184689,0.3081238,-0.000156899999999904,0.0118217
