"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"1","Ys0...1",-1.5,-1.25,-0.75,-1.5,0.6487473,0.6365742,0.904037,0.8762608,0.9134715,0.7085244,0.6741274,0.8646826,0.8647603,0.9215921,0.7634846,0.6485728,0.63651,0.8648329,0.8764207,0.9134404,0.0121731,-0.2674628,0.0277762,-0.0372107,0.0121731,-0.1905552,-0.0568318,-0.0372107,0.00770039999999994,-0.0769076000000001,0.00777810000000001,0.9508686,0.8271294,0.92238,0.92238,0.9431682,0.819429,0.4157947,0.4042942,0.034397,-0.1905552,-0.0568318,0.1581075,-0.209764,-0.0769076000000001,0.0120627999999999,-0.2283229,-0.0115878,-0.0370197,0.000143400000000127,-0.0391399
"2","Ys0...2",-1.5,-1.25,-0.75,-1,0.5335592,0.5000296,0.8795334,0.8292205,0.9086775,0.5720315,0.5438663,0.8000293,0.8001277,0.9152124,0.8001368,0.5334145,0.4999697,0.8003565,0.8294518,0.9088825,0.0335296,-0.3795038,0.0503129,-0.079457,0.0335296,-0.256163,-0.1150847,-0.079457,0.0420568,-0.1233408,0.0421551999999999,0.9269721,0.7561926,1.3122088,1.3122088,0.8849153,0.7141358,0.540227,0.5111342,0.0281652,-0.256163,-0.1150847,0.1150756,-0.147013,-0.1233408,0.0334448,-0.3003868,-0.0290952999999999,-0.0794307000000001,0.000349700000000008,-0.079117
"3","Ys0...3",-1.5,-1.25,-0.75,1,0.3303751,0.2965707,0.7389073,0.6930531,0.7923697,0.3202871,0.3186259,0.6182461,0.6184141,0.8564296,0.8871549,0.3301908,0.2964821,0.6181061,0.6933322,0.7924972,0.0338044,-0.4423366,0.0458542000000001,-0.0993166,0.0338044,-0.2996202,-0.2380155,-0.0993166,0.1411533,-0.1427164,0.1413213,0.9031378,0.5961909,1.5520686,1.2303932,0.8415331,0.5449624,0.9756736,0.9010346,0.00166119999999997,-0.2996202,-0.2380155,-0.0307253,0.1048732,-0.1427164,0.0337087,-0.321624,-0.0752261,-0.0991650000000001,0.000311800000000084,-0.1207126
"4","Ys0...4",-1.5,-1.25,-0.75,1.5,0.3082297,0.2773147,0.7084632,0.6726989,0.7517329,0.2960038,0.2972159,0.5922087,0.5922878,0.8428429,0.8786228,0.3080702,0.2772358,0.5921966,0.6728282,0.7519875,0.030915,-0.4311485,0.0357643,-0.079034,0.030915,-0.2949928,-0.2505551,-0.079034,0.1501637,-0.1361557,0.1502428,0.8996086,0.5723075,1.4639552,1.1490612,0.8551709,0.5778562,1.0493275,0.9689164,-0.00121209999999999,-0.2949928,-0.2505551,-0.0357799000000001,0.1391158,-0.1361557,0.0308344,-0.3149608,-0.0806316,-0.0791593,0.000414099999999973,-0.1161877
"5","Ys0...5",-1.5,-1.25,-0.2,-1.5,0.6487077,0.6366417,0.8752134,0.8763162,0.9135867,0.7085795,0.674201,0.8646487,0.8646532,0.9216793,0.763443,0.6485828,0.6364132,0.8649062,0.8765063,0.9135722,0.012066,-0.2385717,-0.00110279999999996,-0.0372705,0.012066,-0.1904477,-0.0570261,-0.0372705,0.00779929999999995,-0.0481240000000001,0.00780379999999992,0.9507732,0.8270894,0.9223006,0.9223006,0.9429739,0.8192901,0.415672,0.404009,0.0343785,-0.1904477,-0.0570261,0.1582363,-0.2100155,-0.0481240000000001,0.0121696,-0.228493,-0.0116001,-0.0370659,0.000110399999999955,-0.0100787000000001
"6","Ys0...6",-1.5,-1.25,-0.2,-1,0.5337397,0.4999935,0.8201474,0.8292547,0.9088637,0.5719486,0.543966,0.7999923,0.8001205,0.9151721,0.800177,0.5334796,0.4996532,0.800286,0.829391,0.9088893,0.0337462000000001,-0.3201539,-0.00910730000000004,-0.079609,0.0337462000000001,-0.2560263,-0.1150516,-0.079609,0.0418167,-0.0641276,0.0419449000000001,0.9267651,0.7560198,1.3120834,1.3120834,0.8849484,0.7142031,0.5402806,0.5111464,0.0279826000000001,-0.2560263,-0.1150516,0.1149951,-0.1468956,-0.0641276,0.0338264,-0.3006328,-0.0291049999999999,-0.0794983,0.000285699999999944,-0.0195211
"7","Ys0...7",-1.5,-1.25,-0.2,1,0.3305448,0.2967451,0.6461055,0.6933013,0.7922097,0.320209,0.3186756,0.6182923,0.6182503,0.8564037,0.8873508,0.3301872,0.2965348,0.6183078,0.6934405,0.7924024,0.0337997,-0.3493604,-0.0471958,-0.0989084,0.0337997,-0.2996167,-0.2381534,-0.0989084,0.1412139,-0.0497437000000001,0.1411719,0.9030605,0.5963618,1.5523886,1.2308414,0.8415972,0.5448521,0.975641,0.90059,0.00153340000000002,-0.2996167,-0.2381534,-0.0309471,0.1054769,-0.0497437000000001,0.0336524,-0.321773,-0.0751327000000001,-0.0989618999999999,0.000550299999999893,-0.0275874
"8","Ys0...8",-1.5,-1.25,-0.2,1.5,0.3084178,0.27748,0.619642,0.6727623,0.7516693,0.2959294,0.2972624,0.5922747,0.5922743,0.8429969,0.8785477,0.3080623,0.2772126,0.5923531,0.6727473,0.7518994,0.0309378,-0.342162,-0.0531203,-0.0789069999999999,0.0309378,-0.2950123,-0.2507226,-0.0789069999999999,0.1504526,-0.0471497,0.1504522,0.89973,0.5724923,1.4642795,1.1494848,0.8554403,0.5779603,1.0489696,0.9684816,-0.00133299999999997,-0.2950123,-0.2507226,-0.0355508,0.1393668,-0.0471497,0.0308497,-0.3151405,-0.0803942000000001,-0.0791520999999999,0.000585600000000075,-0.0270215
"9","Ys0...9",-1.5,-1.25,0.2,-1.5,0.6485733,0.6365126,0.8540534,0.8763262,0.9137628,0.7085045,0.6739154,0.8646556,0.8647454,0.9217247,0.7635092,0.6485248,0.6363981,0.8648291,0.8764932,0.9135499,0.0120607,-0.2175408,-0.0222728000000001,-0.0374365999999999,0.0120607,-0.1907402,-0.0569793,-0.0374365999999999,0.0079058999999998,-0.0268006000000001,0.00799569999999983,0.9509266,0.8272528,0.922858,0.922858,0.9430207,0.8193469,0.415479,0.4038982,0.0345890999999999,-0.1907402,-0.0569793,0.1582155,-0.2101848,-0.0268006000000001,0.0121267,-0.228431,-0.0116641,-0.0370567000000001,-0.000164399999999953,0.0108902000000001
"10","Ys0...10",-1.5,-1.25,0.2,-1,0.5335161,0.4996801,0.7806079,0.8292873,0.908806,0.5719261,0.5438454,0.7999344,0.8000954,0.9153335,0.8001107,0.5334145,0.4999697,0.8003565,0.8294518,0.9088825,0.033836,-0.2809278,-0.0486793999999999,-0.0795187000000001,0.033836,-0.256089,-0.1152381,-0.0795187000000001,0.0417199,-0.0248388,0.0418809,0.9264818,0.7557691,1.3124404,1.3124404,0.8847619,0.7140492,0.5399503,0.5107584,0.0280807,-0.256089,-0.1152381,0.1152228,-0.1471053,-0.0248388,0.0334448,-0.3003868,-0.0290952999999999,-0.0794307000000001,0.00017810000000007,0.019459
"11","Ys0...11",-1.5,-1.25,0.2,1,0.3300217,0.2962872,0.5911192,0.6931576,0.7924429,0.3200878,0.3184144,0.6183445,0.618136,0.8564996,0.8872478,0.3302182,0.2964768,0.6182432,0.6934195,0.7924314,0.0337345,-0.294832,-0.1020384,-0.0992852999999999,0.0337345,-0.2999301,-0.2383636,-0.0992852999999999,0.1414233,0.00509809999999999,0.1412148,0.9030597,0.5962173,1.5514605,1.2294032,0.8414932,0.545206,0.9757072,0.9006856,0.00167339999999999,-0.2999301,-0.2383636,-0.0307482,0.1047388,0.00509809999999999,0.0337414,-0.3217664,-0.0751763,-0.0990119,-0.000207999999999986,0.0269344
"12","Ys0...12",-1.5,-1.25,0.2,1.5,0.3077373,0.2768592,0.5651442,0.6725334,0.7519536,0.2958095,0.297182,0.5923139,0.5920133,0.8431541,0.878688,0.3080453,0.2771858,0.5921673,0.6726714,0.7519195,0.0308781,-0.288285,-0.1073892,-0.0794202000000001,0.0308781,-0.2951319,-0.2511408,-0.0794202000000001,0.1505985,0.00684689999999999,0.1502979,0.8994577,0.5719911,1.4635371,1.1480824,0.8554666,0.5786074,1.0491451,0.968625,-0.0013725,-0.2951319,-0.2511408,-0.0355339,0.1386622,0.00684689999999999,0.0308595,-0.3149815,-0.0805041000000001,-0.0792480999999999,-0.000342100000000123,0.0266965
