"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,1.00028431861788,-2.43687099918751,0.750556452177888,-1.87521942115553,1.00028431861788,-1.12450166334748,-0.56259133173061,-1.87521942115553,0.000778448068467608,0.500175829958745,-1.12450166334748,-0.56259133173061,1.12561721495787,-2.49805045214549,1.00026155109625,-1.87771326535564,0.187559516414178,-1.87403518756969,0.00267773586762754
"Ys0...2",-1.5,-1.5,-0.75,-1,1.50037087968827,-4.87465649308747,1.50111290435578,-1.87521942115553,1.50037087968827,-2.24991782140741,-1.12518266346122,-1.87521942115553,0.00155689613693566,0.500153902370006,-2.24991782140741,-1.12518266346122,1.12561721495787,-1.9975200566124,1.50044191348686,-3.75331406470299,0.375119032828356,-1.87403518756969,0.00339617575850815
"Ys0...3",-1.5,-1.5,-0.75,1,3.50071712396985,-14.6257984686873,4.50333871306733,-1.87521942115553,3.50071712396985,-6.75158245364714,-3.37554799038366,-1.87521942115553,0.00467068841080326,0.50006619201505,-6.75158245364714,-3.37554799038366,1.12561721495787,0.00460152551995496,3.50116336304934,-11.2557172620924,1.12535709848507,-1.87403518756969,0.00626993532202991
"Ys0...4",-1.5,-1.5,-0.75,1.5,4.00080368504025,-17.0635839625873,5.25389516524522,-1.87521942115553,4.00080368504025,-7.87699861170707,-3.93813932211427,-1.87521942115553,0.00544913647927314,0.500044264426311,-7.87699861170707,-3.93813932211427,1.12561721495787,0.505131921053045,4.00134372543995,-13.1313180614398,1.31291661489925,-1.87403518756969,0.00698837521291185
"Ys0...5",-1.5,-1.5,-0.2,-1.5,1.00057587923582,-2.02429564384303,0.338048077135245,-1.87425932286013,1.00057587923582,-1.12463225148005,-0.562635560877725,-1.87425932286013,0.00102024564998926,0.500513014114673,-1.12463225148005,-0.562635560877725,1.12604847110443,-2.49742750256845,1.00026155109625,-1.87771326535564,0.187559516414178,-1.87403518756969,0.00399637508280382
"Ys0...6",-1.5,-1.5,-0.2,-1,1.50048729042515,-4.04931494762892,0.67609615427049,-1.87425932286013,1.50048729042515,-2.24998816290296,-1.12527112175545,-1.87425932286013,0.00204049129997808,0.500361560182862,-2.24998816290296,-1.12527112175545,1.12604847110443,-1.99677139097989,1.50044191348686,-3.75331406470299,0.375119032828356,-1.87403518756969,0.00479748016405024
"Ys0...7",-1.5,-1.5,-0.2,1,3.50013293518249,-12.1493921627725,2.02828846281147,-1.87425932286013,3.50013293518249,-6.7514118085946,-3.37581336526635,-1.87425932286013,0.00612147389993428,0.499755744455618,-6.7514118085946,-3.37581336526635,1.12604847110443,0.00585305537435077,3.50116336304934,-11.2557172620924,1.12535709848507,-1.87403518756969,0.00800190048903526
"Ys0...8",-1.5,-1.5,-0.2,1.5,4.00004434637182,-14.1744114665584,2.36633653994672,-1.87425932286013,4.00004434637182,-7.87676772001751,-3.93844892614408,-1.87425932286013,0.00714171954992304,0.499604290523807,-7.87676772001751,-3.93844892614408,1.12604847110443,0.506509166962912,4.00134372543995,-13.1313180614398,1.31291661489925,-1.87403518756969,0.00880300557028391
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.998825970597488,-1.72537640811998,0.0375283543536145,-1.87610795981172,0.998825970597488,-1.12571639741718,-0.563237270279377,-1.87610795981172,0.00110561393018838,0.499144851943705,-1.12571639741718,-0.563237270279377,1.12690061001308,-2.50144232391187,1.00026155109625,-1.87771326535564,0.187559516414178,-1.87403518756969,-0.00120265756569982
"Ys0...10",-1.5,-1.5,0.2,-1,1.49885199971144,-3.45084669204113,0.0750567087072298,-1.87610795981172,1.49885199971144,-2.25152667063552,-1.12647454055875,-1.87610795981172,0.0022112278603772,0.49948976240388,-2.25152667063552,-1.12647454055875,1.12690061001308,-2.00118108039242,1.50044191348686,-3.75331406470299,0.375119032828356,-1.87403518756969,-0.00125763747671481
"Ys0...11",-1.5,-1.5,0.2,1,3.49895611616727,-10.3527278277257,0.225170126121689,-1.87610795981172,3.49895611616727,-6.7547677635089,-3.37942362167626,-1.87610795981172,0.00663368358112909,0.50086940424458,-6.7547677635089,-3.37942362167626,1.12690061001308,-0.000136106314599038,3.50116336304934,-11.2557172620924,1.12535709848507,-1.87403518756969,-0.0014775571207768
"Ys0...12",-1.5,-1.5,0.2,1.5,3.99898214528123,-12.0781981116469,0.262698480475304,-1.87610795981172,3.99898214528123,-7.88057803672724,-3.94266089195564,-1.87610795981172,0.00773929751131686,0.501214314704754,-7.88057803672724,-3.94266089195564,1.12690061001308,0.500125137204856,4.00134372543995,-13.1313180614398,1.31291661489925,-1.87403518756969,-0.00153253703179057
"Ys0...13",-1.5,-1.5,0.75,-1.5,0.999270891050045,-1.31284922513493,-0.374850601026851,-1.87648280959037,0.999270891050045,-1.12551568254004,-0.56306587135321,-1.87648280959037,0.000881727731467663,0.499411004054114,-1.12551568254004,-0.56306587135321,1.12664627045497,-2.50146507458005,1.00026155109625,-1.87771326535564,0.187559516414178,-1.87403518756969,-0.000984359287204306
"Ys0...14",-1.5,-1.5,0.75,-1,1.49938632658776,-2.62566470855597,-0.749701202053703,-1.87648280959037,1.49938632658776,-2.25099762336619,-1.12613174270642,-1.87648280959037,0.00176345546293688,0.499666552595897,-2.25099762336619,-1.12613174270642,1.12664627045497,-2.00094684536592,1.50044191348686,-3.75331406470299,0.375119032828356,-1.87403518756969,-0.00067408765481991
"Ys0...15",-1.5,-1.5,0.75,1,3.49984806873862,-7.87692664224013,-2.24910360616111,-1.87648280959037,3.49984806873862,-6.75292538667079,-3.37839522811926,-1.87648280959037,0.00529036638881025,0.50068874676303,-6.75292538667079,-3.37839522811926,1.12664627045497,0.00112607149060739,3.50116336304934,-11.2557172620924,1.12535709848507,-1.87403518756969,0.000566998874718116
"Ys0...16",-1.5,-1.5,0.75,1.5,3.99996350427634,-9.18974212566117,-2.62395420718796,-1.87648280959037,3.99996350427634,-7.87840732749694,-3.94146109947247,-1.87648280959037,0.00617209412027597,0.500944295304814,-7.87840732749694,-3.94146109947247,1.12664627045497,0.501644300704739,4.00134372543995,-13.1313180614398,1.31291661489925,-1.87403518756969,0.0008772705071044
"Ys0...17",-1.5,-1,-0.75,-1.5,1.00028431861788,-2.37455736082944,0.125382620766374,-0.499935973183345,1.00028431861788,-1.49964447026942,-0.750049235172625,-0.499935973183345,0.000518965378977665,0.500175829958745,-1.49964447026942,-0.750049235172625,1.50062178422558,-1.49884538825501,1.00026155109625,-2.00168312402619,-0.249897462618432,-0.499666654473023,0.00215929539286508
"Ys0...18",-1.5,-1,-0.75,-1,1.50037087968827,-3.99974769009609,0.250765241532747,-0.499935973183345,1.50037087968827,-2.24992190897605,-1.50009847034525,-0.499935973183345,0.00103793075795711,0.500153902370006,-2.24992190897605,-1.50009847034525,1.50062178422558,-0.998376792884182,1.50044191348686,-3.25208365692443,-0.499794925236865,-0.499666654473023,0.0025557810890442
"Ys0...19",-1.5,-1,-0.75,1,3.50071712396985,-10.5005090071627,0.752295724598242,-0.499935973183346,3.50071712396985,-5.25103166380253,-4.50029541103575,-0.499935973183346,0.00311379227387043,0.50006619201505,-5.25103166380253,-4.50029541103575,1.50062178422558,1.00349758859914,3.50116336304934,-8.25368578851738,-1.49938477571059,-0.499666654473023,0.00414172387375622
"Ys0...20",-1.5,-1,-0.75,1.5,4.00080368504025,-12.1256993364293,0.877678345364616,-0.499935973183345,4.00080368504025,-6.00130910250915,-5.25034464620837,-0.499935973183345,0.00363275765284876,0.50004426442631,-6.00130910250915,-5.25034464620837,1.50062178422558,1.50396618396997,4.00134372543996,-9.50408632141562,-1.74928223832903,-0.499666654473023,0.00453820956993511
"Ys0...21",-1.5,-1,-0.2,-1.5,1.00057587923582,-2.0995111306105,-0.149624965934079,-0.499107614429593,1.00057587923582,-1.49973553570185,-0.750080724609393,-0.499107614429593,0.000680163766659359,0.500513014114673,-1.49973553570185,-0.750080724609393,1.50109758154678,-1.49849437302754,1.00026155109625,-2.00168312402619,-0.249897462618432,-0.499666654473023,0.00331785828304509
"Ys0...22",-1.5,-1,-0.2,-1,1.50048729042515,-3.4495239998011,-0.299249931868157,-0.499107614429593,1.50048729042515,-2.24997280998379,-1.50016144921878,-0.499107614429593,0.00136032753331872,0.500361560182862,-2.24997280998379,-1.50016144921878,1.50109758154678,-0.997912104831882,1.50044191348686,-3.25208365692443,-0.499794925236865,-0.499666654473023,0.00370906747375699
"Ys0...23",-1.5,-1,-0.2,1,3.50013293518248,-8.84957547656348,-0.897749795604473,-0.499107614429593,3.50013293518248,-5.25092190711155,-4.50048434765635,-0.499107614429593,0.00408098259995615,0.499755744455618,-5.25092190711155,-4.50048434765635,1.50109758154678,1.00441696795077,3.50116336304934,-8.25368578851738,-1.49938477571059,-0.499666654473023,0.00527390423660057
"Ys0...24",-1.5,-1,-0.2,1.5,4.00004434637182,-10.1995883457541,-1.04737476153855,-0.499107614429593,4.00004434637182,-6.0011591813935,-5.25056507226575,-0.499107614429593,0.00476114636661551,0.499604290523808,-6.0011591813935,-5.25056507226575,1.50109758154678,1.50499923614643,4.00134372543996,-9.50408632141562,-1.74928223832903,-0.499666654473023,0.00566511342731246
"Ys0...25",-1.5,-1,0.2,-1.5,0.998825970597488,-1.90066883817533,-0.350190046811928,-0.500301441827621,0.998825970597488,-1.50089549770679,-0.750700463233922,-0.500301441827621,0.000737075953458621,0.499144851943705,-1.50089549770679,-0.750700463233922,1.50170427138891,-1.5015264177448,1.00026155109625,-2.00168312402619,-0.249897462618432,-0.499666654473023,-0.0013486661959905
"Ys0...26",-1.5,-1,0.2,-1,1.49885199971144,-3.05098236078943,-0.700380093623856,-0.500301441827622,1.49885199971144,-2.25143567985236,-1.50140092646785,-0.500301441827622,0.00147415190691813,0.49948976240388,-2.25143567985236,-1.50140092646785,1.50170427138891,-1.00154359346533,1.50044191348686,-3.25208365692443,-0.499794925236865,-0.499666654473023,-0.00170857338200836
"Ys0...27",-1.5,-1,0.2,1,3.49895611616727,-7.65223645124582,-2.10114028087157,-0.500301441827622,3.49895611616727,-5.25359640843461,-4.50420277940354,-0.500301441827622,0.00442245572075195,0.50086940424458,-5.25359640843461,-4.50420277940354,1.50170427138891,0.998387703652532,3.50116336304934,-8.25368578851738,-1.49938477571059,-0.499666654473023,-0.00314820212608025
