[1] "Simulation results for Z continuous"
[1] "Original settings"
[1] "muZ =  1,1"
[1] "beta =  0.5,0.5,1.5,2"
[1] "gamma =  1.5,1.5,1.5,1.5,1,1,1,1"
[1] "rho =  0.75"
[1] "eps =  c(NaN, NaN),c(0, 1),c(0, 1)"
[1] "Simulation results"
           type value        AZY_ne        AZY_re     AZY_ne_re      AZMY_ne      AZMY_re AZMY_ne_re AZY_ne_pos AZY_re_pos AZMY_ne_pos AZMY_re_pos
Ys2...1  gamma6 -1.50  1.3079845654 -0.0021541469  1.310139e+00 -1.312749030 0.0002944626 -1.3130435  0.5677896  0.4998399   0.3848656   0.4999158
Ys2...2  gamma6 -1.00  0.8722233232 -0.0012024851  8.734258e-01 -0.874348375 0.0010139535 -0.8753623  0.5771117  0.4998361   0.3990359   0.5000257
Ys2...3  gamma6 -0.50  0.4364620809 -0.0002508232  4.367129e-01 -0.435947720 0.0017334444 -0.4376812  0.6009579  0.4999831   0.4859880   0.5002532
Ys2...4  gamma6  0.00  0.0007008386  0.0007008386 -3.552714e-15  0.002452935 0.0024529353  0.0000000  0.5002549  0.5002549   0.5002549   0.5002549
Ys2...5  gamma6  0.50 -0.4350604036  0.0016525005 -4.367129e-01  0.440853590 0.0031724262  0.4376812  0.4881347  0.5002201   0.5002844   0.5002546
Ys2...6  gamma6  1.00 -0.8708216459  0.0026041624 -8.734258e-01  0.879254245 0.0038919170  0.8753623  0.4734847  0.5001869   0.5046799   0.5002547
Ys2...7  gamma6  1.50 -1.3065828881  0.0035558242 -1.310139e+00  1.317654900 0.0046114079  1.3130435  0.4666755  0.5001615   0.5144856   0.5002394
Ys2...8     rho -0.50 -5.2523357570 -0.0012388761 -5.251097e+00  5.250507906 0.0006584002  5.2498495  0.4506632  0.5000623   0.5062435   0.5000127
Ys2...9     rho -0.25 -4.3771796800 -0.0011309340 -4.376049e+00  4.375126108 0.0006010344  4.3745251  0.4515398  0.5000623   0.5062488   0.5000127
Ys2...10    rho  0.00 -3.4957693118  0.0029675763 -3.498737e+00  3.502277991 0.0058841294  3.4963939  0.4538495  0.4999792   0.5062402   0.5000330
Ys2...11    rho  0.25 -2.6172569789  0.0045105415 -2.621768e+00  2.631478293 0.0067409981  2.6247373  0.4579126  0.5001869   0.5062963   0.5002547
Ys2...12    rho  0.50 -1.7438435758  0.0036828417 -1.747526e+00  1.755618724 0.0055040019  1.7501147  0.4639367  0.5001869   0.5058107   0.5002547
Ys2...13    rho  0.75 -0.8708216459  0.0026041624 -8.734258e-01  0.879254245 0.0038919170  0.8753623  0.4734847  0.5001869   0.5046799   0.5002547
Ys2...14  beta3 -1.00 -0.1233094509  0.0014656646 -1.247751e-01  0.125607749 0.0005559881  0.1250518  0.4989371  0.5002759   0.5046799   0.5002547
Ys2...15  beta3 -0.50 -0.2478948167  0.0016554142 -2.495502e-01  0.251215499 0.0011119763  0.2501035  0.4967226  0.5002288   0.5046799   0.5002547
Ys2...16  beta3  0.00 -0.3724801826  0.0018451638 -3.743253e-01  0.376823248 0.0016679644  0.3751553  0.4927429  0.5002455   0.5046799   0.5002547
Ys2...17  beta3  0.50 -0.4970655484  0.0020349135 -4.991005e-01  0.502430997 0.0022239526  0.5002070  0.4877477  0.5002290   0.5046799   0.5002547
Ys2...18  beta3  1.00 -0.6216509142  0.0022246631 -6.238756e-01  0.628038747 0.0027799407  0.6252588  0.4825868  0.5001981   0.5046799   0.5002547
